ward,precinct,total,Dawn Doering-Suter (Kucinich),Dawn Doering-Suter (Kucinich) Percent,Amy V. Przybylo (Dean),Amy V. Przybylo (Dean) Percent,Alicia Renee Pardo (Edwards),Alicia Renee Pardo (Edwards) Percent,Jennifer A. Kuhn (Clark),Jennifer A. Kuhn (Clark) Percent,Amy Galibois (Kerry),Amy Galibois (Kerry) Percent,Deborah Rosenberg Alexander (Lieb),Deborah Rosenberg Alexander (Lieb) Percent,Beatrice Turner (Braun),Beatrice Turner (Braun) Percent,precinct_id
50,25,122,7,5.74,8,6.56,14,11.48,5,4.1,45,36.89,40,32.79,3,2.46,50025
50,26,89,4,4.49,5,5.62,14,15.73,8,8.99,37,41.57,13,14.61,8,8.99,50026
50,27,66,3,4.55,0,0.0,3,4.55,2,3.03,34,51.52,22,33.33,2,3.03,50027
50,28,108,12,11.11,12,11.11,15,13.89,8,7.41,41,37.96,9,8.33,11,10.19,50028
50,29,152,14,9.21,8,5.26,16,10.53,8,5.26,84,55.26,16,10.53,6,3.95,50029
50,30,120,4,3.33,5,4.17,3,2.5,5,4.17,53,44.17,47,39.17,3,2.5,50030
50,31,87,0,0.0,20,22.99,5,5.75,1,1.15,23,26.44,37,42.53,1,1.15,50031
50,32,91,10,10.99,11,12.09,10,10.99,4,4.4,41,45.05,6,6.59,9,9.89,50032
50,33,75,3,4.0,2,2.67,5,6.67,5,6.67,34,45.33,23,30.67,3,4.0,50033
50,34,68,5,7.35,1,1.47,9,13.24,6,8.82,37,54.41,5,7.35,5,7.35,50034
50,35,162,15,9.26,10,6.17,12,7.41,4,2.47,107,66.05,9,5.56,5,3.09,50035
50,36,158,22,13.92,10,6.33,13,8.23,9,5.7,86,54.43,15,9.49,3,1.9,50036
50,37,161,13,8.07,16,9.94,10,6.21,6,3.73,104,64.6,7,4.35,5,3.11,50037
50,38,120,7,5.83,2,1.67,3,2.5,2,1.67,59,49.17,46,38.33,1,0.83,50038
50,39,111,11,9.91,4,3.6,7,6.31,5,4.5,45,40.54,34,30.63,5,4.5,50039
50,40,134,3,2.24,4,2.99,7,5.22,4,2.99,59,44.03,56,41.79,1,0.75,50040
50,41,187,11,5.88,12,6.42,13,6.95,3,1.6,84,44.92,63,33.69,1,0.53,50041
50,42,175,21,12.0,11,6.29,10,5.71,6,3.43,103,58.86,21,12.0,3,1.71,50042
50,43,115,11,9.57,8,6.96,9,7.83,6,5.22,67,58.26,7,6.09,7,6.09,50043
