ward,precinct,total,BYRON F. REED,BYRON F. REED Percent,ROBERT DALLAS,ROBERT DALLAS Percent,MARK TUNNEY,MARK TUNNEY Percent,precinct_id
28,55,0,0,0.0,0,0.0,0,0.0,28055
28,56,2,1,50.0,0,0.0,1,50.0,28056
28,57,3,1,33.33,1,33.33,1,33.33,28057
28,58,0,0,0.0,0,0.0,0,0.0,28058
28,59,1,0,0.0,1,100.0,0,0.0,28059
28,60,1,1,100.0,0,0.0,0,0.0,28060
28,61,0,0,0.0,0,0.0,0,0.0,28061
29,1,2,2,100.0,0,0.0,0,0.0,29001
29,3,3,1,33.33,2,66.67,0,0.0,29003
29,4,1,0,0.0,1,100.0,0,0.0,29004
29,5,0,0,0.0,0,0.0,0,0.0,29005
29,8,3,2,66.67,1,33.33,0,0.0,29008
29,9,2,1,50.0,1,50.0,0,0.0,29009
29,10,0,0,0.0,0,0.0,0,0.0,29010
29,11,2,2,100.0,0,0.0,0,0.0,29011
29,12,4,2,50.0,2,50.0,0,0.0,29012
29,13,3,2,66.67,0,0.0,1,33.33,29013
29,14,3,1,33.33,1,33.33,1,33.33,29014
29,15,1,0,0.0,0,0.0,1,100.0,29015
29,16,0,0,0.0,0,0.0,0,0.0,29016
29,18,1,0,0.0,1,100.0,0,0.0,29018
29,19,2,1,50.0,1,50.0,0,0.0,29019
29,20,3,1,33.33,1,33.33,1,33.33,29020
29,21,0,0,0.0,0,0.0,0,0.0,29021
29,22,6,1,16.67,2,33.33,3,50.0,29022
29,23,1,1,100.0,0,0.0,0,0.0,29023
29,24,1,1,100.0,0,0.0,0,0.0,29024
29,25,3,1,33.33,2,66.67,0,0.0,29025
29,26,4,1,25.0,2,50.0,1,25.0,29026
29,27,2,0,0.0,1,50.0,1,50.0,29027
29,28,1,0,0.0,1,100.0,0,0.0,29028
29,29,3,1,33.33,2,66.67,0,0.0,29029
29,30,3,1,33.33,1,33.33,1,33.33,29030
29,31,1,0,0.0,1,100.0,0,0.0,29031
29,32,3,1,33.33,2,66.67,0,0.0,29032
29,33,1,1,100.0,0,0.0,0,0.0,29033
29,34,10,2,20.0,4,40.0,4,40.0,29034
29,35,1,0,0.0,0,0.0,1,100.0,29035
29,36,0,0,0.0,0,0.0,0,0.0,29036
29,37,4,2,50.0,1,25.0,1,25.0,29037
29,38,2,0,0.0,1,50.0,1,50.0,29038
29,40,0,0,0.0,0,0.0,0,0.0,29040
29,41,1,1,100.0,0,0.0,0,0.0,29041
29,42,0,0,0.0,0,0.0,0,0.0,29042
29,43,1,0,0.0,1,100.0,0,0.0,29043
29,44,1,1,100.0,0,0.0,0,0.0,29044
29,45,0,0,0.0,0,0.0,0,0.0,29045
29,46,1,0,0.0,0,0.0,1,100.0,29046
29,47,6,3,50.0,2,33.33,1,16.67,29047
29,49,1,0,0.0,1,100.0,0,0.0,29049
29,50,1,1,100.0,0,0.0,0,0.0,29050
