ward,precinct,total,Mary Bernadette McMahon,Mary Bernadette McMahon Percent,Suzanne Therese McEneely,Suzanne Therese McEneely Percent,Tracie Porter,Tracie Porter Percent,precinct_id
8,44,93,18,19.35,15,16.13,60,64.52,08044
8,45,59,21,35.59,3,5.08,35,59.32,08045
8,46,103,14,13.59,9,8.74,80,77.67,08046
8,47,122,22,18.03,18,14.75,82,67.21,08047
8,48,128,16,12.5,26,20.31,86,67.19,08048
8,49,142,17,11.97,11,7.75,114,80.28,08049
8,50,156,24,15.38,14,8.97,118,75.64,08050
8,51,166,33,19.88,14,8.43,119,71.69,08051
8,52,231,35,15.15,17,7.36,179,77.49,08052
8,53,72,9,12.5,9,12.5,54,75.0,08053
8,54,69,12,17.39,12,17.39,45,65.22,08054
8,55,133,24,18.05,19,14.29,90,67.67,08055
8,56,168,20,11.9,11,6.55,137,81.55,08056
9,1,121,20,16.53,10,8.26,91,75.21,09001
9,2,92,25,27.17,20,21.74,47,51.09,09002
9,3,46,19,41.3,6,13.04,21,45.65,09003
9,4,90,20,22.22,11,12.22,59,65.56,09004
9,5,141,31,21.99,12,8.51,98,69.5,09005
9,6,100,17,17.0,12,12.0,71,71.0,09006
9,7,63,18,28.57,9,14.29,36,57.14,09007
9,8,82,10,12.2,8,9.76,64,78.05,09008
9,9,161,32,19.88,19,11.8,110,68.32,09009
9,10,79,19,24.05,7,8.86,53,67.09,09010
9,11,89,28,31.46,5,5.62,56,62.92,09011
9,12,171,26,15.2,13,7.6,132,77.19,09012
9,13,157,24,15.29,16,10.19,117,74.52,09013
9,14,167,37,22.16,24,14.37,106,63.47,09014
9,15,45,10,22.22,7,15.56,28,62.22,09015
9,16,117,26,22.22,10,8.55,81,69.23,09016
9,17,59,10,16.95,9,15.25,40,67.8,09017
9,18,99,18,18.18,16,16.16,65,65.66,09018
9,19,103,23,22.33,6,5.83,74,71.84,09019
9,20,113,30,26.55,10,8.85,73,64.6,09020
9,21,99,18,18.18,15,15.15,66,66.67,09021
9,22,128,41,32.03,13,10.16,74,57.81,09022
9,23,152,21,13.82,17,11.18,114,75.0,09023
9,24,163,34,20.86,18,11.04,111,68.1,09024
9,25,113,20,17.7,15,13.27,78,69.03,09025
9,26,62,21,33.87,11,17.74,30,48.39,09026
9,27,111,18,16.22,14,12.61,79,71.17,09027
9,28,44,12,27.27,5,11.36,27,61.36,09028
9,29,58,14,24.14,7,12.07,37,63.79,09029
9,30,79,12,15.19,11,13.92,56,70.89,09030
9,31,76,15,19.74,12,15.79,49,64.47,09031
9,32,124,29,23.39,15,12.1,80,64.52,09032
9,33,77,16,20.78,15,19.48,46,59.74,09033
9,34,85,19,22.35,9,10.59,57,67.06,09034
9,35,142,25,17.61,14,9.86,103,72.54,09035
9,36,86,15,17.44,15,17.44,56,65.12,09036
9,37,188,47,25.0,29,15.43,112,59.57,09037
9,38,99,25,25.25,13,13.13,61,61.62,09038
9,39,146,30,20.55,15,10.27,101,69.18,09039
9,40,170,42,24.71,16,9.41,112,65.88,09040
9,41,98,18,18.37,11,11.22,69,70.41,09041
9,42,165,21,12.73,10,6.06,134,81.21,09042
9,43,85,24,28.24,11,12.94,50,58.82,09043
9,44,122,26,21.31,10,8.2,86,70.49,09044
9,45,88,20,22.73,16,18.18,52,59.09,09045
9,46,124,19,15.32,15,12.1,90,72.58,09046
9,47,161,27,16.77,10,6.21,124,77.02,09047
9,48,156,23,14.74,13,8.33,120,76.92,09048
9,49,155,29,18.71,15,9.68,111,71.61,09049
9,50,209,21,10.05,15,7.18,173,82.78,09050
9,51,157,31,19.75,8,5.1,118,75.16,09051
10,1,109,32,29.36,21,19.27,56,51.38,10001
10,2,74,35,47.3,12,16.22,27,36.49,10002
10,3,87,32,36.78,18,20.69,37,42.53,10003
10,4,50,14,28.0,12,24.0,24,48.0,10004
10,5,64,30,46.88,21,32.81,13,20.31,10005
10,6,74,33,44.59,13,17.57,28,37.84,10006
10,7,43,13,30.23,15,34.88,15,34.88,10007
10,8,30,9,30.0,6,20.0,15,50.0,10008
10,9,64,30,46.88,16,25.0,18,28.13,10009
10,10,86,33,38.37,18,20.93,35,40.7,10010
10,11,78,27,34.62,21,26.92,30,38.46,10011
10,12,46,17,36.96,15,32.61,14,30.43,10012
10,13,81,34,41.98,15,18.52,32,39.51,10013
10,14,87,38,43.68,28,32.18,21,24.14,10014
10,15,206,46,22.33,25,12.14,135,65.53,10015
10,16,52,19,36.54,15,28.85,18,34.62,10016
10,17,113,49,43.36,25,22.12,39,34.51,10017
10,18,39,18,46.15,8,20.51,13,33.33,10018
10,19,55,22,40.0,11,20.0,22,40.0,10019
10,20,74,41,55.41,15,20.27,18,24.32,10020
10,21,72,37,51.39,15,20.83,20,27.78,10021
10,22,24,7,29.17,9,37.5,8,33.33,10022
10,23,68,19,27.94,16,23.53,33,48.53,10023
10,24,68,26,38.24,16,23.53,26,38.24,10024
10,25,31,10,32.26,5,16.13,16,51.61,10025
10,26,58,18,31.03,12,20.69,28,48.28,10026
10,27,58,18,31.03,11,18.97,29,50.0,10027
10,28,77,28,36.36,22,28.57,27,35.06,10028
