ward,precinct,total,Kina Collins,Kina Collins Percent,Danny K. Davis,Danny K. Davis Percent,Denarvis C. Mendenhall,Denarvis C. Mendenhall Percent,precinct_id
37,30,79,26,32.91,53,67.09,0,0.0,37030
37,31,119,34,28.57,84,70.59,1,0.84,37031
37,32,107,21,19.63,83,77.57,3,2.8,37032
37,33,132,29,21.97,100,75.76,3,2.27,37033
37,34,97,18,18.56,77,79.38,2,2.06,37034
37,35,132,22,16.67,108,81.82,2,1.52,37035
37,36,79,19,24.05,59,74.68,1,1.27,37036
37,37,84,28,33.33,55,65.48,1,1.19,37037
37,38,146,35,23.97,111,76.03,0,0.0,37038
37,39,92,24,26.09,68,73.91,0,0.0,37039
37,40,117,28,23.93,89,76.07,0,0.0,37040
37,41,129,45,34.88,83,64.34,1,0.78,37041
42,2,117,62,52.99,51,43.59,4,3.42,42002
42,3,170,93,54.71,67,39.41,10,5.88,42003
42,4,294,138,46.94,140,47.62,16,5.44,42004
42,5,133,62,46.62,65,48.87,6,4.51,42005
42,6,234,103,44.02,120,51.28,11,4.7,42006
42,7,211,104,49.29,99,46.92,8,3.79,42007
42,8,197,86,43.65,110,55.84,1,0.51,42008
42,9,156,81,51.92,62,39.74,13,8.33,42009
42,10,224,119,53.13,96,42.86,9,4.02,42010
42,11,140,45,32.14,86,61.43,9,6.43,42011
42,12,168,76,45.24,87,51.79,5,2.98,42012
42,13,220,94,42.73,118,53.64,8,3.64,42013
42,14,166,92,55.42,70,42.17,4,2.41,42014
42,15,170,87,51.18,74,43.53,9,5.29,42015
42,16,171,76,44.44,91,53.22,4,2.34,42016
42,17,175,89,50.86,77,44.0,9,5.14,42017
42,18,127,69,54.33,53,41.73,5,3.94,42018
42,20,124,67,54.03,52,41.94,5,4.03,42020
42,21,155,87,56.13,62,40.0,6,3.87,42021
42,25,154,74,48.05,68,44.16,12,7.79,42025
42,26,203,93,45.81,103,50.74,7,3.45,42026
42,27,146,81,55.48,56,38.36,9,6.16,42027
42,28,240,105,43.75,129,53.75,6,2.5,42028
42,29,248,133,53.63,101,40.73,14,5.65,42029
42,30,198,85,42.93,107,54.04,6,3.03,42030
42,31,196,85,43.37,103,52.55,8,4.08,42031
42,32,116,71,61.21,40,34.48,5,4.31,42032
42,33,217,109,50.23,97,44.7,11,5.07,42033
42,35,217,106,48.85,105,48.39,6,2.76,42035
42,36,188,113,60.11,68,36.17,7,3.72,42036
42,37,104,46,44.23,50,48.08,8,7.69,42037
42,38,115,56,48.7,53,46.09,6,5.22,42038
42,39,142,83,58.45,49,34.51,10,7.04,42039
42,40,178,89,50.0,83,46.63,6,3.37,42040
42,41,173,96,55.49,74,42.77,3,1.73,42041
42,42,265,130,49.06,125,47.17,10,3.77,42042
43,1,93,37,39.78,54,58.06,2,2.15,43001
43,45,123,53,43.09,64,52.03,6,4.88,43045
