ward,precinct,total,"Russell """"Russ"""" Hartigan","Russell """"Russ"""" Hartigan Percent",Dominique C. Ross,Dominique C. Ross Percent,Debra B. Walker,Debra B. Walker Percent,precinct_id
9,48,161,14,8.7,71,44.1,76,47.2,09048
9,49,168,20,11.9,84,50.0,64,38.1,09049
9,50,211,16,7.58,112,53.08,83,39.34,09050
9,51,160,18,11.25,85,53.13,57,35.63,09051
10,1,111,25,22.52,40,36.04,46,41.44,10001
10,2,73,22,30.14,29,39.73,22,30.14,10002
10,3,86,20,23.26,35,40.7,31,36.05,10003
10,4,52,16,30.77,21,40.38,15,28.85,10004
10,5,62,26,41.94,17,27.42,19,30.65,10005
10,6,71,18,25.35,24,33.8,29,40.85,10006
10,7,43,9,20.93,17,39.53,17,39.53,10007
10,8,30,6,20.0,12,40.0,12,40.0,10008
10,9,63,29,46.03,17,26.98,17,26.98,10009
10,10,81,25,30.86,27,33.33,29,35.8,10010
10,11,74,20,27.03,24,32.43,30,40.54,10011
10,12,45,13,28.89,19,42.22,13,28.89,10012
10,13,81,19,23.46,27,33.33,35,43.21,10013
10,14,87,25,28.74,29,33.33,33,37.93,10014
10,15,212,24,11.32,110,51.89,78,36.79,10015
10,16,54,11,20.37,17,31.48,26,48.15,10016
10,17,120,37,30.83,42,35.0,41,34.17,10017
10,18,39,15,38.46,17,43.59,7,17.95,10018
10,19,59,20,33.9,21,35.59,18,30.51,10019
10,20,78,35,44.87,24,30.77,19,24.36,10020
10,21,73,21,28.77,28,38.36,24,32.88,10021
10,22,26,7,26.92,11,42.31,8,30.77,10022
10,23,69,16,23.19,31,44.93,22,31.88,10023
10,24,67,18,26.87,23,34.33,26,38.81,10024
10,25,32,7,21.88,13,40.63,12,37.5,10025
10,26,59,17,28.81,23,38.98,19,32.2,10026
10,27,58,11,18.97,22,37.93,25,43.1,10027
10,28,80,26,32.5,22,27.5,32,40.0,10028
10,29,64,24,37.5,19,29.69,21,32.81,10029
10,30,52,20,38.46,18,34.62,14,26.92,10030
10,31,52,17,32.69,19,36.54,16,30.77,10031
10,32,69,15,21.74,23,33.33,31,44.93,10032
10,33,56,10,17.86,21,37.5,25,44.64,10033
10,34,37,10,27.03,15,40.54,12,32.43,10034
10,35,100,30,30.0,36,36.0,34,34.0,10035
10,36,33,5,15.15,10,30.3,18,54.55,10036
11,1,142,31,21.83,46,32.39,65,45.77,11001
11,2,5,1,20.0,2,40.0,2,40.0,11002
11,3,159,36,22.64,30,18.87,93,58.49,11003
11,4,110,39,35.45,23,20.91,48,43.64,11004
11,5,158,31,19.62,42,26.58,85,53.8,11005
11,6,191,46,24.08,65,34.03,80,41.88,11006
11,7,88,17,19.32,28,31.82,43,48.86,11007
11,8,119,27,22.69,37,31.09,55,46.22,11008
11,9,96,39,40.63,13,13.54,44,45.83,11009
11,10,92,26,28.26,15,16.3,51,55.43,11010
11,11,119,30,25.21,34,28.57,55,46.22,11011
11,12,134,62,46.27,34,25.37,38,28.36,11012
11,13,117,52,44.44,28,23.93,37,31.62,11013
11,14,41,24,58.54,7,17.07,10,24.39,11014
11,15,52,25,48.08,14,26.92,13,25.0,11015
11,16,73,31,42.47,16,21.92,26,35.62,11016
11,17,187,41,21.93,52,27.81,94,50.27,11017
11,18,93,30,32.26,26,27.96,37,39.78,11018
11,19,198,41,20.71,47,23.74,110,55.56,11019
11,20,88,33,37.5,22,25.0,33,37.5,11020
11,21,187,80,42.78,58,31.02,49,26.2,11021
11,22,147,42,28.57,35,23.81,70,47.62,11022
11,23,84,37,44.05,21,25.0,26,30.95,11023
11,24,195,74,37.95,66,33.85,55,28.21,11024
11,25,169,42,24.85,45,26.63,82,48.52,11025
11,26,158,42,26.58,46,29.11,70,44.3,11026
11,27,38,14,36.84,9,23.68,15,39.47,11027
11,28,56,29,51.79,12,21.43,15,26.79,11028
11,29,149,47,31.54,39,26.17,63,42.28,11029
11,30,70,27,38.57,17,24.29,26,37.14,11030
11,31,113,51,45.13,32,28.32,30,26.55,11031
11,32,58,22,37.93,17,29.31,19,32.76,11032
11,33,145,32,22.07,52,35.86,61,42.07,11033
11,34,56,32,57.14,10,17.86,14,25.0,11034
11,35,39,20,51.28,8,20.51,11,28.21,11035
11,36,45,20,44.44,3,6.67,22,48.89,11036
11,37,37,8,21.62,12,32.43,17,45.95,11037
11,38,68,11,16.18,18,26.47,39,57.35,11038
12,1,116,30,25.86,38,32.76,48,41.38,12001
12,2,69,24,34.78,33,47.83,12,17.39,12002
12,3,169,42,24.85,49,28.99,78,46.15,12003
12,4,123,30,24.39,37,30.08,56,45.53,12004
12,5,111,28,25.23,42,37.84,41,36.94,12005
12,6,115,35,30.43,31,26.96,49,42.61,12006
12,7,68,10,14.71,22,32.35,36,52.94,12007
12,8,121,38,31.4,44,36.36,39,32.23,12008
12,9,83,22,26.51,23,27.71,38,45.78,12009
12,10,101,17,16.83,38,37.62,46,45.54,12010
12,11,64,15,23.44,26,40.63,23,35.94,12011
12,12,72,23,31.94,19,26.39,30,41.67,12012
12,13,86,21,24.42,22,25.58,43,50.0,12013
12,14,68,10,14.71,25,36.76,33,48.53,12014
12,15,69,16,23.19,25,36.23,28,40.58,12015
