ward,precinct,total,ARTHUR L. TURNER (BRADLEY),ARTHUR L. TURNER (BRADLEY) Percent,KAREN YARBROUGH (BRADLEY),KAREN YARBROUGH (BRADLEY) Percent,PAT QUINN (BRADLEY),PAT QUINN (BRADLEY) Percent,MARGARET A. HOULIHAN (BRADLEY),MARGARET A. HOULIHAN (BRADLEY) Percent,RICKEY R. HENDON (BRADLEY),RICKEY R. HENDON (BRADLEY) Percent,ANN E. SMITH (BRADLEY),ANN E. SMITH (BRADLEY) Percent,HARRISON BOLTON (BRADLEY),HARRISON BOLTON (BRADLEY) Percent,THOMAS E. SIMMONS (GORE),THOMAS E. SIMMONS (GORE) Percent,BOBBIE L. STEELE (GORE),BOBBIE L. STEELE (GORE) Percent,"JERRY W. WILLIAMS, SR. (GORE)","JERRY W. WILLIAMS, SR. (GORE) Percent",LALEEN COLLINS-DOERRER (GORE),LALEEN COLLINS-DOERRER (GORE) Percent,JOHNNY L. MILLER (GORE),JOHNNY L. MILLER (GORE) Percent,BARBARA J. MCGOWAN (GORE),BARBARA J. MCGOWAN (GORE) Percent,BARTON M. MOY (GORE),BARTON M. MOY (GORE) Percent,precinct_id
28,59,398,17,4.27,9,2.26,13,3.27,5,1.26,18,4.52,8,2.01,3,0.75,43,10.8,59,14.82,47,11.81,42,10.55,47,11.81,49,12.31,38,9.55,28059
28,60,290,13,4.48,6,2.07,10,3.45,2,0.69,10,3.45,8,2.76,4,1.38,37,12.76,43,14.83,33,11.38,31,10.69,31,10.69,32,11.03,30,10.34,28060
28,61,264,15,5.68,15,5.68,15,5.68,7,2.65,13,4.92,9,3.41,5,1.89,25,9.47,29,10.98,27,10.23,24,9.09,29,10.98,29,10.98,22,8.33,28061
29,1,750,38,5.07,47,6.27,21,2.8,13,1.73,34,4.53,17,2.27,8,1.07,72,9.6,103,13.73,74,9.87,80,10.67,81,10.8,94,12.53,68,9.07,29001
29,3,795,36,4.53,22,2.77,23,2.89,6,0.75,26,3.27,17,2.14,12,1.51,91,11.45,117,14.72,90,11.32,91,11.45,87,10.94,102,12.83,75,9.43,29003
29,4,734,28,3.81,20,2.72,23,3.13,13,1.77,16,2.18,15,2.04,7,0.95,83,11.31,104,14.17,81,11.04,87,11.85,91,12.4,95,12.94,71,9.67,29004
29,5,754,26,3.45,27,3.58,28,3.71,15,1.99,33,4.38,23,3.05,12,1.59,76,10.08,101,13.4,77,10.21,83,11.01,81,10.74,100,13.26,72,9.55,29005
29,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29007
29,8,742,31,4.18,26,3.5,19,2.56,14,1.89,28,3.77,23,3.1,8,1.08,82,11.05,107,14.42,78,10.51,81,10.92,82,11.05,89,11.99,74,9.97,29008
29,9,596,34,5.7,62,10.4,23,3.86,15,2.52,27,4.53,21,3.52,11,1.85,57,9.56,82,13.76,43,7.21,51,8.56,58,9.73,69,11.58,43,7.21,29009
29,10,675,16,2.37,30,4.44,18,2.67,8,1.19,19,2.81,15,2.22,8,1.19,78,11.56,95,14.07,74,10.96,74,10.96,80,11.85,91,13.48,69,10.22,29010
29,11,619,16,2.58,33,5.33,25,4.04,8,1.29,20,3.23,17,2.75,7,1.13,64,10.34,84,13.57,60,9.69,70,11.31,71,11.47,85,13.73,59,9.53,29011
29,12,427,26,6.09,19,4.45,24,5.62,17,3.98,31,7.26,20,4.68,20,4.68,40,9.37,52,12.18,31,7.26,36,8.43,30,7.03,48,11.24,33,7.73,29012
29,13,827,31,3.75,33,3.99,34,4.11,11,1.33,33,3.99,12,1.45,13,1.57,89,10.76,124,14.99,74,8.95,99,11.97,88,10.64,106,12.82,80,9.67,29013
29,14,762,39,5.12,39,5.12,25,3.28,11,1.44,32,4.2,14,1.84,16,2.1,75,9.84,99,12.99,81,10.63,81,10.63,85,11.15,95,12.47,70,9.19,29014
29,15,1002,38,3.79,29,2.89,30,2.99,11,1.1,38,3.79,19,1.9,9,0.9,107,10.68,141,14.07,106,10.58,114,11.38,118,11.78,142,14.17,100,9.98,29015
29,16,568,16,2.82,19,3.35,10,1.76,7,1.23,20,3.52,11,1.94,7,1.23,68,11.97,78,13.73,60,10.56,65,11.44,69,12.15,77,13.56,61,10.74,29016
29,18,672,26,3.87,56,8.33,25,3.72,9,1.34,34,5.06,19,2.83,11,1.64,65,9.67,94,13.99,64,9.52,60,8.93,73,10.86,78,11.61,58,8.63,29018
29,19,706,19,2.69,29,4.11,16,2.27,9,1.27,25,3.54,18,2.55,7,0.99,82,11.61,100,14.16,75,10.62,78,11.05,87,12.32,91,12.89,70,9.92,29019
29,20,760,41,5.39,48,6.32,27,3.55,8,1.05,42,5.53,17,2.24,13,1.71,80,10.53,103,13.55,65,8.55,78,10.26,74,9.74,94,12.37,70,9.21,29020
29,21,458,27,5.9,44,9.61,20,4.37,11,2.4,25,5.46,19,4.15,10,2.18,39,8.52,56,12.23,39,8.52,43,9.39,40,8.73,49,10.7,36,7.86,29021
29,23,511,24,4.7,33,6.46,18,3.52,11,2.15,19,3.72,15,2.94,7,1.37,55,10.76,66,12.92,52,10.18,51,9.98,54,10.57,60,11.74,46,9.0,29023
29,24,905,38,4.2,37,4.09,24,2.65,16,1.77,40,4.42,15,1.66,14,1.55,87,9.61,130,14.36,91,10.06,95,10.5,102,11.27,120,13.26,96,10.61,29024
29,25,1009,27,2.68,31,3.07,30,2.97,15,1.49,28,2.78,21,2.08,15,1.49,119,11.79,142,14.07,112,11.1,118,11.69,122,12.09,120,11.89,109,10.8,29025
29,26,685,34,4.96,39,5.69,21,3.07,10,1.46,35,5.11,22,3.21,10,1.46,77,11.24,93,13.58,64,9.34,68,9.93,73,10.66,83,12.12,56,8.18,29026
29,27,414,15,3.62,23,5.56,11,2.66,7,1.69,22,5.31,10,2.42,4,0.97,45,10.87,57,13.77,43,10.39,42,10.14,47,11.35,52,12.56,36,8.7,29027
29,28,620,31,5.0,30,4.84,21,3.39,13,2.1,23,3.71,20,3.23,15,2.42,76,12.26,83,13.39,57,9.19,59,9.52,61,9.84,77,12.42,54,8.71,29028
29,29,909,51,5.61,53,5.83,22,2.42,13,1.43,45,4.95,15,1.65,7,0.77,101,11.11,131,14.41,81,8.91,86,9.46,102,11.22,129,14.19,73,8.03,29029
29,30,449,17,3.79,17,3.79,15,3.34,10,2.23,21,4.68,14,3.12,11,2.45,48,10.69,60,13.36,43,9.58,50,11.14,48,10.69,55,12.25,40,8.91,29030
29,31,750,26,3.47,45,6.0,26,3.47,13,1.73,33,4.4,20,2.67,15,2.0,82,10.93,99,13.2,70,9.33,76,10.13,76,10.13,98,13.07,71,9.47,29031
29,32,708,38,5.37,28,3.95,32,4.52,11,1.55,36,5.08,21,2.97,8,1.13,73,10.31,100,14.12,65,9.18,66,9.32,75,10.59,93,13.14,62,8.76,29032
29,33,641,27,4.21,40,6.24,22,3.43,13,2.03,24,3.74,15,2.34,12,1.87,64,9.98,84,13.1,60,9.36,60,9.36,73,11.39,85,13.26,62,9.67,29033
29,35,1181,22,1.86,16,1.35,19,1.61,7,0.59,29,2.46,14,1.19,11,0.93,145,12.28,174,14.73,145,12.28,145,12.28,159,13.46,159,13.46,136,11.52,29035
29,36,906,32,3.53,25,2.76,28,3.09,7,0.77,33,3.64,19,2.1,12,1.32,103,11.37,131,14.46,95,10.49,100,11.04,106,11.7,123,13.58,92,10.15,29036
29,37,730,28,3.84,29,3.97,25,3.42,16,2.19,29,3.97,15,2.05,6,0.82,82,11.23,108,14.79,73,10.0,73,10.0,76,10.41,95,13.01,75,10.27,29037
29,38,814,34,4.18,29,3.56,35,4.3,13,1.6,23,2.83,23,2.83,14,1.72,89,10.93,114,14.0,87,10.69,81,9.95,91,11.18,102,12.53,79,9.71,29038
29,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29039
29,40,1158,46,3.97,40,3.45,31,2.68,13,1.12,41,3.54,21,1.81,12,1.04,125,10.79,173,14.94,115,9.93,127,10.97,136,11.74,161,13.9,117,10.1,29040
29,41,962,26,2.7,30,3.12,29,3.01,11,1.14,36,3.74,23,2.39,7,0.73,119,12.37,119,12.37,95,9.88,94,9.77,129,13.41,145,15.07,99,10.29,29041
29,42,535,18,3.36,28,5.23,9,1.68,9,1.68,17,3.18,14,2.62,5,0.93,63,11.78,77,14.39,55,10.28,55,10.28,65,12.15,71,13.27,49,9.16,29042
29,43,1028,38,3.7,37,3.6,30,2.92,16,1.56,37,3.6,24,2.33,12,1.17,111,10.8,139,13.52,108,10.51,106,10.31,118,11.48,145,14.11,107,10.41,29043
29,44,693,32,4.62,38,5.48,23,3.32,12,1.73,40,5.77,14,2.02,17,2.45,71,10.25,98,14.14,62,8.95,68,9.81,68,9.81,94,13.56,56,8.08,29044
29,45,794,30,3.78,35,4.41,34,4.28,12,1.51,33,4.16,24,3.02,14,1.76,80,10.08,111,13.98,78,9.82,85,10.71,84,10.58,104,13.1,70,8.82,29045
29,46,428,21,4.91,20,4.67,11,2.57,8,1.87,20,4.67,15,3.5,7,1.64,48,11.21,58,13.55,42,9.81,37,8.64,50,11.68,55,12.85,36,8.41,29046
29,47,1179,56,4.75,99,8.4,57,4.83,23,1.95,60,5.09,47,3.99,16,1.36,101,8.57,150,12.72,103,8.74,119,10.09,108,9.16,138,11.7,102,8.65,29047
29,49,1040,33,3.17,34,3.27,34,3.27,20,1.92,36,3.46,32,3.08,18,1.73,129,12.4,137,13.17,104,10.0,105,10.1,123,11.83,139,13.37,96,9.23,29049
29,50,981,21,2.14,24,2.45,23,2.34,6,0.61,31,3.16,13,1.33,10,1.02,119,12.13,136,13.86,114,11.62,114,11.62,122,12.44,141,14.37,107,10.91,29050
29,51,655,30,4.58,26,3.97,16,2.44,7,1.07,25,3.82,15,2.29,7,1.07,74,11.3,99,15.11,63,9.62,63,9.62,77,11.76,91,13.89,62,9.47,29051
29,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29052
29,56,493,20,4.06,33,6.69,18,3.65,11,2.23,22,4.46,16,3.25,9,1.83,48,9.74,65,13.18,47,9.53,51,10.34,49,9.94,64,12.98,40,8.11,29056
31,19,59,3,5.08,2,3.39,5,8.47,2,3.39,6,10.17,2,3.39,1,1.69,8,13.56,6,10.17,5,8.47,4,6.78,3,5.08,7,11.86,5,8.47,31019
32,1,548,38,6.93,33,6.02,45,8.21,37,6.75,21,3.83,31,5.66,18,3.28,42,7.66,42,7.66,42,7.66,42,7.66,47,8.58,66,12.04,44,8.03,32001
32,6,546,44,8.06,40,7.33,45,8.24,46,8.42,28,5.13,36,6.59,18,3.3,32,5.86,39,7.14,43,7.88,39,7.14,36,6.59,59,10.81,41,7.51,32006
32,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32012
32,26,609,40,6.57,38,6.24,47,7.72,44,7.22,25,4.11,36,5.91,23,3.78,49,8.05,48,7.88,46,7.55,51,8.37,51,8.37,62,10.18,49,8.05,32026
32,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32046
36,4,3,0,0.0,0,0.0,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,36004
36,16,661,28,4.24,38,5.75,50,7.56,38,5.75,32,4.84,35,5.3,19,2.87,72,10.89,63,9.53,44,6.66,69,10.44,51,7.72,69,10.44,53,8.02,36016
36,23,351,12,3.42,15,4.27,27,7.69,18,5.13,14,3.99,12,3.42,7,1.99,51,14.53,33,9.4,23,6.55,48,13.68,27,7.69,38,10.83,26,7.41,36023
36,24,614,26,4.23,23,3.75,20,3.26,10,1.63,25,4.07,14,2.28,7,1.14,95,15.47,73,11.89,58,9.45,80,13.03,60,9.77,70,11.4,53,8.63,36024
36,26,983,37,3.76,39,3.97,31,3.15,16,1.63,41,4.17,27,2.75,14,1.42,184,18.72,115,11.7,74,7.53,143,14.55,85,8.65,104,10.58,73,7.43,36026
36,33,595,25,4.2,35,5.88,47,7.9,30,5.04,31,5.21,28,4.71,16,2.69,62,10.42,48,8.07,47,7.9,66,11.09,51,8.57,62,10.42,47,7.9,36033
36,43,928,29,3.13,24,2.59,20,2.16,7,0.75,37,3.99,15,1.62,10,1.08,175,18.86,99,10.67,81,8.73,154,16.59,96,10.34,97,10.45,84,9.05,36043
36,44,664,34,5.12,35,5.27,52,7.83,38,5.72,30,4.52,31,4.67,12,1.81,67,10.09,60,9.04,49,7.38,88,13.25,48,7.23,67,10.09,53,7.98,36044
36,54,852,40,4.69,43,5.05,52,6.1,30,3.52,42,4.93,34,3.99,17,2.0,108,12.68,83,9.74,66,7.75,106,12.44,69,8.1,93,10.92,69,8.1,36054
36,55,774,36,4.65,50,6.46,50,6.46,38,4.91,35,4.52,34,4.39,23,2.97,89,11.5,64,8.27,57,7.36,85,10.98,59,7.62,84,10.85,70,9.04,36055
37,1,541,46,8.5,27,4.99,19,3.51,13,2.4,36,6.65,37,6.84,9,1.66,43,7.95,67,12.38,33,6.1,47,8.69,58,10.72,69,12.75,37,6.84,37001
37,2,25,1,4.0,1,4.0,1,4.0,1,4.0,1,4.0,0,0.0,1,4.0,3,12.0,2,8.0,4,16.0,2,8.0,2,8.0,4,16.0,2,8.0,37002
37,3,235,23,9.79,8,3.4,9,3.83,7,2.98,15,6.38,9,3.83,3,1.28,18,7.66,33,14.04,19,8.09,20,8.51,25,10.64,29,12.34,17,7.23,37003
37,4,460,36,7.83,16,3.48,11,2.39,7,1.52,38,8.26,28,6.09,9,1.96,36,7.83,62,13.48,33,7.17,37,8.04,46,10.0,69,15.0,32,6.96,37004
37,5,600,51,8.5,20,3.33,25,4.17,14,2.33,48,8.0,42,7.0,18,3.0,49,8.17,81,13.5,37,6.17,41,6.83,65,10.83,74,12.33,35,5.83,37005
37,6,994,67,6.74,29,2.92,35,3.52,15,1.51,65,6.54,44,4.43,10,1.01,92,9.26,137,13.78,85,8.55,97,9.76,118,11.87,120,12.07,80,8.05,37006
37,7,685,70,10.22,30,4.38,20,2.92,8,1.17,42,6.13,49,7.15,9,1.31,49,7.15,100,14.6,39,5.69,48,7.01,86,12.55,95,13.87,40,5.84,37007
37,8,666,71,10.66,20,3.0,22,3.3,17,2.55,61,9.16,45,6.76,10,1.5,45,6.76,91,13.66,41,6.16,44,6.61,75,11.26,82,12.31,42,6.31,37008
37,9,492,32,6.5,31,6.3,25,5.08,10,2.03,30,6.1,25,5.08,15,3.05,44,8.94,61,12.4,35,7.11,44,8.94,49,9.96,53,10.77,38,7.72,37009
37,10,627,56,8.93,14,2.23,19,3.03,7,1.12,57,9.09,41,6.54,7,1.12,49,7.81,85,13.56,39,6.22,49,7.81,81,12.92,82,13.08,41,6.54,37010
37,12,655,55,8.4,20,3.05,15,2.29,10,1.53,54,8.24,49,7.48,13,1.98,54,8.24,94,14.35,42,6.41,49,7.48,78,11.91,84,12.82,38,5.8,37012
37,13,607,43,7.08,28,4.61,22,3.62,18,2.97,42,6.92,33,5.44,12,1.98,54,8.9,72,11.86,51,8.4,56,9.23,60,9.88,70,11.53,46,7.58,37013
37,14,519,30,5.78,11,2.12,18,3.47,7,1.35,35,6.74,22,4.24,10,1.93,50,9.63,74,14.26,46,8.86,51,9.83,57,10.98,69,13.29,39,7.51,37014
37,15,1037,85,8.2,38,3.66,33,3.18,19,1.83,78,7.52,58,5.59,20,1.93,79,7.62,143,13.79,75,7.23,89,8.58,115,11.09,134,12.92,71,6.85,37015
37,16,1085,87,8.02,28,2.58,40,3.69,16,1.47,77,7.1,66,6.08,14,1.29,90,8.29,149,13.73,84,7.74,80,7.37,129,11.89,137,12.63,88,8.11,37016
37,17,517,33,6.38,19,3.68,17,3.29,10,1.93,43,8.32,21,4.06,10,1.93,49,9.48,70,13.54,44,8.51,49,9.48,52,10.06,64,12.38,36,6.96,37017
37,18,800,66,8.25,28,3.5,28,3.5,16,2.0,65,8.13,59,7.38,8,1.0,59,7.38,112,14.0,57,7.13,63,7.88,89,11.13,100,12.5,50,6.25,37018
37,19,607,52,8.57,19,3.13,27,4.45,17,2.8,50,8.24,32,5.27,12,1.98,49,8.07,78,12.85,44,7.25,47,7.74,65,10.71,75,12.36,40,6.59,37019
37,20,675,47,6.96,34,5.04,25,3.7,11,1.63,38,5.63,33,4.89,10,1.48,66,9.78,98,14.52,60,8.89,67,9.93,61,9.04,83,12.3,42,6.22,37020
37,21,677,53,7.83,31,4.58,23,3.4,14,2.07,47,6.94,37,5.47,13,1.92,68,10.04,91,13.44,48,7.09,56,8.27,72,10.64,85,12.56,39,5.76,37021
37,22,482,35,7.26,22,4.56,20,4.15,10,2.07,24,4.98,26,5.39,6,1.24,45,9.34,63,13.07,38,7.88,53,11.0,50,10.37,57,11.83,33,6.85,37022
37,23,722,36,4.99,32,4.43,22,3.05,13,1.8,44,6.09,30,4.16,7,0.97,79,10.94,101,13.99,68,9.42,70,9.7,77,10.66,83,11.5,60,8.31,37023
37,24,488,47,9.63,31,6.35,20,4.1,8,1.64,35,7.17,29,5.94,9,1.84,38,7.79,64,13.11,30,6.15,37,7.58,50,10.25,58,11.89,32,6.56,37024
37,25,701,53,7.56,34,4.85,31,4.42,17,2.43,53,7.56,35,4.99,7,1.0,54,7.7,103,14.69,47,6.7,61,8.7,79,11.27,78,11.13,49,6.99,37025
37,26,551,26,4.72,24,4.36,23,4.17,4,0.73,36,6.53,19,3.45,9,1.63,57,10.34,77,13.97,50,9.07,52,9.44,61,11.07,68,12.34,45,8.17,37026
37,27,356,34,9.55,16,4.49,19,5.34,6,1.69,26,7.3,24,6.74,5,1.4,27,7.58,49,13.76,22,6.18,25,7.02,38,10.67,46,12.92,19,5.34,37027
37,28,675,59,8.74,14,2.07,25,3.7,7,1.04,48,7.11,38,5.63,8,1.19,54,8.0,105,15.56,55,8.15,49,7.26,78,11.56,87,12.89,48,7.11,37028
37,29,759,51,6.72,35,4.61,34,4.48,16,2.11,52,6.85,36,4.74,14,1.84,65,8.56,102,13.44,59,7.77,65,8.56,88,11.59,93,12.25,49,6.46,37029
37,30,822,59,7.18,28,3.41,26,3.16,20,2.43,56,6.81,38,4.62,8,0.97,91,11.07,107,13.02,64,7.79,81,9.85,84,10.22,98,11.92,62,7.54,37030
37,31,1156,97,8.39,55,4.76,42,3.63,21,1.82,97,8.39,66,5.71,13,1.12,86,7.44,155,13.41,77,6.66,94,8.13,127,10.99,152,13.15,74,6.4,37031
37,32,569,46,8.08,30,5.27,18,3.16,8,1.41,42,7.38,22,3.87,6,1.05,49,8.61,79,13.88,49,8.61,47,8.26,64,11.25,68,11.95,41,7.21,37032
37,33,752,46,6.12,32,4.26,29,3.86,17,2.26,42,5.59,29,3.86,9,1.2,84,11.17,87,11.57,71,9.44,80,10.64,83,11.04,81,10.77,62,8.24,37033
37,34,916,74,8.08,23,2.51,24,2.62,9,0.98,66,7.21,49,5.35,11,1.2,77,8.41,123,13.43,68,7.42,78,8.52,121,13.21,124,13.54,69,7.53,37034
37,36,434,23,5.3,25,5.76,22,5.07,11,2.53,29,6.68,23,5.3,8,1.84,33,7.6,51,11.75,30,6.91,41,9.45,48,11.06,59,13.59,31,7.14,37036
37,37,604,47,7.78,32,5.3,24,3.97,18,2.98,43,7.12,28,4.64,13,2.15,54,8.94,72,11.92,43,7.12,53,8.77,58,9.6,78,12.91,41,6.79,37037
37,38,793,67,8.45,23,2.9,14,1.77,12,1.51,65,8.2,51,6.43,12,1.51,62,7.82,108,13.62,56,7.06,65,8.2,96,12.11,103,12.99,59,7.44,37038
37,39,438,27,6.16,18,4.11,14,3.2,8,1.83,34,7.76,16,3.65,10,2.28,39,8.9,59,13.47,36,8.22,45,10.27,45,10.27,54,12.33,33,7.53,37039
37,40,689,46,6.68,21,3.05,23,3.34,9,1.31,51,7.4,30,4.35,5,0.73,68,9.87,97,14.08,57,8.27,61,8.85,87,12.63,84,12.19,50,7.26,37040
37,41,1166,86,7.38,44,3.77,35,3.0,21,1.8,83,7.12,55,4.72,11,0.94,105,9.01,157,13.46,91,7.8,113,9.69,130,11.15,149,12.78,86,7.38,37041
37,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37042
37,43,722,52,7.2,21,2.91,22,3.05,11,1.52,53,7.34,29,4.02,12,1.66,74,10.25,96,13.3,57,7.89,69,9.56,88,12.19,87,12.05,51,7.06,37043
37,44,682,70,10.26,16,2.35,23,3.37,6,0.88,58,8.5,42,6.16,10,1.47,50,7.33,100,14.66,47,6.89,45,6.6,87,12.76,85,12.46,43,6.3,37044
37,45,701,82,11.7,35,4.99,16,2.28,9,1.28,55,7.85,48,6.85,10,1.43,47,6.7,93,13.27,47,6.7,47,6.7,82,11.7,90,12.84,40,5.71,37045
37,46,480,38,7.92,15,3.13,12,2.5,8,1.67,33,6.88,22,4.58,3,0.63,41,8.54,69,14.38,37,7.71,42,8.75,61,12.71,64,13.33,35,7.29,37046
37,47,126,13,10.32,4,3.17,5,3.97,1,0.79,16,12.7,9,7.14,1,0.79,9,7.14,18,14.29,6,4.76,8,6.35,15,11.9,15,11.9,6,4.76,37047
37,48,569,51,8.96,10,1.76,20,3.51,7,1.23,41,7.21,35,6.15,9,1.58,47,8.26,74,13.01,41,7.21,51,8.96,70,12.3,74,13.01,39,6.85,37048
37,49,541,32,5.91,18,3.33,18,3.33,7,1.29,29,5.36,22,4.07,7,1.29,59,10.91,75,13.86,50,9.24,58,10.72,57,10.54,63,11.65,46,8.5,37049
37,50,193,11,5.7,7,3.63,6,3.11,0,0.0,11,5.7,7,3.63,1,0.52,19,9.84,28,14.51,19,9.84,18,9.33,25,12.95,26,13.47,15,7.77,37050
42,2,351,19,5.41,25,7.12,17,4.84,19,5.41,16,4.56,19,5.41,13,3.7,25,7.12,34,9.69,30,8.55,33,9.4,28,7.98,40,11.4,33,9.4,42002
42,3,381,19,4.99,19,4.99,23,6.04,15,3.94,17,4.46,20,5.25,11,2.89,29,7.61,42,11.02,33,8.66,35,9.19,35,9.19,46,12.07,37,9.71,42003
42,4,553,24,4.34,32,5.79,38,6.87,31,5.61,22,3.98,28,5.06,18,3.25,46,8.32,54,9.76,48,8.68,51,9.22,48,8.68,62,11.21,51,9.22,42004
42,6,1165,69,5.92,66,5.67,77,6.61,66,5.67,49,4.21,64,5.49,40,3.43,97,8.33,107,9.18,100,8.58,105,9.01,95,8.15,129,11.07,101,8.67,42006
42,9,404,20,4.95,15,3.71,22,5.45,15,3.71,13,3.22,19,4.7,8,1.98,37,9.16,43,10.64,41,10.15,42,10.4,43,10.64,45,11.14,41,10.15,42009
42,11,485,22,4.54,29,5.98,36,7.42,31,6.39,17,3.51,29,5.98,15,3.09,39,8.04,48,9.9,38,7.84,44,9.07,41,8.45,53,10.93,43,8.87,42011
42,12,340,23,6.76,21,6.18,25,7.35,19,5.59,18,5.29,18,5.29,12,3.53,22,6.47,32,9.41,26,7.65,29,8.53,29,8.53,35,10.29,31,9.12,42012
42,13,1138,55,4.83,57,5.01,79,6.94,60,5.27,50,4.39,60,5.27,40,3.51,92,8.08,115,10.11,98,8.61,99,8.7,104,9.14,122,10.72,107,9.4,42013
42,14,460,23,5.0,31,6.74,31,6.74,29,6.3,20,4.35,23,5.0,15,3.26,30,6.52,50,10.87,36,7.83,35,7.61,37,8.04,53,11.52,47,10.22,42014
42,17,93,5,5.38,5,5.38,4,4.3,5,5.38,4,4.3,5,5.38,3,3.23,8,8.6,10,10.75,8,8.6,9,9.68,8,8.6,11,11.83,8,8.6,42017
42,18,750,33,4.4,42,5.6,49,6.53,43,5.73,34,4.53,37,4.93,22,2.93,59,7.87,86,11.47,65,8.67,63,8.4,67,8.93,85,11.33,65,8.67,42018
42,19,396,13,3.28,22,5.56,19,4.8,15,3.79,12,3.03,17,4.29,10,2.53,40,10.1,43,10.86,37,9.34,45,11.36,37,9.34,45,11.36,41,10.35,42019
42,20,231,9,3.9,13,5.63,15,6.49,13,5.63,10,4.33,15,6.49,7,3.03,19,8.23,23,9.96,19,8.23,18,7.79,22,9.52,28,12.12,20,8.66,42020
42,21,373,18,4.83,25,6.7,25,6.7,19,5.09,17,4.56,21,5.63,11,2.95,28,7.51,38,10.19,31,8.31,33,8.85,32,8.58,41,10.99,34,9.12,42021
42,22,304,15,4.93,10,3.29,14,4.61,8,2.63,10,3.29,11,3.62,8,2.63,35,11.51,34,11.18,31,10.2,32,10.53,30,9.87,37,12.17,29,9.54,42022
42,25,615,26,4.23,39,6.34,45,7.32,39,6.34,22,3.58,37,6.02,22,3.58,48,7.8,55,8.94,52,8.46,51,8.29,47,7.64,73,11.87,59,9.59,42025
42,26,308,8,2.6,13,4.22,15,4.87,9,2.92,9,2.92,12,3.9,6,1.95,27,8.77,32,10.39,36,11.69,34,11.04,35,11.36,36,11.69,36,11.69,42026
42,27,915,44,4.81,41,4.48,64,6.99,47,5.14,36,3.93,47,5.14,27,2.95,79,8.63,99,10.82,78,8.52,82,8.96,80,8.74,104,11.37,87,9.51,42027
42,31,217,7,3.23,11,5.07,7,3.23,7,3.23,3,1.38,8,3.69,3,1.38,23,10.6,22,10.14,20,9.22,25,11.52,23,10.6,27,12.44,31,14.29,42031
42,32,453,19,4.19,21,4.64,28,6.18,24,5.3,16,3.53,22,4.86,12,2.65,38,8.39,49,10.82,41,9.05,47,10.38,38,8.39,54,11.92,44,9.71,42032
42,34,373,17,4.56,18,4.83,21,5.63,23,6.17,15,4.02,17,4.56,13,3.49,33,8.85,38,10.19,31,8.31,37,9.92,32,8.58,43,11.53,35,9.38,42034
42,36,618,29,4.69,33,5.34,38,6.15,32,5.18,29,4.69,26,4.21,21,3.4,49,7.93,66,10.68,54,8.74,56,9.06,58,9.39,69,11.17,58,9.39,42036
42,37,541,24,4.44,27,4.99,29,5.36,26,4.81,22,4.07,24,4.44,20,3.7,43,7.95,57,10.54,49,9.06,50,9.24,48,8.87,66,12.2,56,10.35,42037
42,38,525,26,4.95,27,5.14,30,5.71,24,4.57,17,3.24,29,5.52,18,3.43,47,8.95,54,10.29,47,8.95,52,9.9,46,8.76,58,11.05,50,9.52,42038
42,39,621,41,6.6,34,5.48,52,8.37,35,5.64,24,3.86,25,4.03,21,3.38,47,7.57,67,10.79,49,7.89,56,9.02,52,8.37,64,10.31,54,8.7,42039
42,40,381,18,4.72,19,4.99,23,6.04,20,5.25,16,4.2,17,4.46,12,3.15,38,9.97,38,9.97,34,8.92,35,9.19,32,8.4,42,11.02,37,9.71,42040
42,41,308,12,3.9,13,4.22,18,5.84,16,5.19,11,3.57,16,5.19,8,2.6,26,8.44,34,11.04,26,8.44,32,10.39,28,9.09,37,12.01,31,10.06,42041
42,43,558,30,5.38,31,5.56,41,7.35,37,6.63,24,4.3,33,5.91,29,5.2,38,6.81,49,8.78,47,8.42,49,8.78,46,8.24,56,10.04,48,8.6,42043
42,45,394,16,4.06,22,5.58,25,6.35,25,6.35,15,3.81,22,5.58,11,2.79,33,8.38,37,9.39,32,8.12,34,8.63,38,9.64,42,10.66,42,10.66,42045
42,46,327,14,4.28,14,4.28,16,4.89,12,3.67,18,5.5,16,4.89,7,2.14,32,9.79,40,12.23,30,9.17,31,9.48,31,9.48,34,10.4,32,9.79,42046
