ward,precinct,total,MATTHEW E. COGHLAN,MATTHEW E. COGHLAN Percent,THOMAS MORE DONNELLY,THOMAS MORE DONNELLY Percent,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,BEVERLY SUSLER PARKHURST,BEVERLY SUSLER PARKHURST Percent,precinct_id
6,37,166,27,16.27,45,27.11,58,34.94,36,21.69,06037
6,38,195,44,22.56,55,28.21,65,33.33,31,15.9,06038
6,39,73,16,21.92,22,30.14,26,35.62,9,12.33,06039
6,40,73,20,27.4,24,32.88,22,30.14,7,9.59,06040
6,41,159,33,20.75,37,23.27,47,29.56,42,26.42,06041
6,42,102,24,23.53,36,35.29,34,33.33,8,7.84,06042
6,43,178,31,17.42,56,31.46,59,33.15,32,17.98,06043
6,44,128,23,17.97,33,25.78,37,28.91,35,27.34,06044
6,45,91,9,9.89,24,26.37,31,34.07,27,29.67,06045
6,46,119,25,21.01,34,28.57,33,27.73,27,22.69,06046
6,47,161,29,18.01,53,32.92,51,31.68,28,17.39,06047
6,48,164,35,21.34,33,20.12,58,35.37,38,23.17,06048
6,49,129,26,20.16,42,32.56,36,27.91,25,19.38,06049
6,50,173,32,18.5,46,26.59,60,34.68,35,20.23,06050
6,51,105,21,20.0,34,32.38,35,33.33,15,14.29,06051
6,52,133,21,15.79,37,27.82,43,32.33,32,24.06,06052
6,53,123,33,26.83,36,29.27,38,30.89,16,13.01,06053
6,54,125,25,20.0,47,37.6,41,32.8,12,9.6,06054
6,55,105,23,21.9,28,26.67,40,38.1,14,13.33,06055
6,56,103,23,22.33,34,33.01,34,33.01,12,11.65,06056
6,57,80,13,16.25,20,25.0,32,40.0,15,18.75,06057
6,58,151,28,18.54,32,21.19,56,37.09,35,23.18,06058
6,59,140,33,23.57,31,22.14,49,35.0,27,19.29,06059
6,60,103,12,11.65,34,33.01,41,39.81,16,15.53,06060
6,61,99,7,7.07,34,34.34,37,37.37,21,21.21,06061
6,62,167,26,15.57,43,25.75,58,34.73,40,23.95,06062
6,63,122,28,22.95,34,27.87,42,34.43,18,14.75,06063
6,64,190,42,22.11,52,27.37,48,25.26,48,25.26,06064
7,1,216,86,39.81,39,18.06,57,26.39,34,15.74,07001
7,2,155,57,36.77,25,16.13,43,27.74,30,19.35,07002
7,3,122,36,29.51,26,21.31,33,27.05,27,22.13,07003
7,4,126,49,38.89,23,18.25,39,30.95,15,11.9,07004
7,5,100,39,39.0,20,20.0,32,32.0,9,9.0,07005
7,6,121,46,38.02,27,22.31,27,22.31,21,17.36,07006
7,7,109,42,38.53,20,18.35,27,24.77,20,18.35,07007
7,8,101,26,25.74,27,26.73,30,29.7,18,17.82,07008
7,9,131,44,33.59,29,22.14,34,25.95,24,18.32,07009
7,10,154,37,24.03,36,23.38,45,29.22,36,23.38,07010
7,11,152,43,28.29,18,11.84,52,34.21,39,25.66,07011
7,12,138,65,47.1,23,16.67,37,26.81,13,9.42,07012
7,13,79,19,24.05,16,20.25,25,31.65,19,24.05,07013
7,14,136,29,21.32,24,17.65,44,32.35,39,28.68,07014
7,15,188,68,36.17,38,20.21,48,25.53,34,18.09,07015
7,16,139,43,30.94,38,27.34,42,30.22,16,11.51,07016
7,17,131,33,25.19,34,25.95,44,33.59,20,15.27,07017
7,18,134,65,48.51,21,15.67,25,18.66,23,17.16,07018
7,19,184,62,33.7,34,18.48,57,30.98,31,16.85,07019
7,20,30,8,26.67,8,26.67,11,36.67,3,10.0,07020
7,21,151,72,47.68,24,15.89,41,27.15,14,9.27,07021
7,22,139,54,38.85,26,18.71,37,26.62,22,15.83,07022
7,23,138,50,36.23,24,17.39,41,29.71,23,16.67,07023
7,24,187,73,39.04,44,23.53,45,24.06,25,13.37,07024
7,25,121,46,38.02,27,22.31,38,31.4,10,8.26,07025
7,26,158,56,35.44,33,20.89,42,26.58,27,17.09,07026
7,27,147,26,17.69,41,27.89,48,32.65,32,21.77,07027
7,28,128,25,19.53,36,28.13,45,35.16,22,17.19,07028
7,29,83,43,51.81,8,9.64,19,22.89,13,15.66,07029
7,30,211,70,33.18,35,16.59,61,28.91,45,21.33,07030
7,31,177,68,38.42,32,18.08,52,29.38,25,14.12,07031
7,32,131,27,20.61,35,26.72,49,37.4,20,15.27,07032
7,33,138,56,40.58,25,18.12,45,32.61,12,8.7,07033
7,34,106,28,26.42,22,20.75,35,33.02,21,19.81,07034
7,35,177,38,21.47,52,29.38,57,32.2,30,16.95,07035
7,36,230,82,35.65,57,24.78,65,28.26,26,11.3,07036
7,37,165,54,32.73,28,16.97,48,29.09,35,21.21,07037
7,38,159,67,42.14,25,15.72,34,21.38,33,20.75,07038
7,39,127,33,25.98,26,20.47,41,32.28,27,21.26,07039
7,40,115,30,26.09,28,24.35,29,25.22,28,24.35,07040
7,41,181,42,23.2,44,24.31,64,35.36,31,17.13,07041
7,42,141,41,29.08,25,17.73,49,34.75,26,18.44,07042
7,43,158,55,34.81,37,23.42,42,26.58,24,15.19,07043
7,44,174,67,38.51,32,18.39,48,27.59,27,15.52,07044
7,45,189,76,40.21,31,16.4,40,21.16,42,22.22,07045
7,46,54,20,37.04,15,27.78,12,22.22,7,12.96,07046
8,1,183,48,26.23,51,27.87,55,30.05,29,15.85,08001
8,2,131,33,25.19,31,23.66,38,29.01,29,22.14,08002
8,3,235,82,34.89,68,28.94,53,22.55,32,13.62,08003
8,4,173,60,34.68,35,20.23,53,30.64,25,14.45,08004
8,5,216,70,32.41,41,18.98,60,27.78,45,20.83,08005
8,6,189,47,24.87,69,36.51,52,27.51,21,11.11,08006
8,7,103,26,25.24,32,31.07,35,33.98,10,9.71,08007
8,8,199,56,28.14,48,24.12,54,27.14,41,20.6,08008
8,9,210,49,23.33,51,24.29,70,33.33,40,19.05,08009
8,10,191,41,21.47,47,24.61,75,39.27,28,14.66,08010
8,11,124,41,33.06,38,30.65,31,25.0,14,11.29,08011
8,12,145,44,30.34,30,20.69,41,28.28,30,20.69,08012
8,13,104,34,32.69,21,20.19,28,26.92,21,20.19,08013
8,14,124,42,33.87,40,32.26,29,23.39,13,10.48,08014
8,15,137,43,31.39,47,34.31,36,26.28,11,8.03,08015
8,16,188,47,25.0,40,21.28,67,35.64,34,18.09,08016
8,17,152,51,33.55,44,28.95,37,24.34,20,13.16,08017
8,18,102,23,22.55,35,34.31,30,29.41,14,13.73,08018
8,19,216,51,23.61,61,28.24,60,27.78,44,20.37,08019
8,20,134,45,33.58,25,18.66,40,29.85,24,17.91,08020
