ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
8,33,776,91,11.73,99,12.76,76,9.79,99,12.76,84,10.82,73,9.41,74,9.54,84,10.82,9,1.16,15,1.93,13,1.68,12,1.55,14,1.8,9,1.16,12,1.55,12,1.55,08033
8,34,1309,144,11.0,181,13.83,109,8.33,171,13.06,129,9.85,114,8.71,98,7.49,145,11.08,24,1.83,32,2.44,28,2.14,36,2.75,21,1.6,19,1.45,30,2.29,28,2.14,08034
8,35,1709,185,10.83,243,14.22,129,7.55,220,12.87,167,9.77,143,8.37,131,7.67,194,11.35,44,2.57,36,2.11,35,2.05,45,2.63,27,1.58,31,1.81,41,2.4,38,2.22,08035
8,36,1073,113,10.53,174,16.22,88,8.2,147,13.7,103,9.6,86,8.01,80,7.46,115,10.72,23,2.14,16,1.49,17,1.58,33,3.08,11,1.03,19,1.77,28,2.61,20,1.86,08036
8,37,894,93,10.4,126,14.09,77,8.61,118,13.2,89,9.96,78,8.72,77,8.61,106,11.86,20,2.24,17,1.9,13,1.45,20,2.24,8,0.89,13,1.45,21,2.35,18,2.01,08037
8,38,1140,125,10.96,169,14.82,102,8.95,144,12.63,117,10.26,110,9.65,106,9.3,128,11.23,25,2.19,19,1.67,19,1.67,23,2.02,15,1.32,12,1.05,12,1.05,14,1.23,08038
8,39,1248,131,10.5,173,13.86,94,7.53,163,13.06,115,9.21,99,7.93,92,7.37,140,11.22,38,3.04,32,2.56,25,2.0,29,2.32,22,1.76,32,2.56,34,2.72,29,2.32,08039
8,40,1053,112,10.64,173,16.43,92,8.74,145,13.77,105,9.97,85,8.07,85,8.07,117,11.11,19,1.8,19,1.8,21,1.99,26,2.47,13,1.23,15,1.42,7,0.66,19,1.8,08040
8,41,1191,130,10.92,183,15.37,92,7.72,159,13.35,116,9.74,98,8.23,91,7.64,139,11.67,27,2.27,23,1.93,18,1.51,31,2.6,15,1.26,19,1.6,28,2.35,22,1.85,08041
8,42,1094,111,10.15,159,14.53,82,7.5,141,12.89,104,9.51,92,8.41,77,7.04,121,11.06,39,3.56,33,3.02,32,2.93,31,2.83,9,0.82,19,1.74,26,2.38,18,1.65,08042
8,43,619,60,9.69,102,16.48,50,8.08,97,15.67,62,10.02,55,8.89,43,6.95,78,12.6,14,2.26,5,0.81,10,1.62,17,2.75,5,0.81,3,0.48,12,1.94,6,0.97,08043
8,44,1436,156,10.86,196,13.65,120,8.36,193,13.44,151,10.52,122,8.5,122,8.5,167,11.63,34,2.37,14,0.97,29,2.02,31,2.16,15,1.04,23,1.6,35,2.44,28,1.95,08044
8,45,1017,111,10.91,159,15.63,84,8.26,135,13.27,98,9.64,85,8.36,81,7.96,116,11.41,18,1.77,18,1.77,20,1.97,29,2.85,10,0.98,15,1.47,23,2.26,15,1.47,08045
8,46,1035,110,10.63,147,14.2,69,6.67,139,13.43,100,9.66,86,8.31,76,7.34,118,11.4,27,2.61,21,2.03,22,2.13,30,2.9,16,1.55,17,1.64,34,3.29,23,2.22,08046
8,47,1102,118,10.71,151,13.7,92,8.35,156,14.16,114,10.34,89,8.08,95,8.62,111,10.07,22,2.0,16,1.45,20,1.81,27,2.45,14,1.27,24,2.18,23,2.09,30,2.72,08047
8,48,1262,132,10.46,182,14.42,98,7.77,158,12.52,119,9.43,101,8.0,87,6.89,143,11.33,36,2.85,35,2.77,20,1.58,43,3.41,19,1.51,28,2.22,32,2.54,29,2.3,08048
8,49,1340,142,10.6,209,15.6,104,7.76,176,13.13,128,9.55,107,7.99,97,7.24,158,11.79,32,2.39,29,2.16,22,1.64,29,2.16,19,1.42,20,1.49,34,2.54,34,2.54,08049
8,50,1180,127,10.76,185,15.68,92,7.8,158,13.39,111,9.41,102,8.64,86,7.29,133,11.27,25,2.12,22,1.86,21,1.78,32,2.71,16,1.36,23,1.95,23,1.95,24,2.03,08050
8,51,1114,118,10.59,174,15.62,91,8.17,154,13.82,117,10.5,89,7.99,79,7.09,127,11.4,22,1.97,22,1.97,15,1.35,33,2.96,15,1.35,14,1.26,17,1.53,27,2.42,08051
8,52,1313,145,11.04,199,15.16,103,7.84,170,12.95,136,10.36,111,8.45,101,7.69,153,11.65,27,2.06,27,2.06,22,1.68,38,2.89,13,0.99,20,1.52,26,1.98,22,1.68,08052
