ward,precinct,total,TONY V. LU (BRADLEY),TONY V. LU (BRADLEY) Percent,CAROL RONEN (BRADLEY),CAROL RONEN (BRADLEY) Percent,JEFF SCHOENBERG (BRADLEY),JEFF SCHOENBERG (BRADLEY) Percent,BARBARA HILLMAN (BRADLEY),BARBARA HILLMAN (BRADLEY) Percent,JAMES B. BURNS (BRADLEY),JAMES B. BURNS (BRADLEY) Percent,HELEN SHILLER (BRADLEY),HELEN SHILLER (BRADLEY) Percent,HOWARD W. CARROLL (GORE),HOWARD W. CARROLL (GORE) Percent,CHRISTINA (TINA) M. TCHEN (GORE),CHRISTINA (TINA) M. TCHEN (GORE) Percent,THOMAS H. REECE (GORE),THOMAS H. REECE (GORE) Percent,ANTOINETTE M. MALATESTA (GORE),ANTOINETTE M. MALATESTA (GORE) Percent,JOHN F. NORWOOD (GORE),JOHN F. NORWOOD (GORE) Percent,SYLVIA M. PUENTE (GORE),SYLVIA M. PUENTE (GORE) Percent,DANIELLE ALEXANDER (LaROUCHE),DANIELLE ALEXANDER (LaROUCHE) Percent,DIANNE BETTAG (LaROUCHE),DIANNE BETTAG (LaROUCHE) Percent,PATRICK HOLZER (LaROUCHE),PATRICK HOLZER (LaROUCHE) Percent,GENE SCHENK (LaROUCHE),GENE SCHENK (LaROUCHE) Percent,SUSAN WAKEFIELD (LaROUCHE),SUSAN WAKEFIELD (LaROUCHE) Percent,VERN SHIPLEY (LaROUCHE),VERN SHIPLEY (LaROUCHE) Percent,precinct_id
48,17,502,27,5.38,37,7.37,23,4.58,29,5.78,27,5.38,34,6.77,53,10.56,46,9.16,49,9.76,48,9.56,49,9.76,48,9.56,7,1.39,6,1.2,1,0.2,2,0.4,9,1.79,7,1.39,48017
48,18,383,10,2.61,39,10.18,10,2.61,14,3.66,12,3.13,22,5.74,53,13.84,40,10.44,41,10.7,38,9.92,36,9.4,36,9.4,4,1.04,3,0.78,4,1.04,5,1.31,6,1.57,10,2.61,48018
48,19,652,26,3.99,84,12.88,31,4.75,29,4.45,29,4.45,41,6.29,55,8.44,69,10.58,63,9.66,67,10.28,62,9.51,57,8.74,9,1.38,4,0.61,5,0.77,7,1.07,8,1.23,6,0.92,48019
48,20,452,29,6.42,55,12.17,39,8.63,29,6.42,31,6.86,32,7.08,38,8.41,46,10.18,29,6.42,36,7.96,34,7.52,34,7.52,3,0.66,3,0.66,5,1.11,4,0.88,1,0.22,4,0.88,48020
48,21,566,22,3.89,34,6.01,14,2.47,22,3.89,18,3.18,49,8.66,62,10.95,65,11.48,54,9.54,56,9.89,51,9.01,60,10.6,7,1.24,10,1.77,11,1.94,8,1.41,16,2.83,7,1.24,48021
48,22,1089,42,3.86,153,14.05,41,3.76,53,4.87,41,3.76,61,5.6,109,10.01,111,10.19,98,9.0,100,9.18,96,8.82,107,9.83,17,1.56,9,0.83,5,0.46,7,0.64,21,1.93,18,1.65,48022
48,23,475,17,3.58,29,6.11,11,2.32,12,2.53,11,2.32,23,4.84,49,10.32,56,11.79,52,10.95,54,11.37,52,10.95,56,11.79,9,1.89,11,2.32,7,1.47,8,1.68,13,2.74,5,1.05,48023
48,24,565,15,2.65,22,3.89,21,3.72,19,3.36,17,3.01,25,4.42,75,13.27,69,12.21,64,11.33,64,11.33,63,11.15,70,12.39,10,1.77,4,0.71,7,1.24,5,0.88,9,1.59,6,1.06,48024
48,25,487,17,3.49,33,6.78,15,3.08,27,5.54,17,3.49,36,7.39,53,10.88,54,11.09,47,9.65,56,11.5,52,10.68,54,11.09,5,1.03,6,1.23,3,0.62,1,0.21,6,1.23,5,1.03,48025
48,26,662,29,4.38,83,12.54,35,5.29,31,4.68,27,4.08,49,7.4,65,9.82,66,9.97,56,8.46,64,9.67,51,7.7,59,8.91,7,1.06,7,1.06,6,0.91,6,0.91,10,1.51,11,1.66,48026
48,27,423,10,2.36,54,12.77,20,4.73,19,4.49,13,3.07,28,6.62,46,10.87,40,9.46,37,8.75,37,8.75,38,8.98,33,7.8,8,1.89,7,1.65,6,1.42,5,1.18,12,2.84,10,2.36,48027
48,28,701,26,3.71,68,9.7,29,4.14,25,3.57,20,2.85,41,5.85,88,12.55,75,10.7,69,9.84,73,10.41,71,10.13,72,10.27,6,0.86,6,0.86,8,1.14,4,0.57,14,2.0,6,0.86,48028
48,29,587,9,1.53,72,12.27,35,5.96,30,5.11,15,2.56,39,6.64,73,12.44,53,9.03,47,8.01,49,8.35,46,7.84,51,8.69,13,2.21,9,1.53,10,1.7,9,1.53,19,3.24,8,1.36,48029
48,30,497,30,6.04,59,11.87,29,5.84,26,5.23,27,5.43,32,6.44,51,10.26,48,9.66,40,8.05,47,9.46,42,8.45,39,7.85,6,1.21,2,0.4,6,1.21,5,1.01,6,1.21,2,0.4,48030
48,31,467,12,2.57,45,9.64,13,2.78,17,3.64,13,2.78,29,6.21,52,11.13,50,10.71,49,10.49,47,10.06,53,11.35,53,11.35,4,0.86,5,1.07,6,1.28,3,0.64,8,1.71,8,1.71,48031
48,32,448,15,3.35,44,9.82,12,2.68,19,4.24,12,2.68,26,5.8,45,10.04,55,12.28,42,9.38,48,10.71,43,9.6,50,11.16,7,1.56,4,0.89,6,1.34,5,1.12,8,1.79,7,1.56,48032
48,33,612,20,3.27,69,11.27,25,4.08,24,3.92,20,3.27,39,6.37,70,11.44,62,10.13,60,9.8,67,10.95,67,10.95,61,9.97,3,0.49,9,1.47,5,0.82,2,0.33,6,0.98,3,0.49,48033
48,34,518,25,4.83,34,6.56,25,4.83,21,4.05,25,4.83,29,5.6,60,11.58,58,11.2,52,10.04,48,9.27,53,10.23,52,10.04,8,1.54,5,0.97,6,1.16,6,1.16,8,1.54,3,0.58,48034
48,35,402,19,4.73,24,5.97,16,3.98,19,4.73,13,3.23,25,6.22,47,11.69,41,10.2,42,10.45,43,10.7,39,9.7,40,9.95,7,1.74,4,1.0,4,1.0,5,1.24,6,1.49,8,1.99,48035
48,36,591,16,2.71,57,9.64,19,3.21,19,3.21,12,2.03,30,5.08,74,12.52,65,11.0,60,10.15,68,11.51,57,9.64,58,9.81,10,1.69,6,1.02,11,1.86,7,1.18,12,2.03,10,1.69,48036
48,37,619,33,5.33,77,12.44,35,5.65,36,5.82,27,4.36,48,7.75,56,9.05,61,9.85,48,7.75,53,8.56,46,7.43,61,9.85,7,1.13,9,1.45,5,0.81,5,0.81,10,1.62,2,0.32,48037
48,38,776,32,4.12,82,10.57,38,4.9,30,3.87,32,4.12,50,6.44,89,11.47,83,10.7,73,9.41,74,9.54,73,9.41,75,9.66,7,0.9,9,1.16,4,0.52,6,0.77,12,1.55,7,0.9,48038
48,39,519,11,2.12,57,10.98,28,5.39,23,4.43,9,1.73,34,6.55,65,12.52,50,9.63,49,9.44,49,9.44,47,9.06,46,8.86,8,1.54,10,1.93,5,0.96,3,0.58,21,4.05,4,0.77,48039
48,40,459,25,5.45,33,7.19,15,3.27,16,3.49,24,5.23,36,7.84,48,10.46,44,9.59,40,8.71,38,8.28,41,8.93,53,11.55,10,2.18,7,1.53,8,1.74,4,0.87,10,2.18,7,1.53,48040
48,41,310,8,2.58,28,9.03,10,3.23,7,2.26,5,1.61,16,5.16,42,13.55,36,11.61,33,10.65,40,12.9,36,11.61,34,10.97,4,1.29,1,0.32,4,1.29,0,0.0,3,0.97,3,0.97,48041
48,42,691,34,4.92,81,11.72,43,6.22,36,5.21,37,5.35,60,8.68,57,8.25,67,9.7,57,8.25,63,9.12,57,8.25,68,9.84,7,1.01,2,0.29,3,0.43,5,0.72,9,1.3,5,0.72,48042
48,43,477,22,4.61,62,13.0,27,5.66,29,6.08,22,4.61,44,9.22,45,9.43,48,10.06,35,7.34,46,9.64,36,7.55,45,9.43,3,0.63,4,0.84,3,0.63,2,0.42,3,0.63,1,0.21,48043
48,44,419,17,4.06,51,12.17,18,4.3,23,5.49,17,4.06,24,5.73,40,9.55,41,9.79,37,8.83,41,9.79,35,8.35,38,9.07,7,1.67,7,1.67,5,1.19,6,1.43,8,1.91,4,0.95,48044
48,45,259,9,3.47,30,11.58,11,4.25,13,5.02,12,4.63,21,8.11,24,9.27,26,10.04,23,8.88,26,10.04,25,9.65,27,10.42,3,1.16,1,0.39,2,0.77,2,0.77,3,1.16,1,0.39,48045
48,46,371,12,3.23,35,9.43,12,3.23,13,3.5,14,3.77,22,5.93,40,10.78,38,10.24,32,8.63,38,10.24,35,9.43,38,10.24,10,2.7,5,1.35,6,1.62,2,0.54,10,2.7,9,2.43,48046
48,47,350,15,4.29,39,11.14,13,3.71,16,4.57,12,3.43,24,6.86,36,10.29,38,10.86,30,8.57,40,11.43,30,8.57,35,10.0,2,0.57,3,0.86,1,0.29,5,1.43,8,2.29,3,0.86,48047
48,48,473,21,4.44,51,10.78,21,4.44,29,6.13,20,4.23,33,6.98,51,10.78,48,10.15,39,8.25,45,9.51,40,8.46,47,9.94,3,0.63,5,1.06,4,0.85,1,0.21,12,2.54,3,0.63,48048
49,1,558,23,4.12,41,7.35,15,2.69,25,4.48,20,3.58,40,7.17,69,12.37,58,10.39,49,8.78,54,9.68,51,9.14,54,9.68,12,2.15,5,0.9,3,0.54,4,0.72,21,3.76,14,2.51,49001
49,2,723,24,3.32,82,11.34,32,4.43,32,4.43,15,2.07,51,7.05,85,11.76,67,9.27,64,8.85,59,8.16,64,8.85,67,9.27,12,1.66,11,1.52,12,1.66,10,1.38,20,2.77,16,2.21,49002
49,3,571,14,2.45,54,9.46,13,2.28,24,4.2,21,3.68,34,5.95,66,11.56,62,10.86,51,8.93,58,10.16,49,8.58,61,10.68,14,2.45,11,1.93,7,1.23,6,1.05,16,2.8,10,1.75,49003
49,4,397,20,5.04,34,8.56,18,4.53,24,6.05,17,4.28,36,9.07,38,9.57,38,9.57,31,7.81,33,8.31,28,7.05,34,8.56,11,2.77,6,1.51,5,1.26,6,1.51,12,3.02,6,1.51,49004
49,5,402,16,3.98,28,6.97,21,5.22,24,5.97,16,3.98,32,7.96,40,9.95,45,11.19,33,8.21,42,10.45,34,8.46,40,9.95,7,1.74,5,1.24,2,0.5,2,0.5,7,1.74,8,1.99,49005
49,6,411,22,5.35,35,8.52,21,5.11,25,6.08,18,4.38,36,8.76,35,8.52,34,8.27,31,7.54,35,8.52,30,7.3,37,9.0,12,2.92,4,0.97,2,0.49,6,1.46,19,4.62,9,2.19,49006
49,7,448,22,4.91,43,9.6,22,4.91,26,5.8,22,4.91,30,6.7,42,9.38,43,9.6,40,8.93,40,8.93,34,7.59,40,8.93,10,2.23,4,0.89,5,1.12,6,1.34,12,2.68,7,1.56,49007
49,8,445,16,3.6,33,7.42,23,5.17,28,6.29,17,3.82,37,8.31,47,10.56,48,10.79,42,9.44,40,8.99,37,8.31,41,9.21,7,1.57,7,1.57,5,1.12,4,0.9,11,2.47,2,0.45,49008
49,9,499,27,5.41,51,10.22,23,4.61,30,6.01,26,5.21,41,8.22,50,10.02,47,9.42,40,8.02,50,10.02,43,8.62,42,8.42,8,1.6,4,0.8,7,1.4,2,0.4,5,1.0,3,0.6,49009
49,10,713,26,3.65,76,10.66,31,4.35,38,5.33,28,3.93,56,7.85,81,11.36,76,10.66,58,8.13,69,9.68,57,7.99,64,8.98,10,1.4,13,1.82,9,1.26,2,0.28,14,1.96,5,0.7,49010
49,11,740,35,4.73,55,7.43,37,5.0,41,5.54,37,5.0,48,6.49,70,9.46,71,9.59,61,8.24,67,9.05,69,9.32,66,8.92,12,1.62,9,1.22,14,1.89,9,1.22,22,2.97,17,2.3,49011
49,12,405,15,3.7,31,7.65,17,4.2,17,4.2,13,3.21,29,7.16,43,10.62,43,10.62,34,8.4,41,10.12,39,9.63,40,9.88,8,1.98,6,1.48,6,1.48,9,2.22,9,2.22,5,1.23,49012
49,13,581,24,4.13,67,11.53,32,5.51,34,5.85,20,3.44,40,6.88,70,12.05,50,8.61,46,7.92,41,7.06,38,6.54,55,9.47,10,1.72,8,1.38,15,2.58,5,0.86,13,2.24,13,2.24,49013
49,14,619,27,4.36,57,9.21,34,5.49,35,5.65,33,5.33,43,6.95,62,10.02,55,8.89,54,8.72,60,9.69,54,8.72,55,8.89,8,1.29,7,1.13,7,1.13,6,0.97,13,2.1,9,1.45,49014
49,15,378,15,3.97,23,6.08,17,4.5,16,4.23,10,2.65,24,6.35,43,11.38,39,10.32,38,10.05,41,10.85,35,9.26,37,9.79,4,1.06,8,2.12,8,2.12,4,1.06,9,2.38,7,1.85,49015
49,16,587,30,5.11,47,8.01,33,5.62,31,5.28,31,5.28,37,6.3,56,9.54,59,10.05,47,8.01,57,9.71,52,8.86,59,10.05,8,1.36,9,1.53,6,1.02,3,0.51,12,2.04,10,1.7,49016
49,17,125,2,1.6,13,10.4,6,4.8,7,5.6,10,8.0,10,8.0,12,9.6,11,8.8,9,7.2,7,5.6,11,8.8,9,7.2,5,4.0,0,0.0,5,4.0,1,0.8,4,3.2,3,2.4,49017
49,18,564,25,4.43,53,9.4,24,4.26,27,4.79,31,5.5,37,6.56,62,10.99,54,9.57,53,9.4,47,8.33,50,8.87,54,9.57,9,1.6,7,1.24,5,0.89,5,0.89,11,1.95,10,1.77,49018
49,19,401,15,3.74,30,7.48,17,4.24,16,3.99,16,3.99,28,6.98,52,12.97,34,8.48,38,9.48,37,9.23,36,8.98,32,7.98,9,2.24,7,1.75,9,2.24,3,0.75,12,2.99,10,2.49,49019
49,20,736,38,5.16,50,6.79,39,5.3,32,4.35,39,5.3,49,6.66,82,11.14,83,11.28,68,9.24,72,9.78,73,9.92,63,8.56,9,1.22,0,0.0,7,0.95,5,0.68,14,1.9,13,1.77,49020
49,21,372,26,6.99,40,10.75,22,5.91,26,6.99,22,5.91,23,6.18,28,7.53,34,9.14,29,7.8,36,9.68,26,6.99,35,9.41,3,0.81,3,0.81,2,0.54,4,1.08,11,2.96,2,0.54,49021
49,22,576,31,5.38,64,11.11,36,6.25,33,5.73,31,5.38,50,8.68,52,9.03,49,8.51,40,6.94,48,8.33,40,6.94,46,7.99,12,2.08,9,1.56,5,0.87,3,0.52,17,2.95,10,1.74,49022
49,23,459,18,3.92,49,10.68,18,3.92,20,4.36,14,3.05,36,7.84,47,10.24,51,11.11,41,8.93,45,9.8,43,9.37,49,10.68,4,0.87,4,0.87,3,0.65,4,0.87,6,1.31,7,1.53,49023
49,24,534,13,2.43,44,8.24,20,3.75,22,4.12,19,3.56,23,4.31,68,12.73,63,11.8,52,9.74,57,10.67,55,10.3,59,11.05,6,1.12,7,1.31,5,0.94,5,0.94,8,1.5,8,1.5,49024
49,25,386,13,3.37,46,11.92,22,5.7,17,4.4,14,3.63,31,8.03,31,8.03,43,11.14,26,6.74,33,8.55,33,8.55,38,9.84,6,1.55,5,1.3,6,1.55,5,1.3,8,2.07,9,2.33,49025
49,26,678,41,6.05,67,9.88,33,4.87,35,5.16,31,4.57,59,8.7,67,9.88,62,9.14,53,7.82,57,8.41,49,7.23,55,8.11,9,1.33,11,1.62,12,1.77,6,0.88,17,2.51,14,2.06,49026
49,27,565,27,4.78,46,8.14,27,4.78,35,6.19,27,4.78,42,7.43,54,9.56,58,10.27,45,7.96,51,9.03,49,8.67,55,9.73,10,1.77,7,1.24,7,1.24,4,0.71,13,2.3,8,1.42,49027
49,28,453,16,3.53,34,7.51,15,3.31,20,4.42,16,3.53,24,5.3,49,10.82,49,10.82,41,9.05,48,10.6,43,9.49,47,10.38,9,1.99,6,1.32,8,1.77,6,1.32,13,2.87,9,1.99,49028
49,29,297,15,5.05,32,10.77,18,6.06,17,5.72,14,4.71,28,9.43,27,9.09,31,10.44,20,6.73,24,8.08,22,7.41,27,9.09,7,2.36,1,0.34,6,2.02,1,0.34,5,1.68,2,0.67,49029
49,30,456,15,3.29,31,6.8,18,3.95,11,2.41,18,3.95,24,5.26,57,12.5,48,10.53,45,9.87,42,9.21,47,10.31,48,10.53,9,1.97,7,1.54,8,1.75,5,1.1,13,2.85,10,2.19,49030
49,31,435,14,3.22,39,8.97,18,4.14,21,4.83,13,2.99,26,5.98,46,10.57,54,12.41,42,9.66,44,10.11,39,8.97,42,9.66,8,1.84,3,0.69,5,1.15,3,0.69,12,2.76,6,1.38,49031
49,32,530,29,5.47,59,11.13,32,6.04,34,6.42,29,5.47,40,7.55,45,8.49,44,8.3,41,7.74,40,7.55,43,8.11,43,8.11,11,2.08,5,0.94,3,0.57,5,0.94,17,3.21,10,1.89,49032
49,33,362,13,3.59,25,6.91,18,4.97,16,4.42,15,4.14,22,6.08,36,9.94,44,12.15,40,11.05,37,10.22,34,9.39,35,9.67,5,1.38,3,0.83,6,1.66,1,0.28,9,2.49,3,0.83,49033
49,34,358,17,4.75,31,8.66,14,3.91,17,4.75,11,3.07,28,7.82,43,12.01,40,11.17,36,10.06,30,8.38,30,8.38,32,8.94,8,2.23,2,0.56,2,0.56,6,1.68,9,2.51,2,0.56,49034
49,35,547,23,4.2,34,6.22,28,5.12,33,6.03,21,3.84,38,6.95,60,10.97,53,9.69,50,9.14,51,9.32,50,9.14,49,8.96,14,2.56,8,1.46,6,1.1,9,1.65,9,1.65,11,2.01,49035
49,36,408,16,3.92,40,9.8,17,4.17,17,4.17,17,4.17,26,6.37,46,11.27,41,10.05,44,10.78,44,10.78,40,9.8,40,9.8,4,0.98,4,0.98,3,0.74,1,0.25,6,1.47,2,0.49,49036
49,37,346,14,4.05,42,12.14,15,4.34,14,4.05,16,4.62,18,5.2,38,10.98,28,8.09,28,8.09,26,7.51,29,8.38,29,8.38,2,0.58,9,2.6,8,2.31,7,2.02,12,3.47,11,3.18,49037
50,1,422,9,2.13,18,4.27,19,4.5,18,4.27,14,3.32,18,4.27,57,13.51,51,12.09,41,9.72,41,9.72,46,10.9,42,9.95,6,1.42,4,0.95,14,3.32,3,0.71,10,2.37,11,2.61,50001
50,2,584,18,3.08,27,4.62,23,3.94,24,4.11,18,3.08,25,4.28,73,12.5,68,11.64,65,11.13,66,11.3,63,10.79,69,11.82,12,2.05,4,0.68,5,0.86,4,0.68,13,2.23,7,1.2,50002
50,3,387,17,4.39,33,8.53,24,6.2,21,5.43,26,6.72,31,8.01,52,13.44,27,6.98,29,7.49,28,7.24,27,6.98,31,8.01,6,1.55,6,1.55,9,2.33,4,1.03,10,2.58,6,1.55,50003
50,4,611,16,2.62,32,5.24,35,5.73,20,3.27,20,3.27,27,4.42,116,18.99,58,9.49,64,10.47,65,10.64,61,9.98,59,9.66,4,0.65,4,0.65,9,1.47,5,0.82,9,1.47,7,1.15,50004
50,5,467,16,3.43,31,6.64,35,7.49,32,6.85,17,3.64,31,6.64,65,13.92,35,7.49,38,8.14,37,7.92,34,7.28,40,8.57,11,2.36,3,0.64,12,2.57,9,1.93,10,2.14,11,2.36,50005
50,6,391,16,4.09,23,5.88,17,4.35,22,5.63,17,4.35,30,7.67,83,21.23,34,8.7,27,6.91,32,8.18,26,6.65,32,8.18,5,1.28,3,0.77,7,1.79,4,1.02,9,2.3,4,1.02,50006
50,7,716,36,5.03,50,6.98,37,5.17,35,4.89,35,4.89,51,7.12,94,13.13,69,9.64,64,8.94,72,10.06,60,8.38,62,8.66,6,0.84,4,0.56,9,1.26,11,1.54,12,1.68,9,1.26,50007
50,8,461,13,2.82,29,6.29,19,4.12,24,5.21,11,2.39,22,4.77,75,16.27,44,9.54,37,8.03,36,7.81,38,8.24,57,12.36,10,2.17,8,1.74,11,2.39,4,0.87,12,2.6,11,2.39,50008
50,9,497,15,3.02,30,6.04,30,6.04,19,3.82,18,3.62,26,5.23,62,12.47,48,9.66,54,10.87,47,9.46,47,9.46,47,9.46,6,1.21,7,1.41,10,2.01,6,1.21,16,3.22,9,1.81,50009
50,10,482,15,3.11,20,4.15,30,6.22,16,3.32,18,3.73,11,2.28,123,25.52,41,8.51,50,10.37,48,9.96,43,8.92,42,8.71,5,1.04,4,0.83,4,0.83,3,0.62,4,0.83,5,1.04,50010
50,11,434,16,3.69,20,4.61,27,6.22,17,3.92,12,2.76,14,3.23,71,16.36,45,10.37,44,10.14,43,9.91,42,9.68,39,8.99,8,1.84,9,2.07,9,2.07,3,0.69,8,1.84,7,1.61,50011
50,12,717,13,1.81,18,2.51,28,3.91,20,2.79,8,1.12,23,3.21,121,16.88,88,12.27,89,12.41,88,12.27,88,12.27,85,11.85,9,1.26,4,0.56,6,0.84,9,1.26,13,1.81,7,0.98,50012
50,13,311,11,3.54,21,6.75,19,6.11,15,4.82,13,4.18,23,7.4,46,14.79,32,10.29,27,8.68,33,10.61,28,9.0,27,8.68,4,1.29,3,0.96,1,0.32,1,0.32,4,1.29,3,0.96,50013
50,14,515,19,3.69,39,7.57,54,10.49,35,6.8,14,2.72,32,6.21,83,16.12,43,8.35,36,6.99,37,7.18,38,7.38,31,6.02,9,1.75,8,1.55,13,2.52,10,1.94,10,1.94,4,0.78,50014
50,15,639,25,3.91,50,7.82,30,4.69,35,5.48,24,3.76,44,6.89,89,13.93,68,10.64,53,8.29,61,9.55,49,7.67,55,8.61,6,0.94,8,1.25,11,1.72,3,0.47,20,3.13,8,1.25,50015
50,16,486,10,2.06,23,4.73,51,10.49,27,5.56,13,2.67,38,7.82,70,14.4,36,7.41,33,6.79,35,7.2,33,6.79,38,7.82,14,2.88,12,2.47,12,2.47,14,2.88,16,3.29,11,2.26,50016
50,17,343,6,1.75,14,4.08,14,4.08,14,4.08,7,2.04,9,2.62,57,16.62,38,11.08,35,10.2,33,9.62,38,11.08,39,11.37,7,2.04,5,1.46,8,2.33,2,0.58,12,3.5,5,1.46,50017
50,18,407,9,2.21,18,4.42,22,5.41,14,3.44,7,1.72,17,4.18,73,17.94,41,10.07,45,11.06,41,10.07,41,10.07,38,9.34,8,1.97,4,0.98,9,2.21,8,1.97,6,1.47,6,1.47,50018
50,19,445,18,4.04,25,5.62,20,4.49,15,3.37,17,3.82,22,4.94,70,15.73,48,10.79,44,9.89,41,9.21,37,8.31,47,10.56,7,1.57,5,1.12,5,1.12,8,1.8,9,2.02,7,1.57,50019
50,20,496,18,3.63,30,6.05,27,5.44,19,3.83,13,2.62,24,4.84,72,14.52,54,10.89,47,9.48,52,10.48,43,8.67,58,11.69,9,1.81,3,0.6,6,1.21,7,1.41,8,1.61,6,1.21,50020
50,21,617,29,4.7,49,7.94,40,6.48,38,6.16,36,5.83,50,8.1,78,12.64,55,8.91,48,7.78,52,8.43,46,7.46,52,8.43,9,1.46,4,0.65,10,1.62,4,0.65,12,1.94,5,0.81,50021
50,22,356,15,4.21,27,7.58,18,5.06,20,5.62,16,4.49,26,7.3,45,12.64,35,9.83,25,7.02,31,8.71,26,7.3,34,9.55,10,2.81,4,1.12,7,1.97,3,0.84,8,2.25,6,1.69,50022
50,23,337,12,3.56,21,6.23,12,3.56,11,3.26,9,2.67,13,3.86,47,13.95,32,9.5,30,8.9,35,10.39,25,7.42,37,10.98,9,2.67,7,2.08,8,2.37,7,2.08,14,4.15,8,2.37,50023
50,24,261,10,3.83,17,6.51,13,4.98,11,4.21,10,3.83,20,7.66,29,11.11,21,8.05,21,8.05,24,9.2,20,7.66,25,9.58,7,2.68,8,3.07,6,2.3,4,1.53,11,4.21,4,1.53,50024
50,25,339,14,4.13,19,5.6,27,7.96,16,4.72,9,2.65,22,6.49,48,14.16,30,8.85,26,7.67,28,8.26,29,8.55,31,9.14,9,2.65,5,1.47,6,1.77,5,1.47,9,2.65,6,1.77,50025
50,26,280,8,2.86,12,4.29,12,4.29,7,2.5,8,2.86,13,4.64,45,16.07,31,11.07,30,10.71,31,11.07,29,10.36,30,10.71,4,1.43,3,1.07,6,2.14,2,0.71,7,2.5,2,0.71,50026
50,27,361,6,1.66,16,4.43,22,6.09,15,4.16,7,1.94,10,2.77,78,21.61,38,10.53,36,9.97,35,9.7,35,9.7,32,8.86,5,1.39,5,1.39,7,1.94,4,1.11,8,2.22,2,0.55,50027
50,28,372,12,3.23,20,5.38,13,3.49,10,2.69,7,1.88,12,3.23,58,15.59,41,11.02,37,9.95,36,9.68,40,10.75,41,11.02,8,2.15,6,1.61,8,2.15,7,1.88,8,2.15,8,2.15,50028
50,29,528,23,4.36,27,5.11,28,5.3,25,4.73,22,4.17,29,5.49,74,14.02,49,9.28,44,8.33,53,10.04,44,8.33,54,10.23,10,1.89,7,1.33,8,1.52,6,1.14,19,3.6,6,1.14,50029
50,30,436,14,3.21,31,7.11,34,7.8,17,3.9,14,3.21,28,6.42,76,17.43,40,9.17,35,8.03,34,7.8,34,7.8,35,8.03,12,2.75,2,0.46,6,1.38,6,1.38,13,2.98,5,1.15,50030
50,31,312,5,1.6,15,4.81,46,14.74,8,2.56,6,1.92,16,5.13,108,34.62,14,4.49,18,5.77,13,4.17,12,3.85,15,4.81,6,1.92,3,0.96,9,2.88,7,2.24,6,1.92,5,1.6,50031
50,32,247,15,6.07,20,8.1,10,4.05,14,5.67,9,3.64,18,7.29,32,12.96,22,8.91,20,8.1,21,8.5,17,6.88,28,11.34,1,0.4,5,2.02,1,0.4,1,0.4,9,3.64,4,1.62,50032
50,33,203,7,3.45,6,2.96,9,4.43,5,2.46,2,0.99,5,2.46,35,17.24,22,10.84,22,10.84,22,10.84,18,8.87,20,9.85,7,3.45,2,0.99,6,2.96,5,2.46,6,2.96,4,1.97,50033
50,34,324,13,4.01,22,6.79,16,4.94,19,5.86,11,3.4,21,6.48,51,15.74,27,8.33,19,5.86,28,8.64,22,6.79,32,9.88,8,2.47,8,2.47,4,1.23,3,0.93,14,4.32,6,1.85,50034
50,35,585,24,4.1,34,5.81,25,4.27,23,3.93,21,3.59,30,5.13,82,14.02,63,10.77,60,10.26,62,10.6,59,10.09,61,10.43,5,0.85,4,0.68,6,1.03,6,1.03,10,1.71,10,1.71,50035
50,36,555,17,3.06,35,6.31,29,5.23,23,4.14,19,3.42,31,5.59,83,14.95,60,10.81,54,9.73,56,10.09,51,9.19,56,10.09,7,1.26,3,0.54,7,1.26,8,1.44,10,1.8,6,1.08,50036
50,37,592,13,2.2,27,4.56,30,5.07,28,4.73,15,2.53,25,4.22,81,13.68,64,10.81,58,9.8,60,10.14,60,10.14,59,9.97,12,2.03,11,1.86,13,2.2,7,1.18,22,3.72,7,1.18,50037
50,38,543,10,1.84,29,5.34,54,9.94,33,6.08,8,1.47,24,4.42,109,20.07,44,8.1,41,7.55,36,6.63,36,6.63,36,6.63,15,2.76,8,1.47,20,3.68,14,2.58,20,3.68,6,1.1,50038
50,39,471,16,3.4,28,5.94,28,5.94,19,4.03,13,2.76,29,6.16,70,14.86,45,9.55,43,9.13,43,9.13,46,9.77,39,8.28,9,1.91,7,1.49,12,2.55,5,1.06,12,2.55,7,1.49,50039
50,40,459,21,4.58,33,7.19,29,6.32,27,5.88,17,3.7,29,6.32,61,13.29,38,8.28,43,9.37,41,8.93,37,8.06,43,9.37,13,2.83,2,0.44,4,0.87,9,1.96,7,1.53,5,1.09,50040
50,41,586,17,2.9,39,6.66,49,8.36,31,5.29,19,3.24,32,5.46,89,15.19,52,8.87,45,7.68,53,9.04,46,7.85,52,8.87,16,2.73,5,0.85,14,2.39,7,1.19,16,2.73,4,0.68,50041
50,42,709,28,3.95,45,6.35,49,6.91,36,5.08,19,2.68,35,4.94,96,13.54,68,9.59,70,9.87,72,10.16,60,8.46,59,8.32,11,1.55,15,2.12,11,1.55,10,1.41,14,1.97,11,1.55,50042
50,43,601,18,3.0,34,5.66,37,6.16,26,4.33,20,3.33,30,4.99,105,17.47,54,8.99,61,10.15,54,8.99,53,8.82,58,9.65,9,1.5,7,1.16,13,2.16,6,1.0,11,1.83,5,0.83,50043
50,44,418,9,2.15,14,3.35,23,5.5,12,2.87,10,2.39,18,4.31,87,20.81,42,10.05,41,9.81,45,10.77,41,9.81,37,8.85,9,2.15,6,1.44,6,1.44,5,1.2,10,2.39,3,0.72,50044
