ward,precinct,total,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,precinct_id
43,59,115,115,100.0,43059
43,60,66,66,100.0,43060
44,9,95,95,100.0,44009
44,11,75,75,100.0,44011
44,13,86,86,100.0,44013
44,14,82,82,100.0,44014
44,16,51,51,100.0,44016
44,20,65,65,100.0,44020
44,25,54,54,100.0,44025
44,27,66,66,100.0,44027
44,29,51,51,100.0,44029
44,38,68,68,100.0,44038
44,39,67,67,100.0,44039
44,40,60,60,100.0,44040
44,43,87,87,100.0,44043
44,47,62,62,100.0,44047
44,50,55,55,100.0,44050
45,7,99,99,100.0,45007
45,8,91,91,100.0,45008
45,10,153,153,100.0,45010
45,12,122,122,100.0,45012
45,14,104,104,100.0,45014
45,16,147,147,100.0,45016
45,18,129,129,100.0,45018
45,20,92,92,100.0,45020
45,24,136,136,100.0,45024
45,25,128,128,100.0,45025
45,26,132,132,100.0,45026
45,28,191,191,100.0,45028
45,29,104,104,100.0,45029
45,31,84,84,100.0,45031
45,35,91,91,100.0,45035
45,37,80,80,100.0,45037
45,38,179,179,100.0,45038
45,39,128,128,100.0,45039
45,40,169,169,100.0,45040
45,41,79,79,100.0,45041
45,42,132,132,100.0,45042
45,43,104,104,100.0,45043
45,45,79,79,100.0,45045
45,46,146,146,100.0,45046
45,47,142,142,100.0,45047
45,48,81,81,100.0,45048
45,50,112,112,100.0,45050
45,53,130,130,100.0,45053
45,55,100,100,100.0,45055
45,56,87,87,100.0,45056
47,1,66,66,100.0,47001
47,2,220,220,100.0,47002
47,3,155,155,100.0,47003
47,4,213,213,100.0,47004
47,5,82,82,100.0,47005
47,6,209,209,100.0,47006
47,7,166,166,100.0,47007
47,8,220,220,100.0,47008
47,9,164,164,100.0,47009
47,10,133,133,100.0,47010
47,11,216,216,100.0,47011
47,12,185,185,100.0,47012
47,13,205,205,100.0,47013
47,14,209,209,100.0,47014
47,15,97,97,100.0,47015
47,16,108,108,100.0,47016
47,17,172,172,100.0,47017
47,18,124,124,100.0,47018
47,19,168,168,100.0,47019
47,20,150,150,100.0,47020
47,22,115,115,100.0,47022
47,23,46,46,100.0,47023
47,24,82,82,100.0,47024
47,25,121,121,100.0,47025
47,26,131,131,100.0,47026
47,27,131,131,100.0,47027
47,28,226,226,100.0,47028
47,29,145,145,100.0,47029
47,33,143,143,100.0,47033
47,35,195,195,100.0,47035
47,36,126,126,100.0,47036
47,37,151,151,100.0,47037
47,38,132,132,100.0,47038
47,39,106,106,100.0,47039
47,40,135,135,100.0,47040
47,42,166,166,100.0,47042
47,43,184,184,100.0,47043
47,44,128,128,100.0,47044
47,45,160,160,100.0,47045
