ward,precinct,total,Amanda Moira Pillsbury,Amanda Moira Pillsbury Percent,Preston Jones Jr.,Preston Jones Jr. Percent,Keely Patricia Hillison,Keely Patricia Hillison Percent,Ioana Salajanu,Ioana Salajanu Percent,precinct_id
6,35,196,26,13.27,138,70.41,23,11.73,9,4.59,06035
6,36,264,33,12.5,170,64.39,51,19.32,10,3.79,06036
6,37,250,32,12.8,165,66.0,38,15.2,15,6.0,06037
6,38,227,46,20.26,128,56.39,35,15.42,18,7.93,06038
6,39,155,21,13.55,95,61.29,28,18.06,11,7.1,06039
6,40,180,27,15.0,100,55.56,42,23.33,11,6.11,06040
6,41,208,38,18.27,131,62.98,34,16.35,5,2.4,06041
6,42,161,37,22.98,90,55.9,26,16.15,8,4.97,06042
6,43,168,19,11.31,116,69.05,24,14.29,9,5.36,06043
6,44,166,41,24.7,92,55.42,21,12.65,12,7.23,06044
6,45,207,24,11.59,144,69.57,33,15.94,6,2.9,06045
6,46,122,24,19.67,64,52.46,22,18.03,12,9.84,06046
6,47,138,41,29.71,72,52.17,20,14.49,5,3.62,06047
6,48,189,28,14.81,115,60.85,33,17.46,13,6.88,06048
7,1,167,32,19.16,101,60.48,27,16.17,7,4.19,07001
7,2,152,27,17.76,80,52.63,34,22.37,11,7.24,07002
7,3,242,34,14.05,153,63.22,38,15.7,17,7.02,07003
7,4,203,28,13.79,130,64.04,35,17.24,10,4.93,07004
7,5,153,25,16.34,84,54.9,34,22.22,10,6.54,07005
7,6,234,24,10.26,144,61.54,45,19.23,21,8.97,07006
7,7,152,26,17.11,88,57.89,25,16.45,13,8.55,07007
7,8,150,23,15.33,84,56.0,27,18.0,16,10.67,07008
7,9,329,64,19.45,189,57.45,53,16.11,23,6.99,07009
7,10,218,30,13.76,139,63.76,33,15.14,16,7.34,07010
7,11,147,28,19.05,77,52.38,30,20.41,12,8.16,07011
7,12,159,31,19.5,90,56.6,31,19.5,7,4.4,07012
7,13,127,27,21.26,81,63.78,13,10.24,6,4.72,07013
7,14,186,40,21.51,98,52.69,34,18.28,14,7.53,07014
7,15,201,34,16.92,118,58.71,36,17.91,13,6.47,07015
7,16,143,21,14.69,84,58.74,27,18.88,11,7.69,07016
7,17,135,31,22.96,77,57.04,20,14.81,7,5.19,07017
7,18,135,25,18.52,69,51.11,25,18.52,16,11.85,07018
7,19,200,33,16.5,129,64.5,30,15.0,8,4.0,07019
7,20,129,20,15.5,75,58.14,21,16.28,13,10.08,07020
7,21,140,28,20.0,77,55.0,22,15.71,13,9.29,07021
7,22,160,32,20.0,73,45.63,38,23.75,17,10.63,07022
7,23,227,36,15.86,140,61.67,44,19.38,7,3.08,07023
7,24,155,32,20.65,92,59.35,27,17.42,4,2.58,07024
7,25,117,28,23.93,66,56.41,14,11.97,9,7.69,07025
7,26,156,24,15.38,94,60.26,32,20.51,6,3.85,07026
7,27,163,30,18.4,100,61.35,26,15.95,7,4.29,07027
7,28,109,22,20.18,58,53.21,19,17.43,10,9.17,07028
7,29,147,16,10.88,100,68.03,28,19.05,3,2.04,07029
7,30,122,35,28.69,54,44.26,28,22.95,5,4.1,07030
7,31,102,26,25.49,52,50.98,21,20.59,3,2.94,07031
7,32,322,38,11.8,223,69.25,42,13.04,19,5.9,07032
7,33,309,41,13.27,205,66.34,46,14.89,17,5.5,07033
7,34,238,38,15.97,154,64.71,33,13.87,13,5.46,07034
7,35,191,33,17.28,101,52.88,43,22.51,14,7.33,07035
7,36,257,41,15.95,157,61.09,44,17.12,15,5.84,07036
7,37,206,44,21.36,115,55.83,36,17.48,11,5.34,07037
7,38,161,26,16.15,97,60.25,27,16.77,11,6.83,07038
7,39,178,36,20.22,101,56.74,34,19.1,7,3.93,07039
7,40,161,24,14.91,102,63.35,23,14.29,12,7.45,07040
7,41,166,34,20.48,98,59.04,25,15.06,9,5.42,07041
7,42,175,35,20.0,104,59.43,26,14.86,10,5.71,07042
7,43,193,34,17.62,117,60.62,35,18.13,7,3.63,07043
7,44,139,36,25.9,78,56.12,18,12.95,7,5.04,07044
7,45,140,26,18.57,85,60.71,21,15.0,8,5.71,07045
7,46,94,22,23.4,51,54.26,15,15.96,6,6.38,07046
8,1,166,34,20.48,88,53.01,34,20.48,10,6.02,08001
8,2,175,22,12.57,99,56.57,45,25.71,9,5.14,08002
8,3,272,33,12.13,200,73.53,29,10.66,10,3.68,08003
8,4,252,31,12.3,181,71.83,29,11.51,11,4.37,08004
8,5,257,40,15.56,191,74.32,15,5.84,11,4.28,08005
8,6,231,39,16.88,149,64.5,31,13.42,12,5.19,08006
8,7,268,46,17.16,175,65.3,36,13.43,11,4.1,08007
8,8,250,33,13.2,187,74.8,19,7.6,11,4.4,08008
8,9,161,27,16.77,94,58.39,26,16.15,14,8.7,08009
8,10,312,33,10.58,204,65.38,57,18.27,18,5.77,08010
8,11,191,39,20.42,107,56.02,33,17.28,12,6.28,08011
8,12,174,28,16.09,119,68.39,16,9.2,11,6.32,08012
8,13,208,44,21.15,116,55.77,36,17.31,12,5.77,08013
8,14,113,26,23.01,49,43.36,31,27.43,7,6.19,08014
8,15,177,46,25.99,88,49.72,32,18.08,11,6.21,08015
8,16,61,13,21.31,30,49.18,12,19.67,6,9.84,08016
8,17,202,26,12.87,143,70.79,23,11.39,10,4.95,08017
8,18,143,31,21.68,67,46.85,34,23.78,11,7.69,08018
8,19,270,27,10.0,192,71.11,41,15.19,10,3.7,08019
8,20,251,40,15.94,166,66.14,37,14.74,8,3.19,08020
8,21,244,27,11.07,166,68.03,45,18.44,6,2.46,08021
8,22,190,32,16.84,125,65.79,25,13.16,8,4.21,08022
8,23,171,30,17.54,99,57.89,30,17.54,12,7.02,08023
8,24,144,27,18.75,85,59.03,24,16.67,8,5.56,08024
8,25,182,33,18.13,113,62.09,28,15.38,8,4.4,08025
8,26,185,34,18.38,105,56.76,28,15.14,18,9.73,08026
8,27,239,32,13.39,161,67.36,32,13.39,14,5.86,08027
8,28,218,30,13.76,136,62.39,35,16.06,17,7.8,08028
8,29,251,35,13.94,164,65.34,39,15.54,13,5.18,08029
8,30,203,23,11.33,144,70.94,24,11.82,12,5.91,08030
8,31,163,27,16.56,94,57.67,37,22.7,5,3.07,08031
8,32,155,31,20.0,97,62.58,23,14.84,4,2.58,08032
8,33,195,34,17.44,110,56.41,42,21.54,9,4.62,08033
8,34,209,27,12.92,140,66.99,33,15.79,9,4.31,08034
8,35,239,31,12.97,153,64.02,45,18.83,10,4.18,08035
8,36,220,30,13.64,137,62.27,36,16.36,17,7.73,08036
8,37,201,34,16.92,132,65.67,19,9.45,16,7.96,08037
8,38,124,20,16.13,73,58.87,21,16.94,10,8.06,08038
8,39,192,27,14.06,115,59.9,38,19.79,12,6.25,08039
8,40,169,25,14.79,118,69.82,22,13.02,4,2.37,08040
8,41,203,37,18.23,116,57.14,31,15.27,19,9.36,08041
8,42,244,50,20.49,134,54.92,41,16.8,19,7.79,08042
8,43,83,11,13.25,46,55.42,17,20.48,9,10.84,08043
8,44,127,23,18.11,71,55.91,28,22.05,5,3.94,08044
8,45,150,23,15.33,83,55.33,37,24.67,7,4.67,08045
8,46,149,22,14.77,90,60.4,27,18.12,10,6.71,08046
8,47,167,30,17.96,103,61.68,27,16.17,7,4.19,08047
8,48,180,28,15.56,105,58.33,37,20.56,10,5.56,08048
8,49,192,24,12.5,127,66.15,23,11.98,18,9.38,08049
8,50,232,25,10.78,161,69.4,39,16.81,7,3.02,08050
8,51,252,25,9.92,185,73.41,29,11.51,13,5.16,08051
8,52,295,46,15.59,191,64.75,42,14.24,16,5.42,08052
8,53,113,14,12.39,83,73.45,13,11.5,3,2.65,08053
8,54,123,25,20.33,69,56.1,21,17.07,8,6.5,08054
8,55,183,29,15.85,114,62.3,32,17.49,8,4.37,08055
8,56,223,35,15.7,142,63.68,34,15.25,12,5.38,08056
9,1,190,34,17.89,123,64.74,22,11.58,11,5.79,09001
9,2,175,32,18.29,97,55.43,39,22.29,7,4.0,09002
9,3,117,34,29.06,57,48.72,23,19.66,3,2.56,09003
9,4,138,19,13.77,83,60.14,30,21.74,6,4.35,09004
9,5,194,24,12.37,133,68.56,32,16.49,5,2.58,09005
9,6,179,28,15.64,109,60.89,37,20.67,5,2.79,09006
9,7,152,32,21.05,91,59.87,22,14.47,7,4.61,09007
9,8,157,33,21.02,89,56.69,26,16.56,9,5.73,09008
9,9,225,22,9.78,159,70.67,32,14.22,12,5.33,09009
9,10,141,18,12.77,94,66.67,25,17.73,4,2.84,09010
9,11,137,23,16.79,75,54.74,30,21.9,9,6.57,09011
9,12,243,33,13.58,170,69.96,33,13.58,7,2.88,09012
9,13,231,31,13.42,152,65.8,43,18.61,5,2.16,09013
9,14,251,32,12.75,176,70.12,29,11.55,14,5.58,09014
9,15,110,26,23.64,56,50.91,23,20.91,5,4.55,09015
9,16,171,29,16.96,102,59.65,31,18.13,9,5.26,09016
9,17,128,21,16.41,78,60.94,21,16.41,8,6.25,09017
9,18,129,28,21.71,76,58.91,19,14.73,6,4.65,09018
9,19,179,23,12.85,119,66.48,28,15.64,9,5.03,09019
9,20,215,39,18.14,147,68.37,24,11.16,5,2.33,09020
9,21,170,28,16.47,111,65.29,25,14.71,6,3.53,09021
9,22,203,20,9.85,140,68.97,33,16.26,10,4.93,09022
9,23,235,35,14.89,146,62.13,35,14.89,19,8.09,09023
9,24,196,29,14.8,131,66.84,23,11.73,13,6.63,09024
9,25,189,28,14.81,124,65.61,25,13.23,12,6.35,09025
9,26,133,17,12.78,87,65.41,20,15.04,9,6.77,09026
9,27,168,29,17.26,115,68.45,17,10.12,7,4.17,09027
9,28,108,38,35.19,50,46.3,16,14.81,4,3.7,09028
9,29,142,25,17.61,81,57.04,24,16.9,12,8.45,09029
9,30,139,23,16.55,93,66.91,17,12.23,6,4.32,09030
9,31,128,24,18.75,80,62.5,18,14.06,6,4.69,09031
9,32,194,14,7.22,145,74.74,23,11.86,12,6.19,09032
9,33,133,25,18.8,82,61.65,17,12.78,9,6.77,09033
9,34,133,25,18.8,81,60.9,23,17.29,4,3.01,09034
9,35,207,34,16.43,148,71.5,18,8.7,7,3.38,09035
9,36,159,27,16.98,97,61.01,29,18.24,6,3.77,09036
