ward,precinct,total,Charles Smith (Obama),Charles Smith (Obama) Percent,Emma Mitts (Obama),Emma Mitts (Obama) Percent,Susan Lee (Obama),Susan Lee (Obama) Percent,Carmen Lonstein (Obama),Carmen Lonstein (Obama) Percent,La Shawn K. Ford (Obama),La Shawn K. Ford (Obama) Percent,Karen A. Yarbrough (Obama),Karen A. Yarbrough (Obama) Percent,Matt Fruth (Obama),Matt Fruth (Obama) Percent,Byron Brazier (Obama),Byron Brazier (Obama) Percent,precinct_id
42,17,1278,136,10.64,130,10.17,132,10.33,123,9.62,131,10.25,131,10.25,124,9.7,124,9.7,42017
42,18,923,93,10.08,93,10.08,95,10.29,89,9.64,93,10.08,98,10.62,90,9.75,92,9.97,42018
42,19,161,16,9.94,17,10.56,16,9.94,16,9.94,16,9.94,16,9.94,16,9.94,16,9.94,42019
42,20,285,30,10.53,30,10.53,30,10.53,28,9.82,27,9.47,29,10.18,25,8.77,30,10.53,42020
42,21,226,22,9.73,24,10.62,24,10.62,22,9.73,21,9.29,23,10.18,21,9.29,23,10.18,42021
42,22,358,36,10.06,37,10.34,36,10.06,36,10.06,35,9.78,37,10.34,35,9.78,36,10.06,42022
42,23,844,84,9.95,85,10.07,86,10.19,86,10.19,83,9.83,85,10.07,85,10.07,84,9.95,42023
42,24,538,55,10.22,56,10.41,56,10.41,53,9.85,54,10.04,54,10.04,51,9.48,53,9.85,42024
42,25,606,61,10.07,61,10.07,64,10.56,61,10.07,60,9.9,63,10.4,58,9.57,61,10.07,42025
42,26,918,100,10.89,101,11.0,92,10.02,85,9.26,88,9.59,93,10.13,87,9.48,88,9.59,42026
42,27,674,66,9.79,68,10.09,71,10.53,67,9.94,65,9.64,72,10.68,65,9.64,65,9.64,42027
42,29,760,76,10.0,76,10.0,78,10.26,81,10.66,74,9.74,78,10.26,73,9.61,76,10.0,42029
42,30,386,41,10.62,42,10.88,41,10.62,38,9.84,36,9.33,40,10.36,36,9.33,36,9.33,42030
42,31,495,48,9.7,51,10.3,49,9.9,49,9.9,50,10.1,50,10.1,48,9.7,51,10.3,42031
42,32,530,55,10.38,54,10.19,52,9.81,55,10.38,54,10.19,53,10.0,51,9.62,51,9.62,42032
42,35,699,69,9.87,70,10.01,75,10.73,72,10.3,67,9.59,70,10.01,69,9.87,68,9.73,42035
42,36,339,35,10.32,34,10.03,33,9.73,35,10.32,34,10.03,35,10.32,33,9.73,33,9.73,42036
42,37,539,56,10.39,56,10.39,56,10.39,54,10.02,52,9.65,52,9.65,54,10.02,53,9.83,42037
42,38,451,45,9.98,46,10.2,46,10.2,46,10.2,44,9.76,46,10.2,43,9.53,43,9.53,42038
42,39,385,42,10.91,38,9.87,41,10.65,38,9.87,34,8.83,41,10.65,34,8.83,41,10.65,42039
42,40,621,66,10.63,63,10.14,62,9.98,62,9.98,60,9.66,61,9.82,63,10.14,59,9.5,42040
42,41,695,69,9.93,70,10.07,71,10.22,71,10.22,67,9.64,75,10.79,65,9.35,69,9.93,42041
42,42,777,79,10.17,79,10.17,83,10.68,77,9.91,74,9.52,80,10.3,75,9.65,77,9.91,42042
42,43,765,78,10.2,78,10.2,79,10.33,76,9.93,76,9.93,78,10.2,74,9.67,76,9.93,42043
42,44,487,50,10.27,49,10.06,49,10.06,47,9.65,49,10.06,49,10.06,48,9.86,49,10.06,42044
42,45,562,57,10.14,58,10.32,57,10.14,56,9.96,55,9.79,60,10.68,54,9.61,54,9.61,42045
42,46,341,34,9.97,38,11.14,34,9.97,34,9.97,33,9.68,35,10.26,32,9.38,34,9.97,42046
42,47,463,45,9.72,47,10.15,46,9.94,46,9.94,46,9.94,49,10.58,45,9.72,47,10.15,42047
42,48,393,40,10.18,42,10.69,40,10.18,38,9.67,39,9.92,42,10.69,36,9.16,40,10.18,42048
42,49,149,14,9.4,16,10.74,18,12.08,13,8.72,13,8.72,16,10.74,14,9.4,14,9.4,42049
42,50,905,91,10.06,92,10.17,95,10.5,90,9.94,91,10.06,92,10.17,87,9.61,87,9.61,42050
42,51,1305,132,10.11,129,9.89,132,10.11,128,9.81,128,9.81,137,10.5,129,9.89,131,10.04,42051
42,52,491,53,10.79,50,10.18,52,10.59,46,9.37,48,9.78,51,10.39,45,9.16,50,10.18,42052
42,53,939,97,10.33,95,10.12,97,10.33,93,9.9,92,9.8,96,10.22,92,9.8,94,10.01,42053
42,54,451,46,10.2,46,10.2,45,9.98,45,9.98,44,9.76,45,9.98,44,9.76,45,9.98,42054
42,55,618,65,10.52,61,9.87,62,10.03,61,9.87,61,9.87,64,10.36,61,9.87,60,9.71,42055
42,56,548,54,9.85,54,9.85,54,9.85,54,9.85,57,10.4,55,10.04,54,9.85,56,10.22,42056
42,57,493,49,9.94,50,10.14,51,10.34,48,9.74,47,9.53,51,10.34,48,9.74,49,9.94,42057
42,58,206,20,9.71,23,11.17,23,11.17,19,9.22,18,8.74,24,11.65,19,9.22,19,9.22,42058
42,59,419,43,10.26,41,9.79,43,10.26,42,10.02,41,9.79,41,9.79,41,9.79,42,10.02,42059
42,60,261,25,9.58,28,10.73,30,11.49,25,9.58,27,10.34,29,11.11,23,8.81,23,8.81,42060
42,61,319,32,10.03,34,10.66,32,10.03,32,10.03,31,9.72,33,10.34,31,9.72,32,10.03,42061
42,62,438,44,10.05,44,10.05,44,10.05,44,10.05,45,10.27,43,9.82,43,9.82,43,9.82,42062
42,63,830,83,10.0,83,10.0,84,10.12,84,10.12,81,9.76,84,10.12,83,10.0,83,10.0,42063
42,64,248,25,10.08,26,10.48,25,10.08,24,9.68,24,9.68,25,10.08,24,9.68,25,10.08,42064
42,65,830,83,10.0,85,10.24,84,10.12,83,10.0,82,9.88,86,10.36,81,9.76,81,9.76,42065
42,66,407,41,10.07,38,9.34,43,10.57,37,9.09,44,10.81,45,11.06,37,9.09,42,10.32,42066
42,67,673,69,10.25,66,9.81,69,10.25,67,9.96,67,9.96,74,11.0,64,9.51,67,9.96,42067
43,1,819,87,10.62,87,10.62,83,10.13,79,9.65,84,10.26,84,10.26,77,9.4,81,9.89,43001
43,15,15,2,13.33,2,13.33,2,13.33,1,6.67,1,6.67,1,6.67,1,6.67,2,13.33,43015
43,19,750,77,10.27,80,10.67,75,10.0,73,9.73,76,10.13,77,10.27,72,9.6,77,10.27,43019
43,25,684,70,10.23,71,10.38,71,10.38,66,9.65,67,9.8,71,10.38,66,9.65,66,9.65,43025
43,30,520,55,10.58,53,10.19,52,10.0,49,9.42,52,10.0,53,10.19,51,9.81,52,10.0,43030
43,35,715,72,10.07,71,9.93,72,10.07,72,10.07,69,9.65,74,10.35,71,9.93,71,9.93,43035
43,37,623,67,10.75,61,9.79,65,10.43,60,9.63,63,10.11,63,10.11,59,9.47,60,9.63,43037
43,39,848,84,9.91,86,10.14,88,10.38,86,10.14,82,9.67,86,10.14,88,10.38,83,9.79,43039
43,47,406,43,10.59,42,10.34,42,10.34,42,10.34,41,10.1,40,9.85,38,9.36,38,9.36,43047
43,51,912,90,9.87,93,10.2,92,10.09,90,9.87,92,10.09,95,10.42,87,9.54,90,9.87,43051
