ward,precinct,total,Raymond A. Lopez (Clinton),Raymond A. Lopez (Clinton) Percent,Milly Santiago (Clinton),Milly Santiago (Clinton) Percent,"Vicente ''Vince'' Sanchez, Jr. (Clinto","Vicente ''Vince'' Sanchez, Jr. (Clinto Percent",Emanuel ''Chris'' Welch (Clinton),Emanuel ''Chris'' Welch (Clinton) Percent,Barbara P. Guttmann (O'Malley),Barbara P. Guttmann (O'Malley) Percent,Richard Gutierrez (O'Malley),Richard Gutierrez (O'Malley) Percent,Will Guzzardi (Sanders),Will Guzzardi (Sanders) Percent,Andrea Perkins (Sanders),Andrea Perkins (Sanders) Percent,Carlos Ramirez-Rosa (Sanders),Carlos Ramirez-Rosa (Sanders) Percent,Shana East (Sanders),Shana East (Sanders) Percent,Ãlvaro R. ObregÃ³n (Sanders),Ãlvaro R. ObregÃ³n (Sanders) Percent,Melissa Rubio (Sanders),Melissa Rubio (Sanders) Percent,precinct_id
36,19,1226,119,9.71,131,10.69,93,7.59,82,6.69,16,1.31,19,1.55,97,7.91,113,9.22,117,9.54,95,7.75,89,7.26,124,10.11,36019
36,20,550,47,8.55,56,10.18,37,6.73,37,6.73,8,1.45,11,2.0,53,9.64,59,10.73,51,9.27,39,7.09,45,8.18,49,8.91,36020
36,21,722,56,7.76,67,9.28,46,6.37,42,5.82,13,1.8,20,2.77,49,6.79,70,9.7,81,11.22,56,7.76,63,8.73,83,11.5,36021
36,22,800,68,8.5,84,10.5,48,6.0,35,4.38,12,1.5,22,2.75,50,6.25,69,8.63,111,13.88,58,7.25,71,8.88,91,11.38,36022
36,23,898,82,9.13,101,11.25,68,7.57,49,5.46,13,1.45,25,2.78,62,6.9,88,9.8,92,10.24,63,7.02,76,8.46,91,10.13,36023
36,24,120,9,7.5,12,10.0,5,4.17,2,1.67,0,0.0,3,2.5,12,10.0,11,9.17,17,14.17,7,5.83,11,9.17,20,16.67,36024
36,25,1011,79,7.81,116,11.47,67,6.63,51,5.04,15,1.48,19,1.88,71,7.02,86,8.51,125,12.36,74,7.32,86,8.51,119,11.77,36025
36,27,1003,95,9.47,108,10.77,77,7.68,74,7.38,11,1.1,13,1.3,91,9.07,93,9.27,90,8.97,83,8.28,67,6.68,90,8.97,36027
36,29,987,75,7.6,96,9.73,66,6.69,61,6.18,16,1.62,22,2.23,88,8.92,114,11.55,90,9.12,88,8.92,78,7.9,104,10.54,36029
37,26,172,21,12.21,18,10.47,14,8.14,13,7.56,1,0.58,1,0.58,11,6.4,21,12.21,14,8.14,15,8.72,6,3.49,13,7.56,37026
38,1,938,97,10.34,104,11.09,85,9.06,80,8.53,10,1.07,12,1.28,69,7.36,83,8.85,76,8.1,83,8.85,59,6.29,76,8.1,38001
38,35,644,54,8.39,61,9.47,45,6.99,44,6.83,5,0.78,7,1.09,72,11.18,64,9.94,70,10.87,60,9.32,41,6.37,62,9.63,38035
38,41,1098,99,9.02,101,9.2,72,6.56,75,6.83,16,1.46,14,1.28,102,9.29,125,11.38,106,9.65,109,9.93,78,7.1,99,9.02,38041
39,6,9,0,0.0,1,11.11,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,2,22.22,0,0.0,2,22.22,2,22.22,39006
39,12,479,37,7.72,40,8.35,27,5.64,26,5.43,3,0.63,4,0.84,48,10.02,60,12.53,55,11.48,52,10.86,44,9.19,45,9.39,39012
39,25,10,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,1,10.0,1,10.0,39025
39,28,877,71,8.1,74,8.44,56,6.39,58,6.61,10,1.14,13,1.48,80,9.12,101,11.52,92,10.49,88,10.03,72,8.21,87,9.92,39028
39,31,1153,94,8.15,107,9.28,80,6.94,72,6.24,23,1.99,32,2.78,84,7.29,123,10.67,120,10.41,100,8.67,90,7.81,108,9.37,39031
45,1,1174,98,8.35,107,9.11,85,7.24,83,7.07,13,1.11,13,1.11,106,9.03,130,11.07,120,10.22,113,9.63,86,7.33,112,9.54,45001
45,2,1246,91,7.3,95,7.62,68,5.46,81,6.5,12,0.96,9,0.72,113,9.07,147,11.8,146,11.72,137,11.0,109,8.75,132,10.59,45002
45,8,1160,104,8.97,113,9.74,95,8.19,87,7.5,15,1.29,14,1.21,127,10.95,109,9.4,107,9.22,91,7.84,85,7.33,95,8.19,45008
45,9,1229,99,8.06,105,8.54,72,5.86,69,5.61,16,1.3,24,1.95,164,13.34,134,10.9,124,10.09,112,9.11,91,7.4,114,9.28,45009
45,10,1276,106,8.31,119,9.33,80,6.27,79,6.19,25,1.96,16,1.25,154,12.07,135,10.58,117,9.17,107,8.39,89,6.97,128,10.03,45010
