ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,precinct_id
39,36,6,2,33.33,1,16.67,1,16.67,0,0.0,39036
39,37,10,4,40.0,0,0.0,3,30.0,0,0.0,39037
39,38,6,1,16.67,0,0.0,1,16.67,0,0.0,39038
39,39,1,0,0.0,1,100.0,0,0.0,0,0.0,39039
39,40,8,2,25.0,2,25.0,0,0.0,1,12.5,39040
39,41,1,0,0.0,0,0.0,0,0.0,0,0.0,39041
39,42,7,2,28.57,1,14.29,0,0.0,0,0.0,39042
39,43,4,1,25.0,0,0.0,0,0.0,0,0.0,39043
39,44,2,0,0.0,1,50.0,1,50.0,0,0.0,39044
39,45,9,1,11.11,0,0.0,1,11.11,1,11.11,39045
39,46,2,0,0.0,0,0.0,0,0.0,0,0.0,39046
39,47,3,2,66.67,0,0.0,0,0.0,0,0.0,39047
40,1,4,0,0.0,2,50.0,0,0.0,1,25.0,40001
40,2,3,0,0.0,0,0.0,0,0.0,0,0.0,40002
40,5,6,1,16.67,0,0.0,1,16.67,1,16.67,40005
40,6,4,0,0.0,2,50.0,1,25.0,1,25.0,40006
40,10,9,2,22.22,0,0.0,2,22.22,0,0.0,40010
40,14,5,1,20.0,0,0.0,1,20.0,1,20.0,40014
40,15,5,0,0.0,1,20.0,0,0.0,1,20.0,40015
40,17,2,1,50.0,0,0.0,1,50.0,0,0.0,40017
40,19,6,0,0.0,1,16.67,1,16.67,0,0.0,40019
40,20,5,1,20.0,0,0.0,2,40.0,1,20.0,40020
40,21,4,1,25.0,1,25.0,0,0.0,0,0.0,40021
40,23,5,0,0.0,1,20.0,0,0.0,0,0.0,40023
40,24,1,0,0.0,0,0.0,1,100.0,0,0.0,40024
40,25,5,1,20.0,0,0.0,0,0.0,0,0.0,40025
40,29,6,2,33.33,1,16.67,0,0.0,0,0.0,40029
40,30,4,1,25.0,0,0.0,1,25.0,0,0.0,40030
40,31,0,0,0.0,0,0.0,0,0.0,0,0.0,40031
40,32,2,0,0.0,1,50.0,1,50.0,0,0.0,40032
40,34,0,0,0.0,0,0.0,0,0.0,0,0.0,40034
40,36,8,0,0.0,0,0.0,0,0.0,0,0.0,40036
40,38,1,0,0.0,0,0.0,1,100.0,0,0.0,40038
40,40,4,0,0.0,0,0.0,0,0.0,1,25.0,40040
40,41,0,0,0.0,0,0.0,0,0.0,0,0.0,40041
40,44,4,1,25.0,0,0.0,0,0.0,1,25.0,40044
40,45,17,6,35.29,0,0.0,1,5.88,2,11.76,40045
40,48,6,1,16.67,1,16.67,1,16.67,0,0.0,40048
40,49,8,0,0.0,0,0.0,0,0.0,0,0.0,40049
41,3,13,4,30.77,0,0.0,1,7.69,1,7.69,41003
41,6,10,3,30.0,1,10.0,5,50.0,1,10.0,41006
41,9,21,1,4.76,2,9.52,6,28.57,2,9.52,41009
41,10,11,5,45.45,0,0.0,1,9.09,1,9.09,41010
41,12,13,5,38.46,0,0.0,1,7.69,1,7.69,41012
41,14,14,2,14.29,0,0.0,0,0.0,5,35.71,41014
41,16,23,3,13.04,2,8.7,8,34.78,2,8.7,41016
41,19,8,0,0.0,0,0.0,1,12.5,0,0.0,41019
41,21,13,3,23.08,1,7.69,1,7.69,2,15.38,41021
41,22,10,0,0.0,2,20.0,1,10.0,3,30.0,41022
41,23,12,2,16.67,0,0.0,2,16.67,1,8.33,41023
41,24,8,1,12.5,0,0.0,0,0.0,3,37.5,41024
41,30,9,3,33.33,1,11.11,4,44.44,0,0.0,41030
41,35,15,2,13.33,1,6.67,3,20.0,1,6.67,41035
41,38,20,1,5.0,2,10.0,7,35.0,0,0.0,41038
41,39,5,1,20.0,0,0.0,2,40.0,0,0.0,41039
41,44,9,1,11.11,1,11.11,1,11.11,1,11.11,41044
41,46,13,4,30.77,1,7.69,2,15.38,0,0.0,41046
41,47,16,3,18.75,0,0.0,8,50.0,0,0.0,41047
41,50,11,5,45.45,0,0.0,3,27.27,1,9.09,41050
41,51,9,2,22.22,0,0.0,1,11.11,0,0.0,41051
41,53,10,0,0.0,1,10.0,2,20.0,1,10.0,41053
41,54,9,1,11.11,0,0.0,0,0.0,1,11.11,41054
41,57,9,0,0.0,1,11.11,0,0.0,2,22.22,41057
43,2,10,1,10.0,1,10.0,3,30.0,1,10.0,43002
43,6,5,1,20.0,1,20.0,0,0.0,0,0.0,43006
