ward,precinct,total,Dan Dixon (Romney),Dan Dixon (Romney) Percent,George Offord (Romney),George Offord (Romney) Percent,Brian Reaves (Romney),Brian Reaves (Romney) Percent,Josh Marszalik (Paul),Josh Marszalik (Paul) Percent,John Ciesar (Paul),John Ciesar (Paul) Percent,Vivienne Porter (Gingrich),Vivienne Porter (Gingrich) Percent,Julie Ann Craig (Gingrich),Julie Ann Craig (Gingrich) Percent,Thomas Fuchsgruber (Gingrich),Thomas Fuchsgruber (Gingrich) Percent,Dean Mann (Santorum),Dean Mann (Santorum) Percent,Jacqueline Grabowski (Santorum),Jacqueline Grabowski (Santorum) Percent,precinct_id
19,24,110,25,22.73,22,20.0,20,18.18,3,2.73,3,2.73,3,2.73,3,2.73,3,2.73,12,10.91,13,11.82,19024
19,25,203,40,19.7,35,17.24,33,16.26,7,3.45,8,3.94,8,3.94,10,4.93,2,0.99,30,14.78,24,11.82,19025
19,26,181,42,23.2,34,18.78,37,20.44,4,2.21,5,2.76,12,6.63,8,4.42,4,2.21,17,9.39,15,8.29,19026
19,29,130,25,19.23,21,16.15,23,17.69,3,2.31,2,1.54,7,5.38,6,4.62,7,5.38,18,13.85,17,13.08,19029
19,30,171,29,16.96,23,13.45,25,14.62,8,4.68,7,4.09,5,2.92,8,4.68,7,4.09,26,15.2,24,14.04,19030
19,32,111,17,15.32,14,12.61,16,14.41,9,8.11,9,8.11,3,2.7,4,3.6,2,1.8,15,13.51,12,10.81,19032
19,33,182,35,19.23,25,13.74,30,16.48,5,2.75,5,2.75,17,9.34,17,9.34,13,7.14,18,9.89,13,7.14,19033
19,34,99,24,24.24,22,22.22,23,23.23,2,2.02,2,2.02,4,4.04,3,3.03,1,1.01,9,9.09,8,8.08,19034
19,35,66,13,19.7,12,18.18,11,16.67,0,0.0,0,0.0,5,7.58,5,7.58,4,6.06,9,13.64,7,10.61,19035
19,41,102,22,21.57,17,16.67,16,15.69,7,6.86,5,4.9,3,2.94,2,1.96,3,2.94,14,13.73,7,6.86,19041
19,44,93,17,18.28,16,17.2,19,20.43,2,2.15,1,1.08,6,6.45,7,7.53,7,7.53,10,10.75,6,6.45,19044
19,45,126,20,15.87,14,11.11,13,10.32,9,7.14,7,5.56,3,2.38,5,3.97,2,1.59,27,21.43,17,13.49,19045
19,46,143,25,17.48,25,17.48,26,18.18,6,4.2,7,4.9,1,0.7,5,3.5,2,1.4,21,14.69,19,13.29,19046
19,51,90,18,20.0,18,20.0,21,23.33,6,6.67,5,5.56,2,2.22,3,3.33,2,2.22,7,7.78,4,4.44,19051
19,52,146,21,14.38,21,14.38,21,14.38,6,4.11,5,3.42,10,6.85,13,8.9,11,7.53,19,13.01,15,10.27,19052
19,53,78,14,17.95,15,19.23,15,19.23,3,3.85,3,3.85,1,1.28,2,2.56,2,2.56,11,14.1,8,10.26,19053
19,54,131,20,15.27,20,15.27,24,18.32,7,5.34,6,4.58,6,4.58,6,4.58,8,6.11,16,12.21,12,9.16,19054
