ward,precinct,total,Jeremy Rose (Romney),Jeremy Rose (Romney) Percent,Branden J Ozga (Romney),Branden J Ozga (Romney) Percent,Joann Finger (McCain),Joann Finger (McCain) Percent,Will Callard (McCain),Will Callard (McCain) Percent,Nickolas John Herringshaw (Paul),Nickolas John Herringshaw (Paul) Percent,Susan Radzinowicz (Thompson),Susan Radzinowicz (Thompson) Percent,Robert Sargus (Thompson),Robert Sargus (Thompson) Percent,Kevin Hacker (Giuliani),Kevin Hacker (Giuliani) Percent,Robert R. Rodman IV (Giuliani),Robert R. Rodman IV (Giuliani) Percent,precinct_id
41,47,120,25,20.83,26,21.67,35,29.17,30,25.0,2,1.67,0,0.0,1,0.83,0,0.0,0,0.0,41047
41,50,88,12,13.64,11,12.5,29,32.95,28,31.82,1,1.14,2,2.27,1,1.14,1,1.14,1,1.14,41050
41,51,78,11,14.1,9,11.54,29,37.18,25,32.05,0,0.0,1,1.28,1,1.28,2,2.56,0,0.0,41051
41,53,90,11,12.22,13,14.44,27,30.0,25,27.78,4,4.44,4,4.44,1,1.11,0,0.0,0,0.0,41053
41,54,73,11,15.07,12,16.44,25,34.25,20,27.4,2,2.74,0,0.0,1,1.37,1,1.37,0,0.0,41054
41,57,56,10,17.86,11,19.64,15,26.79,16,28.57,1,1.79,0,0.0,0,0.0,1,1.79,0,0.0,41057
43,2,77,9,11.69,8,10.39,24,31.17,24,31.17,2,2.6,1,1.3,2,2.6,2,2.6,2,2.6,43002
43,6,50,7,14.0,6,12.0,9,18.0,9,18.0,8,16.0,0,0.0,1,2.0,1,2.0,1,2.0,43006
43,7,88,18,20.45,15,17.05,22,25.0,19,21.59,4,4.55,0,0.0,0,0.0,4,4.55,3,3.41,43007
43,8,72,14,19.44,16,22.22,19,26.39,17,23.61,2,2.78,0,0.0,0,0.0,0,0.0,1,1.39,43008
43,12,109,21,19.27,17,15.6,28,25.69,27,24.77,4,3.67,3,2.75,4,3.67,0,0.0,1,0.92,43012
43,14,78,13,16.67,12,15.38,27,34.62,23,29.49,0,0.0,0,0.0,0,0.0,2,2.56,1,1.28,43014
43,17,128,19,14.84,17,13.28,47,36.72,37,28.91,2,1.56,1,0.78,0,0.0,1,0.78,2,1.56,43017
43,20,68,11,16.18,7,10.29,17,25.0,18,26.47,5,7.35,2,2.94,1,1.47,1,1.47,0,0.0,43020
43,21,73,10,13.7,8,10.96,26,35.62,21,28.77,3,4.11,0,0.0,0,0.0,1,1.37,0,0.0,43021
43,22,85,12,14.12,7,8.24,31,36.47,29,34.12,2,2.35,1,1.18,1,1.18,0,0.0,0,0.0,43022
43,27,81,19,23.46,20,24.69,18,22.22,17,20.99,2,2.47,1,1.23,1,1.23,1,1.23,0,0.0,43027
