ward,precinct,total,John Harty (McCain),John Harty (McCain) Percent,Nick Peric (McCain),Nick Peric (McCain) Percent,Michael B. DiBartolo (Romney),Michael B. DiBartolo (Romney) Percent,Robert S. Giurato (Romney),Robert S. Giurato (Romney) Percent,Curtis D. Barrett (Paul),Curtis D. Barrett (Paul) Percent,Reuben W. Perelman (Paul),Reuben W. Perelman (Paul) Percent,Joseph Hedrick (Thompson),Joseph Hedrick (Thompson) Percent,Brennan B. Miller III (Thompson),Brennan B. Miller III (Thompson) Percent,Carla Brookman (Giuliani),Carla Brookman (Giuliani) Percent,Anton Valukas (Giuliani),Anton Valukas (Giuliani) Percent,Steven T. Janes (Huckabee),Steven T. Janes (Huckabee) Percent,Paul Sherwood (Huckabee),Paul Sherwood (Huckabee) Percent,precinct_id
49,1,12,4,33.33,4,33.33,0,0.0,0,0.0,2,16.67,1,8.33,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,49001
49,2,62,20,32.26,17,27.42,8,12.9,6,9.68,3,4.84,2,3.23,0,0.0,0,0.0,0,0.0,0,0.0,4,6.45,2,3.23,49002
49,3,10,3,30.0,3,30.0,1,10.0,1,10.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49003
49,4,16,3,18.75,2,12.5,2,12.5,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,1,6.25,1,6.25,2,12.5,49004
49,5,21,5,23.81,3,14.29,5,23.81,5,23.81,1,4.76,1,4.76,0,0.0,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,49005
49,6,34,11,32.35,11,32.35,3,8.82,3,8.82,1,2.94,1,2.94,0,0.0,0,0.0,0,0.0,1,2.94,2,5.88,1,2.94,49006
49,7,34,12,35.29,12,35.29,1,2.94,1,2.94,1,2.94,1,2.94,0,0.0,0,0.0,1,2.94,1,2.94,2,5.88,2,5.88,49007
49,8,23,5,21.74,4,17.39,4,17.39,3,13.04,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,3,13.04,1,4.35,1,4.35,49008
49,9,26,8,30.77,9,34.62,3,11.54,2,7.69,1,3.85,1,3.85,0,0.0,0,0.0,0,0.0,0,0.0,1,3.85,1,3.85,49009
49,10,33,9,27.27,9,27.27,6,18.18,5,15.15,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,2,6.06,1,3.03,0,0.0,49010
49,11,21,9,42.86,7,33.33,2,9.52,2,9.52,0,0.0,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49011
49,12,23,6,26.09,5,21.74,2,8.7,2,8.7,0,0.0,0,0.0,1,4.35,1,4.35,2,8.7,2,8.7,1,4.35,1,4.35,49012
49,13,50,11,22.0,14,28.0,8,16.0,8,16.0,2,4.0,2,4.0,1,2.0,1,2.0,0,0.0,0,0.0,2,4.0,1,2.0,49013
49,14,44,11,25.0,8,18.18,7,15.91,5,11.36,1,2.27,1,2.27,0,0.0,0,0.0,1,2.27,1,2.27,4,9.09,5,11.36,49014
49,15,17,6,35.29,5,29.41,1,5.88,1,5.88,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,0,0.0,2,11.76,1,5.88,49015
49,16,41,11,26.83,7,17.07,7,17.07,6,14.63,1,2.44,2,4.88,1,2.44,0,0.0,2,4.88,2,4.88,0,0.0,2,4.88,49016
49,17,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,49017
49,18,30,8,26.67,7,23.33,4,13.33,3,10.0,3,10.0,3,10.0,0,0.0,1,3.33,0,0.0,1,3.33,0,0.0,0,0.0,49018
49,19,10,2,20.0,2,20.0,2,20.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,49019
49,20,42,11,26.19,9,21.43,3,7.14,3,7.14,4,9.52,4,9.52,1,2.38,0,0.0,1,2.38,0,0.0,3,7.14,3,7.14,49020
49,21,26,5,19.23,7,26.92,4,15.38,2,7.69,3,11.54,3,11.54,0,0.0,0,0.0,0,0.0,0,0.0,1,3.85,1,3.85,49021
49,22,26,5,19.23,5,19.23,2,7.69,3,11.54,2,7.69,2,7.69,0,0.0,0,0.0,1,3.85,1,3.85,2,7.69,3,11.54,49022
