ward,precinct,total,Carlos Saucedo (McCain),Carlos Saucedo (McCain) Percent,Kimberly Pate Godden (McCain),Kimberly Pate Godden (McCain) Percent,Jonathan Blessing (Romney),Jonathan Blessing (Romney) Percent,Sean Thomas McCarthy (Romney),Sean Thomas McCarthy (Romney) Percent,Brian G. Markey (Paul),Brian G. Markey (Paul) Percent,Christopher W. Barnes (Thompson),Christopher W. Barnes (Thompson) Percent,Jennifer L. Sheahan (Thompson),Jennifer L. Sheahan (Thompson) Percent,Andrew Gutierrez (Giuliani),Andrew Gutierrez (Giuliani) Percent,precinct_id
26,32,34,10,29.41,10,29.41,6,17.65,4,11.76,2,5.88,0,0.0,0,0.0,1,2.94,26032
26,34,19,2,10.53,3,15.79,6,31.58,3,15.79,1,5.26,1,5.26,2,10.53,0,0.0,26034
26,35,28,5,17.86,5,17.86,5,17.86,4,14.29,3,10.71,1,3.57,1,3.57,1,3.57,26035
26,36,11,5,45.45,3,27.27,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,26036
26,37,9,3,33.33,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,26037
26,38,18,3,16.67,2,11.11,2,11.11,1,5.56,4,22.22,1,5.56,0,0.0,1,5.56,26038
26,39,6,2,33.33,2,33.33,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,26039
26,40,7,2,28.57,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,26040
26,41,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26041
26,42,11,3,27.27,2,18.18,2,18.18,2,18.18,1,9.09,0,0.0,0,0.0,0,0.0,26042
26,43,9,1,11.11,1,11.11,0,0.0,1,11.11,2,22.22,0,0.0,0,0.0,2,22.22,26043
26,44,5,1,20.0,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,26044
26,45,18,3,16.67,3,16.67,1,5.56,2,11.11,5,27.78,0,0.0,0,0.0,0,0.0,26045
26,46,10,3,30.0,4,40.0,0,0.0,0,0.0,2,20.0,0,0.0,0,0.0,1,10.0,26046
26,47,9,2,22.22,1,11.11,2,22.22,1,11.11,1,11.11,0,0.0,0,0.0,1,11.11,26047
26,48,12,4,33.33,3,25.0,0,0.0,0,0.0,1,8.33,1,8.33,0,0.0,2,16.67,26048
26,49,6,2,33.33,1,16.67,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,26049
26,50,9,2,22.22,1,11.11,3,33.33,3,33.33,0,0.0,0,0.0,0,0.0,0,0.0,26050
26,51,17,3,17.65,2,11.76,3,17.65,3,17.65,2,11.76,0,0.0,3,17.65,0,0.0,26051
26,52,4,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,26052
26,53,9,4,44.44,4,44.44,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26053
