ward,precinct,total,Kurt D. Diekelman (Romney),Kurt D. Diekelman (Romney) Percent,Claudia Shabo (Romney),Claudia Shabo (Romney) Percent,Richard ''Rick'' Kennedy (Thompson),Richard ''Rick'' Kennedy (Thompson) Percent,Scott Boukal (McCain),Scott Boukal (McCain) Percent,Larry DeYoung (McCain),Larry DeYoung (McCain) Percent,Randall Michalowski (Paul),Randall Michalowski (Paul) Percent,Paul R. Jasinevicius (Paul),Paul R. Jasinevicius (Paul) Percent,Jacqueline Agee (Giuliani),Jacqueline Agee (Giuliani) Percent,Darren C. Collier (Giuliani),Darren C. Collier (Giuliani) Percent,precinct_id
7,64,9,3,33.33,3,33.33,0,0.0,1,11.11,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,07064
7,65,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07065
8,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08003
8,4,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,08004
8,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08005
8,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08007
8,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08008
8,9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,08009
8,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08015
8,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08017
8,19,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08019
8,23,7,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,1,14.29,08023
8,24,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08024
8,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08025
8,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08026
8,27,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,08027
8,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08028
8,32,8,1,12.5,1,12.5,0,0.0,2,25.0,3,37.5,0,0.0,0,0.0,0,0.0,1,12.5,08032
8,34,8,2,25.0,2,25.0,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,1,12.5,08034
8,36,5,0,0.0,1,20.0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,08036
8,39,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08039
8,42,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,08042
8,44,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08044
8,46,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08046
8,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08047
8,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08049
8,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08050
8,51,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08051
8,57,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08057
8,60,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,08060
8,62,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,08062
8,63,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,08063
8,65,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08065
8,66,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08066
8,70,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,08070
9,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09001
9,2,5,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,2,40.0,09002
9,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09003
9,4,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,09004
9,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09005
9,6,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09006
9,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09007
9,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09008
9,9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,09009
9,10,8,0,0.0,0,0.0,0,0.0,4,50.0,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09010
9,11,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,09011
9,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09012
9,13,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09013
9,14,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,09014
9,15,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,09015
9,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09016
9,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09017
9,18,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09018
9,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09019
9,20,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09020
9,21,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09021
9,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09022
9,23,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09023
9,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09024
9,25,22,4,18.18,3,13.64,0,0.0,5,22.73,5,22.73,2,9.09,2,9.09,0,0.0,1,4.55,09025
9,26,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,09026
9,27,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,09027
9,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09028
9,29,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,09029
9,30,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09030
9,31,6,1,16.67,0,0.0,0,0.0,2,33.33,0,0.0,0,0.0,1,16.67,0,0.0,2,33.33,09031
9,32,6,2,33.33,1,16.67,0,0.0,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,09032
9,33,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,09033
9,34,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09034
9,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09035
9,37,24,3,12.5,3,12.5,1,4.17,6,25.0,5,20.83,2,8.33,1,4.17,2,8.33,0,0.0,09037
9,38,5,0,0.0,0,0.0,0,0.0,2,40.0,1,20.0,0,0.0,1,20.0,0,0.0,1,20.0,09038
9,39,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09039
9,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09040
9,41,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09041
9,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09042
9,43,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,09043
9,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09044
9,45,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09045
9,46,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09046
9,48,4,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09048
9,49,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,09049
9,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09050
9,51,7,2,28.57,1,14.29,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,1,14.29,0,0.0,09051
9,52,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,09052
9,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09053
10,1,7,2,28.57,1,14.29,0,0.0,1,14.29,1,14.29,0,0.0,0,0.0,1,14.29,1,14.29,10001
10,2,30,4,13.33,4,13.33,0,0.0,7,23.33,9,30.0,3,10.0,2,6.67,1,3.33,0,0.0,10002
10,3,48,9,18.75,4,8.33,0,0.0,14,29.17,15,31.25,1,2.08,0,0.0,3,6.25,2,4.17,10003
10,4,12,2,16.67,2,16.67,0,0.0,2,16.67,4,33.33,0,0.0,0,0.0,1,8.33,1,8.33,10004
10,5,22,5,22.73,5,22.73,0,0.0,6,27.27,5,22.73,1,4.55,0,0.0,0,0.0,0,0.0,10005
10,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10006
10,7,8,1,12.5,2,25.0,0,0.0,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,10007
10,8,35,3,8.57,4,11.43,0,0.0,13,37.14,11,31.43,0,0.0,0,0.0,3,8.57,1,2.86,10008
10,9,57,15,26.32,14,24.56,0,0.0,10,17.54,11,19.3,4,7.02,0,0.0,1,1.75,1,1.75,10009
10,10,66,17,25.76,14,21.21,0,0.0,15,22.73,11,16.67,1,1.52,3,4.55,2,3.03,1,1.52,10010
10,11,27,6,22.22,4,14.81,0,0.0,8,29.63,8,29.63,1,3.7,0,0.0,0,0.0,0,0.0,10011
10,12,17,3,17.65,3,17.65,1,5.88,3,17.65,2,11.76,1,5.88,1,5.88,2,11.76,0,0.0,10012
10,13,17,4,23.53,3,17.65,1,5.88,4,23.53,3,17.65,1,5.88,1,5.88,0,0.0,0,0.0,10013
10,14,55,9,16.36,10,18.18,3,5.45,13,23.64,15,27.27,0,0.0,0,0.0,1,1.82,1,1.82,10014
10,15,9,1,11.11,1,11.11,0,0.0,2,22.22,2,22.22,0,0.0,0,0.0,1,11.11,1,11.11,10015
10,16,44,6,13.64,7,15.91,0,0.0,9,20.45,12,27.27,2,4.55,1,2.27,4,9.09,3,6.82,10016
10,17,37,6,16.22,5,13.51,0,0.0,12,32.43,10,27.03,2,5.41,0,0.0,2,5.41,0,0.0,10017
10,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10018
10,19,58,10,17.24,6,10.34,2,3.45,16,27.59,16,27.59,3,5.17,2,3.45,0,0.0,3,5.17,10019
