ward,precinct,total,G. Joel Baise (Bush),G. Joel Baise (Bush) Percent,George Offord (Bush),George Offord (Bush) Percent,Ben Noble (Bush),Ben Noble (Bush) Percent,Kimberly Blackburn (Christie),Kimberly Blackburn (Christie) Percent,Louis G. Rexing (Christie),Louis G. Rexing (Christie) Percent,Matthew Moustakas (Christie),Matthew Moustakas (Christie) Percent,Vince Matonis (Trump),Vince Matonis (Trump) Percent,Geraldine Brady (Trump),Geraldine Brady (Trump) Percent,Nena Mihailovic (Trump),Nena Mihailovic (Trump) Percent,Vivienne Porter (Cruz),Vivienne Porter (Cruz) Percent,Madelyn D. Flaherty (Cruz),Madelyn D. Flaherty (Cruz) Percent,Alaa N. Sweis (Cruz),Alaa N. Sweis (Cruz) Percent,Ronald Armstrong (Fiorina),Ronald Armstrong (Fiorina) Percent,Richard ''Dick'' Halm (Fiorina),Richard ''Dick'' Halm (Fiorina) Percent,Jeffrey ''Jeff'' Baker (Fiorina),Jeffrey ''Jeff'' Baker (Fiorina) Percent,James J. Parrilli (Kasich),James J. Parrilli (Kasich) Percent,Andrew J. Kirchoff (Kasich),Andrew J. Kirchoff (Kasich) Percent,William J. Corley (Kasich),William J. Corley (Kasich) Percent,Steven Daglas (Rubio),Steven Daglas (Rubio) Percent,Katie Justak (Rubio),Katie Justak (Rubio) Percent,Tyler Mikan (Rubio),Tyler Mikan (Rubio) Percent,John D. Brannen (Carson),John D. Brannen (Carson) Percent,John D'Alessandro (Carson),John D'Alessandro (Carson) Percent,Gael Heppner (Carson),Gael Heppner (Carson) Percent,precinct_id
23,2,194,2,1.03,4,2.06,5,2.58,2,1.03,0,0.0,1,0.52,40,20.62,38,19.59,39,20.1,12,6.19,12,6.19,11,5.67,0,0.0,0,0.0,1,0.52,2,1.03,4,2.06,2,1.03,3,1.55,5,2.58,3,1.55,5,2.58,2,1.03,1,0.52,23002
23,3,265,1,0.38,1,0.38,1,0.38,2,0.75,1,0.38,1,0.38,60,22.64,60,22.64,57,21.51,14,5.28,14,5.28,12,4.53,0,0.0,0,0.0,0,0.0,5,1.89,5,1.89,4,1.51,7,2.64,9,3.4,8,3.02,1,0.38,1,0.38,1,0.38,23003
23,4,139,0,0.0,0,0.0,3,2.16,0,0.0,1,0.72,0,0.0,24,17.27,26,18.71,28,20.14,7,5.04,10,7.19,9,6.47,0,0.0,0,0.0,1,0.72,6,4.32,7,5.04,4,2.88,3,2.16,5,3.6,5,3.6,0,0.0,0,0.0,0,0.0,23004
23,5,53,0,0.0,0,0.0,0,0.0,1,1.89,0,0.0,0,0.0,9,16.98,13,24.53,8,15.09,7,13.21,3,5.66,3,5.66,0,0.0,0,0.0,0,0.0,0,0.0,2,3.77,0,0.0,2,3.77,2,3.77,1,1.89,2,3.77,0,0.0,0,0.0,23005
23,6,62,1,1.61,0,0.0,2,3.23,0,0.0,0,0.0,0,0.0,8,12.9,7,11.29,10,16.13,6,9.68,8,12.9,4,6.45,0,0.0,0,0.0,0,0.0,4,6.45,4,6.45,2,3.23,3,4.84,1,1.61,2,3.23,0,0.0,0,0.0,0,0.0,23006
23,7,75,2,2.67,1,1.33,1,1.33,0,0.0,0,0.0,0,0.0,11,14.67,11,14.67,10,13.33,8,10.67,8,10.67,7,9.33,0,0.0,0,0.0,0,0.0,2,2.67,3,4.0,2,2.67,3,4.0,3,4.0,2,2.67,0,0.0,0,0.0,1,1.33,23007
23,8,128,1,0.78,1,0.78,1,0.78,0,0.0,0,0.0,0,0.0,22,17.19,22,17.19,24,18.75,11,8.59,13,10.16,12,9.38,1,0.78,0,0.0,0,0.0,2,1.56,1,0.78,1,0.78,2,1.56,5,3.91,3,2.34,2,1.56,2,1.56,2,1.56,23008
23,9,9,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23009
23,10,55,1,1.82,0,0.0,0,0.0,1,1.82,0,0.0,0,0.0,8,14.55,11,20.0,8,14.55,5,9.09,3,5.45,2,3.64,0,0.0,0,0.0,0,0.0,1,1.82,1,1.82,1,1.82,4,7.27,5,9.09,3,5.45,1,1.82,0,0.0,0,0.0,23010
23,11,54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,12.96,5,9.26,5,9.26,7,12.96,8,14.81,8,14.81,0,0.0,0,0.0,0,0.0,1,1.85,1,1.85,1,1.85,3,5.56,5,9.26,3,5.56,0,0.0,0,0.0,0,0.0,23011
23,12,241,1,0.41,0,0.0,1,0.41,0,0.0,1,0.41,0,0.0,49,20.33,52,21.58,58,24.07,11,4.56,13,5.39,13,5.39,1,0.41,0,0.0,0,0.0,7,2.9,7,2.9,5,2.07,8,3.32,6,2.49,5,2.07,1,0.41,1,0.41,1,0.41,23012
23,14,158,0,0.0,1,0.63,0,0.0,0,0.0,1,0.63,0,0.0,30,18.99,31,19.62,27,17.09,15,9.49,14,8.86,11,6.96,1,0.63,0,0.0,0,0.0,7,4.43,7,4.43,5,3.16,1,0.63,2,1.27,1,0.63,1,0.63,2,1.27,1,0.63,23014
23,15,74,1,1.35,3,4.05,2,2.7,1,1.35,0,0.0,0,0.0,13,17.57,11,14.86,13,17.57,6,8.11,8,10.81,6,8.11,1,1.35,0,0.0,1,1.35,1,1.35,0,0.0,1,1.35,3,4.05,1,1.35,2,2.7,0,0.0,0,0.0,0,0.0,23015
23,16,230,1,0.43,2,0.87,2,0.87,4,1.74,3,1.3,0,0.0,44,19.13,42,18.26,40,17.39,16,6.96,19,8.26,17,7.39,0,0.0,0,0.0,0,0.0,8,3.48,9,3.91,6,2.61,2,0.87,5,2.17,3,1.3,4,1.74,1,0.43,2,0.87,23016
23,17,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,16.67,4,16.67,4,16.67,3,12.5,3,12.5,3,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,1,4.17,0,0.0,0,0.0,0,0.0,23017
23,18,173,2,1.16,1,0.58,1,0.58,0,0.0,0,0.0,0,0.0,45,26.01,48,27.75,46,26.59,5,2.89,5,2.89,4,2.31,0,0.0,0,0.0,0,0.0,3,1.73,2,1.16,2,1.16,2,1.16,3,1.73,2,1.16,1,0.58,0,0.0,1,0.58,23018
23,19,59,0,0.0,2,3.39,1,1.69,0,0.0,1,1.69,1,1.69,10,16.95,7,11.86,7,11.86,4,6.78,4,6.78,3,5.08,1,1.69,1,1.69,2,3.39,1,1.69,1,1.69,1,1.69,3,5.08,3,5.08,1,1.69,2,3.39,1,1.69,2,3.39,23019
23,20,50,1,2.0,1,2.0,1,2.0,0,0.0,0,0.0,0,0.0,6,12.0,6,12.0,6,12.0,6,12.0,8,16.0,5,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.0,2,4.0,2,4.0,1,2.0,1,2.0,1,2.0,23020
23,21,233,3,1.29,3,1.29,3,1.29,3,1.29,1,0.43,2,0.86,41,17.6,44,18.88,45,19.31,16,6.87,15,6.44,16,6.87,1,0.43,0,0.0,0,0.0,6,2.58,8,3.43,7,3.0,7,3.0,6,2.58,5,2.15,0,0.0,1,0.43,0,0.0,23021
23,22,103,1,0.97,1,0.97,2,1.94,0,0.0,0,0.0,0,0.0,24,23.3,21,20.39,19,18.45,5,4.85,6,5.83,5,4.85,0,0.0,0,0.0,0,0.0,1,0.97,1,0.97,1,0.97,4,3.88,6,5.83,3,2.91,1,0.97,1,0.97,1,0.97,23022
23,23,181,1,0.55,0,0.0,1,0.55,2,1.1,0,0.0,1,0.55,42,23.2,39,21.55,38,20.99,3,1.66,7,3.87,3,1.66,1,0.55,0,0.0,1,0.55,4,2.21,3,1.66,2,1.1,9,4.97,10,5.52,8,4.42,2,1.1,3,1.66,1,0.55,23023
23,25,60,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,20.0,10,16.67,11,18.33,6,10.0,6,10.0,5,8.33,1,1.67,0,0.0,0,0.0,2,3.33,1,1.67,1,1.67,1,1.67,1,1.67,1,1.67,0,0.0,1,1.67,1,1.67,23025
23,26,83,0,0.0,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,16,19.28,15,18.07,15,18.07,7,8.43,10,12.05,8,9.64,0,0.0,0,0.0,0,0.0,1,1.2,1,1.2,1,1.2,2,2.41,3,3.61,3,3.61,0,0.0,0,0.0,0,0.0,23026
23,27,179,0,0.0,0,0.0,1,0.56,0,0.0,2,1.12,1,0.56,34,18.99,33,18.44,33,18.44,10,5.59,11,6.15,9,5.03,1,0.56,1,0.56,0,0.0,8,4.47,6,3.35,6,3.35,2,1.12,5,2.79,3,1.68,4,2.23,6,3.35,3,1.68,23027
23,28,203,3,1.48,4,1.97,2,0.99,1,0.49,1,0.49,0,0.0,38,18.72,41,20.2,40,19.7,16,7.88,13,6.4,13,6.4,2,0.99,0,0.0,0,0.0,3,1.48,2,0.99,0,0.0,7,3.45,8,3.94,7,3.45,2,0.99,0,0.0,0,0.0,23028
23,29,113,0,0.0,0,0.0,1,0.88,1,0.88,0,0.0,0,0.0,23,20.35,19,16.81,17,15.04,10,8.85,6,5.31,9,7.96,1,0.88,0,0.0,1,0.88,1,0.88,2,1.77,1,0.88,8,7.08,8,7.08,5,4.42,0,0.0,0,0.0,0,0.0,23029
23,30,49,0,0.0,1,2.04,0,0.0,0,0.0,0,0.0,0,0.0,7,14.29,6,12.24,6,12.24,7,14.29,5,10.2,7,14.29,0,0.0,0,0.0,1,2.04,2,4.08,2,4.08,2,4.08,1,2.04,1,2.04,0,0.0,1,2.04,0,0.0,0,0.0,23030
23,31,34,0,0.0,0,0.0,0,0.0,1,2.94,0,0.0,0,0.0,5,14.71,4,11.76,5,14.71,5,14.71,6,17.65,5,14.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.94,0,0.0,2,5.88,0,0.0,0,0.0,0,0.0,0,0.0,23031
23,32,79,0,0.0,0,0.0,2,2.53,0,0.0,0,0.0,1,1.27,9,11.39,10,12.66,10,12.66,8,10.13,10,12.66,7,8.86,0,0.0,0,0.0,0,0.0,3,3.8,3,3.8,4,5.06,3,3.8,4,5.06,5,6.33,0,0.0,0,0.0,0,0.0,23032
23,33,73,1,1.37,2,2.74,0,0.0,0,0.0,0,0.0,0,0.0,7,9.59,6,8.22,7,9.59,9,12.33,6,8.22,7,9.59,0,0.0,0,0.0,0,0.0,6,8.22,6,8.22,5,6.85,5,6.85,3,4.11,3,4.11,0,0.0,0,0.0,0,0.0,23033
23,34,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,29.41,4,23.53,4,23.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,2,11.76,1,5.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23034
23,35,158,0,0.0,0,0.0,0,0.0,2,1.27,0,0.0,0,0.0,28,17.72,30,18.99,28,17.72,14,8.86,13,8.23,12,7.59,0,0.0,0,0.0,0,0.0,6,3.8,5,3.16,4,2.53,4,2.53,5,3.16,5,3.16,1,0.63,0,0.0,1,0.63,23035
23,36,226,0,0.0,0,0.0,0,0.0,2,0.88,0,0.0,1,0.44,41,18.14,41,18.14,42,18.58,20,8.85,21,9.29,18,7.96,1,0.44,0,0.0,0,0.0,6,2.65,7,3.1,7,3.1,6,2.65,7,3.1,5,2.21,0,0.0,1,0.44,0,0.0,23036
23,37,226,0,0.0,2,0.88,1,0.44,0,0.0,0,0.0,0,0.0,35,15.49,37,16.37,33,14.6,16,7.08,17,7.52,14,6.19,1,0.44,0,0.0,1,0.44,8,3.54,9,3.98,9,3.98,11,4.87,10,4.42,9,3.98,4,1.77,5,2.21,4,1.77,23037
23,38,144,2,1.39,2,1.39,1,0.69,0,0.0,0,0.0,0,0.0,25,17.36,28,19.44,26,18.06,12,8.33,11,7.64,10,6.94,0,0.0,1,0.69,0,0.0,7,4.86,5,3.47,8,5.56,1,0.69,2,1.39,2,1.39,0,0.0,1,0.69,0,0.0,23038
23,39,14,3,21.43,0,0.0,0,0.0,1,7.14,1,7.14,0,0.0,1,7.14,1,7.14,1,7.14,1,7.14,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,1,7.14,0,0.0,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23039
