ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
46,28,469,469,100.0,46028
46,29,400,400,100.0,46029
46,30,523,523,100.0,46030
46,31,517,517,100.0,46031
46,32,491,491,100.0,46032
46,33,586,586,100.0,46033
46,34,594,594,100.0,46034
46,35,557,557,100.0,46035
46,36,469,469,100.0,46036
46,37,425,425,100.0,46037
46,38,533,533,100.0,46038
46,39,481,481,100.0,46039
46,40,419,419,100.0,46040
47,1,341,341,100.0,47001
47,2,476,476,100.0,47002
47,3,450,450,100.0,47003
47,4,533,533,100.0,47004
47,5,552,552,100.0,47005
47,6,617,617,100.0,47006
47,7,451,451,100.0,47007
47,8,483,483,100.0,47008
47,9,470,470,100.0,47009
47,10,658,658,100.0,47010
47,11,486,486,100.0,47011
47,12,534,534,100.0,47012
47,13,513,513,100.0,47013
