ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,precinct_id
9,14,282,282,100.0,09014
9,15,413,413,100.0,09015
9,16,544,544,100.0,09016
9,17,153,153,100.0,09017
9,18,283,283,100.0,09018
9,19,234,234,100.0,09019
9,20,405,405,100.0,09020
9,21,484,484,100.0,09021
9,22,342,342,100.0,09022
9,23,255,255,100.0,09023
9,24,412,412,100.0,09024
9,25,320,320,100.0,09025
9,26,443,443,100.0,09026
9,27,253,253,100.0,09027
9,28,199,199,100.0,09028
9,29,592,592,100.0,09029
9,30,492,492,100.0,09030
10,1,129,129,100.0,10001
10,2,159,159,100.0,10002
10,3,247,247,100.0,10003
10,4,293,293,100.0,10004
10,5,106,106,100.0,10005
10,6,148,148,100.0,10006
10,7,242,242,100.0,10007
10,8,233,233,100.0,10008
10,9,277,277,100.0,10009
10,10,280,280,100.0,10010
10,11,107,107,100.0,10011
10,12,278,278,100.0,10012
10,13,309,309,100.0,10013
10,14,393,393,100.0,10014
10,15,323,323,100.0,10015
10,16,401,401,100.0,10016
10,17,340,340,100.0,10017
10,18,395,395,100.0,10018
10,19,259,259,100.0,10019
10,20,166,166,100.0,10020
10,21,204,204,100.0,10021
10,22,358,358,100.0,10022
10,23,287,287,100.0,10023
10,24,130,130,100.0,10024
10,25,207,207,100.0,10025
11,1,141,141,100.0,11001
11,2,75,75,100.0,11002
11,3,403,403,100.0,11003
11,4,285,285,100.0,11004
11,5,295,295,100.0,11005
11,6,392,392,100.0,11006
11,7,199,199,100.0,11007
11,8,306,306,100.0,11008
11,9,365,365,100.0,11009
11,10,59,59,100.0,11010
11,11,52,52,100.0,11011
11,12,113,113,100.0,11012
11,13,316,316,100.0,11013
11,14,607,607,100.0,11014
11,15,485,485,100.0,11015
11,16,556,556,100.0,11016
11,17,236,236,100.0,11017
11,18,365,365,100.0,11018
