ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Dan Brady,Dan Brady Percent,Jon Stewart,Jon Stewart Percent,precinct_id
27,11,689,549,79.68,126,18.29,14,2.03,27011
27,12,480,389,81.04,77,16.04,14,2.92,27012
27,13,547,474,86.65,59,10.79,14,2.56,27013
27,14,414,378,91.3,23,5.56,13,3.14,27014
27,15,543,468,86.19,61,11.23,14,2.58,27015
27,16,755,576,76.29,154,20.4,25,3.31,27016
27,17,266,230,86.47,28,10.53,8,3.01,27017
27,18,632,571,90.35,47,7.44,14,2.22,27018
27,19,191,170,89.01,19,9.95,2,1.05,27019
27,20,370,338,91.35,18,4.86,14,3.78,27020
27,21,282,227,80.5,51,18.09,4,1.42,27021
27,22,397,369,92.95,20,5.04,8,2.02,27022
27,23,332,310,93.37,16,4.82,6,1.81,27023
27,24,190,177,93.16,8,4.21,5,2.63,27024
27,25,473,423,89.43,33,6.98,17,3.59,27025
27,26,522,483,92.53,31,5.94,8,1.53,27026
27,27,396,350,88.38,33,8.33,13,3.28,27027
27,28,499,371,74.35,113,22.65,15,3.01,27028
27,29,899,738,82.09,149,16.57,12,1.33,27029
28,1,295,282,95.59,9,3.05,4,1.36,28001
28,2,294,280,95.24,7,2.38,7,2.38,28002
28,3,87,78,89.66,7,8.05,2,2.3,28003
28,4,249,228,91.57,16,6.43,5,2.01,28004
28,5,263,249,94.68,11,4.18,3,1.14,28005
28,6,436,411,94.27,17,3.9,8,1.83,28006
28,7,203,187,92.12,10,4.93,6,2.96,28007
28,8,413,380,92.01,24,5.81,9,2.18,28008
28,9,218,208,95.41,6,2.75,4,1.83,28009
28,10,131,123,93.89,6,4.58,2,1.53,28010
28,11,578,508,87.89,53,9.17,17,2.94,28011
28,12,762,643,84.38,99,12.99,20,2.62,28012
28,13,615,486,79.02,116,18.86,13,2.11,28013
28,14,502,455,90.64,39,7.77,8,1.59,28014
28,15,297,280,94.28,16,5.39,1,0.34,28015
28,16,613,534,87.11,65,10.6,14,2.28,28016
28,17,333,304,91.29,24,7.21,5,1.5,28017
28,18,373,350,93.83,16,4.29,7,1.88,28018
28,19,369,344,93.22,16,4.34,9,2.44,28019
28,20,300,286,95.33,8,2.67,6,2.0,28020
28,21,325,298,91.69,21,6.46,6,1.85,28021
28,22,253,234,92.49,14,5.53,5,1.98,28022
28,23,351,329,93.73,15,4.27,7,1.99,28023
28,24,275,253,92.0,19,6.91,3,1.09,28024
28,25,559,525,93.92,21,3.76,13,2.33,28025
28,26,171,160,93.57,8,4.68,3,1.75,28026
29,1,641,380,59.28,248,38.69,13,2.03,29001
29,2,526,317,60.27,197,37.45,12,2.28,29002
29,3,434,302,69.59,128,29.49,4,0.92,29003
29,4,463,324,69.98,125,27.0,14,3.02,29004
29,5,448,365,81.47,80,17.86,3,0.67,29005
29,6,391,342,87.47,42,10.74,7,1.79,29006
29,7,740,592,80.0,132,17.84,16,2.16,29007
29,8,962,835,86.8,114,11.85,13,1.35,29008
29,9,390,363,93.08,15,3.85,12,3.08,29009
29,10,543,504,92.82,29,5.34,10,1.84,29010
29,11,471,425,90.23,36,7.64,10,2.12,29011
29,12,605,566,93.55,28,4.63,11,1.82,29012
29,13,605,575,95.04,20,3.31,10,1.65,29013
29,14,531,492,92.66,31,5.84,8,1.51,29014
29,15,502,459,91.43,33,6.57,10,1.99,29015
29,16,570,531,93.16,32,5.61,7,1.23,29016
29,17,386,363,94.04,19,4.92,4,1.04,29017
29,18,539,501,92.95,25,4.64,13,2.41,29018
29,19,598,572,95.65,19,3.18,7,1.17,29019
29,20,343,321,93.59,16,4.66,6,1.75,29020
29,21,437,374,85.58,54,12.36,9,2.06,29021
29,22,609,569,93.43,31,5.09,9,1.48,29022
29,23,552,519,94.02,18,3.26,15,2.72,29023
29,24,434,405,93.32,18,4.15,11,2.53,29024
30,1,576,401,69.62,160,27.78,15,2.6,30001
30,2,392,272,69.39,106,27.04,14,3.57,30002
30,3,515,457,88.74,52,10.1,6,1.17,30003
30,4,434,305,70.28,120,27.65,9,2.07,30004
30,5,455,349,76.7,100,21.98,6,1.32,30005
30,6,509,394,77.41,93,18.27,22,4.32,30006
30,7,347,271,78.1,70,20.17,6,1.73,30007
30,8,605,507,83.8,79,13.06,19,3.14,30008
30,9,529,369,69.75,142,26.84,18,3.4,30009
30,10,456,345,75.66,103,22.59,8,1.75,30010
30,11,377,283,75.07,86,22.81,8,2.12,30011
30,12,516,361,69.96,141,27.33,14,2.71,30012
30,13,451,301,66.74,133,29.49,17,3.77,30013
30,14,473,341,72.09,127,26.85,5,1.06,30014
30,15,690,582,84.35,90,13.04,18,2.61,30015
30,16,364,249,68.41,101,27.75,14,3.85,30016
30,17,524,407,77.67,103,19.66,14,2.67,30017
30,18,448,367,81.92,72,16.07,9,2.01,30018
30,19,283,227,80.21,53,18.73,3,1.06,30019
30,20,345,263,76.23,74,21.45,8,2.32,30020
30,21,600,403,67.17,185,30.83,12,2.0,30021
30,22,567,470,82.89,85,14.99,12,2.12,30022
30,23,600,500,83.33,92,15.33,8,1.33,30023
30,24,523,405,77.44,110,21.03,8,1.53,30024
30,25,374,275,73.53,90,24.06,9,2.41,30025
30,26,609,518,85.06,77,12.64,14,2.3,30026
31,1,359,298,83.01,55,15.32,6,1.67,31001
31,2,551,458,83.12,82,14.88,11,2.0,31002
31,3,324,240,74.07,75,23.15,9,2.78,31003
31,4,370,324,87.57,40,10.81,6,1.62,31004
31,5,373,299,80.16,67,17.96,7,1.88,31005
31,6,284,233,82.04,43,15.14,8,2.82,31006
31,7,349,282,80.8,58,16.62,9,2.58,31007
31,8,473,377,79.7,84,17.76,12,2.54,31008
31,9,319,234,73.35,72,22.57,13,4.08,31009
31,10,494,409,82.79,70,14.17,15,3.04,31010
31,11,475,355,74.74,109,22.95,11,2.32,31011
31,12,569,445,78.21,104,18.28,20,3.51,31012
31,13,378,310,82.01,58,15.34,10,2.65,31013
31,14,415,335,80.72,77,18.55,3,0.72,31014
31,15,196,145,73.98,46,23.47,5,2.55,31015
31,16,268,206,76.87,57,21.27,5,1.87,31016
31,17,340,252,74.12,78,22.94,10,2.94,31017
31,18,300,231,77.0,64,21.33,5,1.67,31018
31,19,349,278,79.66,60,17.19,11,3.15,31019
31,20,354,278,78.53,64,18.08,12,3.39,31020
31,21,357,287,80.39,61,17.09,9,2.52,31021
31,22,157,138,87.9,16,10.19,3,1.91,31022
31,23,200,158,79.0,36,18.0,6,3.0,31023
32,1,1274,1059,83.12,196,15.38,19,1.49,32001
32,2,1023,848,82.89,139,13.59,36,3.52,32002
32,3,751,625,83.22,108,14.38,18,2.4,32003
32,4,727,604,83.08,100,13.76,23,3.16,32004
32,5,582,486,83.51,79,13.57,17,2.92,32005
32,6,347,286,82.42,48,13.83,13,3.75,32006
32,7,782,603,77.11,166,21.23,13,1.66,32007
32,8,535,453,84.67,76,14.21,6,1.12,32008
32,9,532,411,77.26,107,20.11,14,2.63,32009
