ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
8,58,221,68,30.77,85,38.46,68,30.77,08058
8,59,188,57,30.32,87,46.28,44,23.4,08059
8,60,236,67,28.39,101,42.8,68,28.81,08060
8,61,155,60,38.71,56,36.13,39,25.16,08061
8,62,260,69,26.54,109,41.92,82,31.54,08062
8,63,235,84,35.74,88,37.45,63,26.81,08063
8,64,112,34,30.36,46,41.07,32,28.57,08064
8,65,231,70,30.3,88,38.1,73,31.6,08065
8,66,252,83,32.94,99,39.29,70,27.78,08066
9,1,220,87,39.55,64,29.09,69,31.36,09001
9,2,205,81,39.51,71,34.63,53,25.85,09002
9,3,143,54,37.76,60,41.96,29,20.28,09003
9,4,250,69,27.6,73,29.2,108,43.2,09004
9,5,200,75,37.5,66,33.0,59,29.5,09005
9,6,211,71,33.65,80,37.91,60,28.44,09006
9,7,184,62,33.7,73,39.67,49,26.63,09007
9,8,151,61,40.4,62,41.06,28,18.54,09008
9,9,244,104,42.62,61,25.0,79,32.38,09009
9,10,186,79,42.47,57,30.65,50,26.88,09010
9,11,138,44,31.88,61,44.2,33,23.91,09011
9,12,177,77,43.5,45,25.42,55,31.07,09012
9,13,264,98,37.12,93,35.23,73,27.65,09013
9,14,282,106,37.59,82,29.08,94,33.33,09014
9,15,87,28,32.18,31,35.63,28,32.18,09015
9,16,206,60,29.13,85,41.26,61,29.61,09016
9,17,161,73,45.34,40,24.84,48,29.81,09017
9,18,191,67,35.08,63,32.98,61,31.94,09018
9,19,243,64,26.34,100,41.15,79,32.51,09019
9,20,238,96,40.34,77,32.35,65,27.31,09020
9,21,146,63,43.15,40,27.4,43,29.45,09021
9,22,242,85,35.12,76,31.4,81,33.47,09022
9,23,137,60,43.8,46,33.58,31,22.63,09023
9,24,90,37,41.11,37,41.11,16,17.78,09024
9,25,92,29,31.52,37,40.22,26,28.26,09025
9,26,124,42,33.87,45,36.29,37,29.84,09026
9,27,125,46,36.8,46,36.8,33,26.4,09027
9,28,128,42,32.81,58,45.31,28,21.88,09028
9,29,174,63,36.21,60,34.48,51,29.31,09029
9,30,215,60,27.91,80,37.21,75,34.88,09030
9,31,155,64,41.29,37,23.87,54,34.84,09031
9,32,210,67,31.9,86,40.95,57,27.14,09032
9,33,143,61,42.66,52,36.36,30,20.98,09033
9,34,143,62,43.36,43,30.07,38,26.57,09034
9,35,186,69,37.1,53,28.49,64,34.41,09035
9,36,112,33,29.46,49,43.75,30,26.79,09036
9,37,186,45,24.19,97,52.15,44,23.66,09037
9,38,189,61,32.28,52,27.51,76,40.21,09038
9,39,194,63,32.47,59,30.41,72,37.11,09039
9,40,233,61,26.18,101,43.35,71,30.47,09040
9,41,252,72,28.57,76,30.16,104,41.27,09041
9,42,138,46,33.33,49,35.51,43,31.16,09042
9,43,133,50,37.59,51,38.35,32,24.06,09043
9,44,148,52,35.14,52,35.14,44,29.73,09044
9,45,250,72,28.8,82,32.8,96,38.4,09045
9,46,166,42,25.3,85,51.2,39,23.49,09046
9,47,119,35,29.41,40,33.61,44,36.97,09047
9,48,243,82,33.74,68,27.98,93,38.27,09048
9,49,64,27,42.19,22,34.38,15,23.44,09049
