ward,precinct,total,Kristyna Colleen Ryan,Kristyna Colleen Ryan Percent,Paula M. Lingo,Paula M. Lingo Percent,Frank James Ryan,Frank James Ryan Percent,precinct_id
9,8,252,84,33.33,102,40.48,66,26.19,09008
9,9,273,111,40.66,84,30.77,78,28.57,09009
9,10,222,89,40.09,73,32.88,60,27.03,09010
9,11,180,65,36.11,59,32.78,56,31.11,09011
9,12,222,101,45.5,64,28.83,57,25.68,09012
9,13,245,95,38.78,86,35.1,64,26.12,09013
9,14,335,130,38.81,123,36.72,82,24.48,09014
9,15,232,83,35.78,99,42.67,50,21.55,09015
9,16,182,67,36.81,69,37.91,46,25.27,09016
9,17,232,86,37.07,87,37.5,59,25.43,09017
9,18,257,108,42.02,74,28.79,75,29.18,09018
9,19,288,114,39.58,100,34.72,74,25.69,09019
9,20,272,105,38.6,87,31.99,80,29.41,09020
9,21,234,118,50.43,62,26.5,54,23.08,09021
9,22,275,89,32.36,106,38.55,80,29.09,09022
9,23,188,80,42.55,72,38.3,36,19.15,09023
9,24,119,45,37.82,40,33.61,34,28.57,09024
9,25,158,61,38.61,56,35.44,41,25.95,09025
9,26,139,44,31.65,61,43.88,34,24.46,09026
9,27,195,67,34.36,68,34.87,60,30.77,09027
9,28,99,31,31.31,52,52.53,16,16.16,09028
9,29,189,81,42.86,62,32.8,46,24.34,09029
9,30,221,79,35.75,92,41.63,50,22.62,09030
9,31,212,76,35.85,88,41.51,48,22.64,09031
9,32,239,90,37.66,63,26.36,86,35.98,09032
9,33,144,55,38.19,53,36.81,36,25.0,09033
9,34,180,59,32.78,61,33.89,60,33.33,09034
9,35,308,103,33.44,125,40.58,80,25.97,09035
9,36,276,104,37.68,96,34.78,76,27.54,09036
9,37,172,84,48.84,45,26.16,43,25.0,09037
9,38,237,95,40.08,83,35.02,59,24.89,09038
9,39,303,94,31.02,151,49.83,58,19.14,09039
