ward,precinct,total,Enoch Clarke-Bey (Clinton),Enoch Clarke-Bey (Clinton) Percent,Alice J. Palmer (Clinton),Alice J. Palmer (Clinton) Percent,Dante Sawyer (Clinton),Dante Sawyer (Clinton) Percent,Mercedes Mallette (Clinton),Mercedes Mallette (Clinton) Percent,"William Payton, Sr. (Clinton)","William Payton, Sr. (Clinton) Percent",Lupe M. Perez (Clinton),Lupe M. Perez (Clinton) Percent,Bernard McCann (Clinton),Bernard McCann (Clinton) Percent,Malissa Rainey (Clinton),Malissa Rainey (Clinton) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Anthony A. Beale (Obama),Anthony A. Beale (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Leslie A. Hairston (Obama),Leslie A. Hairston (Obama) Percent,Cheryle Jackson (Obama),Cheryle Jackson (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,James T. Meeks (Obama),James T. Meeks (Obama) Percent,"Willie ''Bill'' Williams, Jr. (Obama)","Willie ''Bill'' Williams, Jr. (Obama) Percent",Adam Avrushin (Richardson),Adam Avrushin (Richardson) Percent,Joan Donahue (Richardson),Joan Donahue (Richardson) Percent,precinct_id
9,53,1109,13,1.17,13,1.17,9,0.81,7,0.63,10,0.9,6,0.54,7,0.63,9,0.81,126,11.36,134,12.08,122,11.0,129,11.63,127,11.45,127,11.45,133,11.99,122,11.0,8,0.72,7,0.63,09053
10,1,1560,41,2.63,50,3.21,44,2.82,49,3.14,42,2.69,53,3.4,41,2.63,45,2.88,142,9.1,147,9.42,146,9.36,145,9.29,153,9.81,155,9.94,156,10.0,140,8.97,3,0.19,8,0.51,10001
10,2,944,70,7.42,78,8.26,68,7.2,70,7.42,68,7.2,78,8.26,72,7.63,73,7.73,41,4.34,44,4.66,46,4.87,45,4.77,46,4.87,46,4.87,39,4.13,39,4.13,9,0.95,12,1.27,10002
10,3,1166,96,8.23,99,8.49,98,8.4,95,8.15,92,7.89,107,9.18,98,8.4,95,8.15,53,4.55,48,4.12,47,4.03,48,4.12,43,3.69,46,3.95,40,3.43,41,3.52,8,0.69,12,1.03,10003
10,4,1140,51,4.47,58,5.09,52,4.56,52,4.56,56,4.91,66,5.79,48,4.21,49,4.3,86,7.54,83,7.28,87,7.63,86,7.54,86,7.54,91,7.98,88,7.72,86,7.54,8,0.7,7,0.61,10004
10,5,988,51,5.16,58,5.87,54,5.47,52,5.26,51,5.16,69,6.98,53,5.36,50,5.06,66,6.68,72,7.29,66,6.68,67,6.78,69,6.98,65,6.58,58,5.87,62,6.28,14,1.42,11,1.11,10005
10,6,1705,15,0.88,16,0.94,17,1.0,15,0.88,17,1.0,13,0.76,10,0.59,12,0.7,178,10.44,201,11.79,198,11.61,194,11.38,196,11.5,199,11.67,205,12.02,199,11.67,12,0.7,8,0.47,10006
10,7,393,22,5.6,22,5.6,24,6.11,23,5.85,22,5.6,27,6.87,22,5.6,23,5.85,24,6.11,26,6.62,25,6.36,22,5.6,29,7.38,28,7.12,27,6.87,23,5.85,2,0.51,2,0.51,10007
10,8,1030,77,7.48,89,8.64,81,7.86,86,8.35,80,7.77,90,8.74,84,8.16,84,8.16,46,4.47,45,4.37,42,4.08,42,4.08,38,3.69,42,4.08,37,3.59,38,3.69,14,1.36,15,1.46,10008
10,9,1076,76,7.06,82,7.62,80,7.43,78,7.25,85,7.9,85,7.9,82,7.62,76,7.06,57,5.3,56,5.2,51,4.74,51,4.74,46,4.28,53,4.93,48,4.46,46,4.28,10,0.93,14,1.3,10009
10,10,1106,82,7.41,89,8.05,85,7.69,91,8.23,84,7.59,111,10.04,86,7.78,89,8.05,49,4.43,46,4.16,45,4.07,49,4.43,44,3.98,45,4.07,44,3.98,39,3.53,11,0.99,17,1.54,10010
10,11,1330,99,7.44,107,8.05,102,7.67,109,8.2,95,7.14,132,9.92,99,7.44,105,7.89,66,4.96,56,4.21,56,4.21,59,4.44,56,4.21,63,4.74,48,3.61,49,3.68,11,0.83,18,1.35,10011
10,12,996,72,7.23,80,8.03,74,7.43,82,8.23,76,7.63,101,10.14,73,7.33,76,7.63,49,4.92,43,4.32,43,4.32,43,4.32,44,4.42,50,5.02,36,3.61,41,4.12,5,0.5,8,0.8,10012
10,13,948,76,8.02,82,8.65,72,7.59,82,8.65,73,7.7,100,10.55,72,7.59,73,7.7,43,4.54,37,3.9,41,4.32,36,3.8,32,3.38,43,4.54,31,3.27,36,3.8,8,0.84,11,1.16,10013
10,14,1324,100,7.55,108,8.16,98,7.4,106,8.01,97,7.33,115,8.69,95,7.18,100,7.55,61,4.61,61,4.61,61,4.61,61,4.61,59,4.46,66,4.98,57,4.31,54,4.08,16,1.21,9,0.68,10014
10,15,646,40,6.19,44,6.81,43,6.66,42,6.5,39,6.04,46,7.12,39,6.04,40,6.19,38,5.88,41,6.35,38,5.88,38,5.88,35,5.42,39,6.04,37,5.73,37,5.73,6,0.93,4,0.62,10015
10,16,1240,94,7.58,100,8.06,95,7.66,96,7.74,93,7.5,101,8.15,95,7.66,97,7.82,63,5.08,54,4.35,52,4.19,58,4.68,54,4.35,56,4.52,54,4.35,53,4.27,12,0.97,13,1.05,10016
