ward,precinct,total,Steve Hagerty (Pete Buttigieg),Steve Hagerty (Pete Buttigieg) Percent,Markus Pitchford (Pete Buttigieg),Markus Pitchford (Pete Buttigieg) Percent,Greg Schweizer (Pete Buttigieg),Greg Schweizer (Pete Buttigieg) Percent,Debra Shore (Pete Buttigieg),Debra Shore (Pete Buttigieg) Percent,Carolyn Townsend (Bernie Sanders),Carolyn Townsend (Bernie Sanders) Percent,Cortney Ritsema (Bernie Sanders),Cortney Ritsema (Bernie Sanders) Percent,Margaret ''Meg'' Welch (Bernie Sanders,Margaret ''Meg'' Welch (Bernie Sanders Percent,Michelle L. Oxman (Bernie Sanders),Michelle L. Oxman (Bernie Sanders) Percent,Amarzaya Makhbal (Bernie Sanders),Amarzaya Makhbal (Bernie Sanders) Percent,Anub Abraham (Bernie Sanders),Anub Abraham (Bernie Sanders) Percent,Michael J. Harrington (Bernie Sanders),Michael J. Harrington (Bernie Sanders) Percent,Ryan McIntyre (Bernie Sanders),Ryan McIntyre (Bernie Sanders) Percent,Janice Berman-Krautwald (Andrew Yang),Janice Berman-Krautwald (Andrew Yang) Percent,John Lee Bingham (Andrew Yang),John Lee Bingham (Andrew Yang) Percent,Molly Bosi (Andrew Yang),Molly Bosi (Andrew Yang) Percent,Chase Rawlins (Andrew Yang),Chase Rawlins (Andrew Yang) Percent,Vasilios Stefanis (Andrew Yang),Vasilios Stefanis (Andrew Yang) Percent,Daniel Biss (Elizabeth Warren),Daniel Biss (Elizabeth Warren) Percent,Josina Morita (Elizabeth Warren),Josina Morita (Elizabeth Warren) Percent,Daniel J. Montgomery (Elizabeth Warren,Daniel J. Montgomery (Elizabeth Warren Percent,Ilya Sheyman (Elizabeth Warren),Ilya Sheyman (Elizabeth Warren) Percent,Miguel Moreno (Elizabeth Warren),Miguel Moreno (Elizabeth Warren) Percent,Leo Smith (Elizabeth Warren),Leo Smith (Elizabeth Warren) Percent,Leni Manaa-Hoppenworth (Elizabeth Warr,Leni Manaa-Hoppenworth (Elizabeth Warr Percent,Marcia Blumenthal Fields (Joseph R. Bi,Marcia Blumenthal Fields (Joseph R. Bi Percent,Jane Hannemann (Amy J. Klobuchar),Jane Hannemann (Amy J. Klobuchar) Percent,Joe Shepherd (Amy J. Klobuchar),Joe Shepherd (Amy J. Klobuchar) Percent,John Fitzgerald (Amy J. Klobuchar),John Fitzgerald (Amy J. Klobuchar) Percent,Hope R. Green (Amy J. Klobuchar),Hope R. Green (Amy J. Klobuchar) Percent,Catherine Marquis (Amy J. Klobuchar),Catherine Marquis (Amy J. Klobuchar) Percent,Christie Ann Hefner (Amy J. Klobuchar),Christie Ann Hefner (Amy J. Klobuchar) Percent,Jacob (Jake) Riley (Amy J. Klobuchar),Jacob (Jake) Riley (Amy J. Klobuchar) Percent,precinct_id
48,35,1398,16,1.14,12,0.86,6,0.43,14,1.0,98,7.01,96,6.87,97,6.94,92,6.58,86,6.15,84,6.01,95,6.8,81,5.79,7,0.5,2,0.14,6,0.43,3,0.21,2,0.14,13,0.93,17,1.22,15,1.07,13,0.93,18,1.29,13,0.93,11,0.79,66,4.72,12,0.86,4,0.29,4,0.29,4,0.29,5,0.36,4,0.29,3,0.21,48035
48,36,1585,29,1.83,17,1.07,15,0.95,16,1.01,77,4.86,70,4.42,76,4.79,70,4.42,70,4.42,69,4.35,64,4.04,62,3.91,8,0.5,5,0.32,8,0.5,5,0.32,2,0.13,17,1.07,16,1.01,20,1.26,13,0.82,14,0.88,14,0.88,16,1.01,118,7.44,14,0.88,1,0.06,5,0.32,4,0.25,0,0.0,6,0.38,1,0.06,48036
48,37,2717,31,1.14,24,0.88,19,0.7,31,1.14,178,6.55,170,6.26,176,6.48,177,6.51,179,6.59,176,6.48,162,5.96,155,5.7,7,0.26,1,0.04,11,0.4,3,0.11,2,0.07,38,1.4,43,1.58,32,1.18,40,1.47,39,1.44,33,1.21,36,1.32,128,4.71,26,0.96,3,0.11,3,0.11,4,0.15,9,0.33,5,0.18,5,0.18,48037
48,38,3121,26,0.83,24,0.77,17,0.54,37,1.19,150,4.81,146,4.68,151,4.84,150,4.81,144,4.61,140,4.49,133,4.26,126,4.04,5,0.16,5,0.16,8,0.26,2,0.06,3,0.1,61,1.95,49,1.57,43,1.38,57,1.83,52,1.67,44,1.41,57,1.83,208,6.66,38,1.22,6,0.19,10,0.32,12,0.38,10,0.32,12,0.38,6,0.19,48038
48,39,1576,26,1.65,16,1.02,15,0.95,29,1.84,65,4.12,58,3.68,56,3.55,60,3.81,56,3.55,56,3.55,61,3.87,54,3.43,3,0.19,2,0.13,4,0.25,2,0.13,0,0.0,17,1.08,14,0.89,15,0.95,13,0.82,15,0.95,13,0.82,18,1.14,120,7.61,26,1.65,5,0.32,3,0.19,9,0.57,5,0.32,14,0.89,3,0.19,48039
48,40,2497,43,1.72,38,1.52,19,0.76,28,1.12,139,5.57,139,5.57,147,5.89,149,5.97,146,5.85,140,5.61,141,5.65,129,5.17,4,0.16,3,0.12,3,0.12,1,0.04,2,0.08,29,1.16,32,1.28,28,1.12,45,1.8,38,1.52,32,1.28,45,1.8,137,5.49,17,0.68,1,0.04,5,0.2,12,0.48,7,0.28,10,0.4,2,0.08,48040
48,41,3265,16,0.49,18,0.55,11,0.34,15,0.46,282,8.64,270,8.27,276,8.45,274,8.39,270,8.27,264,8.09,256,7.84,246,7.53,5,0.15,7,0.21,7,0.21,7,0.21,5,0.15,36,1.1,53,1.62,38,1.16,47,1.44,43,1.32,36,1.1,44,1.35,97,2.97,7,0.21,0,0.0,3,0.09,4,0.12,3,0.09,4,0.12,0,0.0,48041
48,42,3139,39,1.24,34,1.08,22,0.7,36,1.15,218,6.94,215,6.85,214,6.82,206,6.56,204,6.5,203,6.47,197,6.28,182,5.8,4,0.13,1,0.03,5,0.16,2,0.06,3,0.1,52,1.66,46,1.47,37,1.18,63,2.01,54,1.72,36,1.15,59,1.88,136,4.33,15,0.48,1,0.03,2,0.06,6,0.19,4,0.13,7,0.22,2,0.06,48042
48,43,3038,29,0.95,31,1.02,19,0.63,40,1.32,205,6.75,189,6.22,205,6.75,194,6.39,206,6.78,195,6.42,194,6.39,180,5.92,11,0.36,6,0.2,9,0.3,6,0.2,4,0.13,35,1.15,39,1.28,33,1.09,41,1.35,38,1.25,34,1.12,40,1.32,145,4.77,19,0.63,5,0.16,12,0.39,11,0.36,7,0.23,7,0.23,5,0.16,48043
48,44,3553,50,1.41,39,1.1,34,0.96,47,1.32,240,6.75,236,6.64,239,6.73,230,6.47,226,6.36,223,6.28,212,5.97,211,5.94,5,0.14,3,0.08,5,0.14,2,0.06,0,0.0,61,1.72,56,1.58,41,1.15,59,1.66,53,1.49,43,1.21,50,1.41,164,4.62,17,0.48,1,0.03,3,0.08,10,0.28,5,0.14,10,0.28,5,0.14,48044
48,45,2128,17,0.8,18,0.85,13,0.61,22,1.03,154,7.24,151,7.1,159,7.47,154,7.24,151,7.1,149,7.0,145,6.81,138,6.48,12,0.56,6,0.28,9,0.42,3,0.14,6,0.28,21,0.99,22,1.03,15,0.7,24,1.13,25,1.17,19,0.89,24,1.13,91,4.28,15,0.7,3,0.14,3,0.14,5,0.23,5,0.23,7,0.33,6,0.28,48045
48,46,1626,18,1.11,12,0.74,14,0.86,18,1.11,91,5.6,92,5.66,91,5.6,87,5.35,86,5.29,84,5.17,78,4.8,77,4.74,6,0.37,4,0.25,6,0.37,3,0.18,7,0.43,23,1.41,22,1.35,18,1.11,14,0.86,20,1.23,16,0.98,17,1.05,97,5.97,16,0.98,3,0.18,3,0.18,7,0.43,5,0.31,3,0.18,2,0.12,48046
49,1,1368,23,1.68,16,1.17,10,0.73,13,0.95,96,7.02,91,6.65,95,6.94,91,6.65,85,6.21,84,6.14,85,6.21,74,5.41,3,0.22,2,0.15,4,0.29,0,0.0,4,0.29,15,1.1,11,0.8,15,1.1,12,0.88,20,1.46,18,1.32,19,1.39,68,4.97,6,0.44,3,0.22,2,0.15,6,0.44,3,0.22,2,0.15,2,0.15,49001
49,2,1637,15,0.92,8,0.49,8,0.49,18,1.1,108,6.6,109,6.66,112,6.84,109,6.66,111,6.78,106,6.48,99,6.05,94,5.74,4,0.24,5,0.31,7,0.43,4,0.24,3,0.18,30,1.83,30,1.83,26,1.59,29,1.77,28,1.71,24,1.47,29,1.77,66,4.03,8,0.49,4,0.24,2,0.12,5,0.31,2,0.12,4,0.24,0,0.0,49002
49,3,2711,20,0.74,16,0.59,17,0.63,28,1.03,177,6.53,169,6.23,172,6.34,170,6.27,173,6.38,166,6.12,165,6.09,144,5.31,6,0.22,3,0.11,9,0.33,3,0.11,5,0.18,54,1.99,51,1.88,45,1.66,44,1.62,49,1.81,35,1.29,40,1.48,117,4.32,24,0.89,3,0.11,11,0.41,15,0.55,14,0.52,13,0.48,5,0.18,49003
49,4,3631,21,0.58,17,0.47,14,0.39,27,0.74,299,8.23,292,8.04,299,8.23,298,8.21,293,8.07,286,7.88,278,7.66,261,7.19,7,0.19,4,0.11,6,0.17,3,0.08,4,0.11,56,1.54,50,1.38,47,1.29,57,1.57,60,1.65,48,1.32,56,1.54,110,3.03,9,0.25,6,0.17,8,0.22,8,0.22,5,0.14,5,0.14,5,0.14,49004
49,5,2350,30,1.28,19,0.81,21,0.89,34,1.45,143,6.09,138,5.87,141,6.0,135,5.74,135,5.74,133,5.66,136,5.79,127,5.4,8,0.34,7,0.3,10,0.43,6,0.26,6,0.26,23,0.98,23,0.98,26,1.11,35,1.49,28,1.19,27,1.15,28,1.19,113,4.81,17,0.72,4,0.17,3,0.13,5,0.21,12,0.51,6,0.26,1,0.04,49005
49,6,2230,20,0.9,12,0.54,5,0.22,19,0.85,138,6.19,135,6.05,143,6.41,135,6.05,145,6.5,134,6.01,134,6.01,118,5.29,9,0.4,8,0.36,8,0.36,6,0.27,6,0.27,37,1.66,35,1.57,31,1.39,32,1.43,36,1.61,23,1.03,35,1.57,109,4.89,14,0.63,2,0.09,3,0.13,6,0.27,12,0.54,5,0.22,2,0.09,49006
49,7,2334,19,0.81,17,0.73,17,0.73,30,1.29,160,6.86,152,6.51,160,6.86,153,6.56,153,6.56,149,6.38,143,6.13,137,5.87,12,0.51,6,0.26,5,0.21,2,0.09,5,0.21,24,1.03,17,0.73,18,0.77,20,0.86,20,0.86,14,0.6,16,0.69,123,5.27,24,1.03,6,0.26,7,0.3,11,0.47,8,0.34,6,0.26,6,0.26,49007
49,8,1640,18,1.1,11,0.67,15,0.91,20,1.22,95,5.79,91,5.55,92,5.61,91,5.55,86,5.24,83,5.06,87,5.3,78,4.76,6,0.37,5,0.3,6,0.37,2,0.12,1,0.06,17,1.04,19,1.16,19,1.16,16,0.98,12,0.73,10,0.61,19,1.16,108,6.59,14,0.85,3,0.18,3,0.18,4,0.24,3,0.18,5,0.3,1,0.06,49008
49,9,2605,22,0.84,22,0.84,18,0.69,30,1.15,172,6.6,159,6.1,170,6.53,164,6.3,162,6.22,159,6.1,150,5.76,142,5.45,3,0.12,6,0.23,12,0.46,0,0.0,5,0.19,46,1.77,46,1.77,48,1.84,53,2.03,52,2.0,46,1.77,52,2.0,114,4.38,14,0.54,2,0.08,2,0.08,6,0.23,7,0.27,12,0.46,3,0.12,49009
49,10,2618,26,0.99,21,0.8,18,0.69,28,1.07,184,7.03,180,6.88,183,6.99,182,6.95,173,6.61,175,6.68,176,6.72,151,5.77,2,0.08,4,0.15,3,0.11,1,0.04,1,0.04,46,1.76,42,1.6,31,1.18,35,1.34,38,1.45,30,1.15,39,1.49,104,3.97,21,0.8,4,0.15,24,0.92,12,0.46,8,0.31,8,0.31,4,0.15,49010
49,11,3007,30,1.0,15,0.5,17,0.57,30,1.0,204,6.78,205,6.82,211,7.02,209,6.95,200,6.65,194,6.45,195,6.48,177,5.89,7,0.23,3,0.1,7,0.23,3,0.1,6,0.2,38,1.26,33,1.1,39,1.3,49,1.63,48,1.6,41,1.36,52,1.73,127,4.22,24,0.8,8,0.27,12,0.4,10,0.33,9,0.3,10,0.33,3,0.1,49011
49,12,3441,25,0.73,13,0.38,11,0.32,21,0.61,282,8.2,272,7.9,277,8.05,268,7.79,271,7.88,261,7.59,258,7.5,242,7.03,14,0.41,6,0.17,19,0.55,3,0.09,5,0.15,47,1.37,44,1.28,41,1.19,42,1.22,45,1.31,38,1.1,42,1.22,123,3.57,19,0.55,2,0.06,10,0.29,10,0.29,6,0.17,5,0.15,4,0.12,49012
49,13,2700,33,1.22,19,0.7,18,0.67,33,1.22,181,6.7,171,6.33,176,6.52,177,6.56,174,6.44,163,6.04,166,6.15,145,5.37,7,0.26,7,0.26,5,0.19,4,0.15,5,0.19,37,1.37,28,1.04,24,0.89,26,0.96,29,1.07,18,0.67,24,0.89,140,5.19,28,1.04,5,0.19,6,0.22,3,0.11,7,0.26,15,0.56,4,0.15,49013
49,14,1649,15,0.91,12,0.73,8,0.49,19,1.15,113,6.85,114,6.91,116,7.03,111,6.73,114,6.91,112,6.79,115,6.97,106,6.43,5,0.3,4,0.24,8,0.49,3,0.18,5,0.3,23,1.39,21,1.27,15,0.91,22,1.33,19,1.15,17,1.03,23,1.39,69,4.18,16,0.97,5,0.3,6,0.36,5,0.3,6,0.36,10,0.61,4,0.24,49014
49,15,1386,19,1.37,10,0.72,7,0.51,18,1.3,87,6.28,85,6.13,88,6.35,87,6.28,86,6.2,81,5.84,79,5.7,70,5.05,3,0.22,3,0.22,4,0.29,0,0.0,0,0.0,12,0.87,20,1.44,21,1.52,26,1.88,21,1.52,16,1.15,20,1.44,58,4.18,14,1.01,3,0.22,5,0.36,4,0.29,4,0.29,6,0.43,1,0.07,49015
49,16,2173,25,1.15,14,0.64,14,0.64,17,0.78,136,6.26,124,5.71,131,6.03,133,6.12,126,5.8,125,5.75,127,5.84,116,5.34,8,0.37,5,0.23,12,0.55,6,0.28,8,0.37,26,1.2,31,1.43,21,0.97,29,1.33,28,1.29,24,1.1,23,1.06,117,5.38,18,0.83,2,0.09,2,0.09,12,0.55,4,0.18,6,0.28,3,0.14,49016
49,17,1717,13,0.76,11,0.64,6,0.35,14,0.82,126,7.34,122,7.11,121,7.05,122,7.11,123,7.16,118,6.87,118,6.87,104,6.06,6,0.35,4,0.23,7,0.41,2,0.12,5,0.29,11,0.64,16,0.93,11,0.64,10,0.58,11,0.64,7,0.41,12,0.7,89,5.18,14,0.82,1,0.06,2,0.12,2,0.12,4,0.23,4,0.23,4,0.23,49017
49,18,3650,21,0.58,13,0.36,10,0.27,30,0.82,303,8.3,289,7.92,301,8.25,293,8.03,294,8.05,281,7.7,282,7.73,260,7.12,8,0.22,8,0.22,10,0.27,6,0.16,8,0.22,47,1.29,47,1.29,42,1.15,55,1.51,52,1.42,33,0.9,49,1.34,118,3.23,14,0.38,2,0.05,8,0.22,7,0.19,5,0.14,5,0.14,5,0.14,49018
49,19,2018,16,0.79,10,0.5,9,0.45,18,0.89,150,7.43,142,7.04,146,7.23,147,7.28,144,7.14,134,6.64,135,6.69,120,5.95,3,0.15,4,0.2,6,0.3,2,0.1,2,0.1,23,1.14,24,1.19,24,1.19,28,1.39,32,1.59,21,1.04,25,1.24,86,4.26,8,0.4,4,0.2,1,0.05,3,0.15,1,0.05,2,0.1,1,0.05,49019
49,20,3985,24,0.6,25,0.63,14,0.35,35,0.88,320,8.03,320,8.03,321,8.06,313,7.85,318,7.98,308,7.73,300,7.53,279,7.0,7,0.18,7,0.18,10,0.25,6,0.15,7,0.18,48,1.2,54,1.36,44,1.1,57,1.43,51,1.28,44,1.1,55,1.38,137,3.44,16,0.4,3,0.08,5,0.13,10,0.25,6,0.15,8,0.2,2,0.05,49020
49,21,1155,18,1.56,8,0.69,4,0.35,16,1.39,55,4.76,51,4.42,53,4.59,57,4.94,54,4.68,52,4.5,51,4.42,46,3.98,5,0.43,8,0.69,6,0.52,3,0.26,5,0.43,16,1.39,11,0.95,11,0.95,8,0.69,21,1.82,11,0.95,9,0.78,75,6.49,10,0.87,1,0.09,6,0.52,4,0.35,5,0.43,2,0.17,5,0.43,49021
49,22,2325,25,1.08,17,0.73,12,0.52,21,0.9,158,6.8,151,6.49,153,6.58,150,6.45,147,6.32,138,5.94,139,5.98,130,5.59,10,0.43,5,0.22,7,0.3,4,0.17,8,0.34,23,0.99,30,1.29,20,0.86,24,1.03,33,1.42,21,0.9,19,0.82,117,5.03,17,0.73,3,0.13,5,0.22,7,0.3,5,0.22,5,0.22,2,0.09,49022
49,23,3507,14,0.4,8,0.23,19,0.54,23,0.66,311,8.87,317,9.04,317,9.04,307,8.75,306,8.73,292,8.33,283,8.07,256,7.3,12,0.34,6,0.17,13,0.37,4,0.11,6,0.17,56,1.6,46,1.31,47,1.34,46,1.31,49,1.4,39,1.11,53,1.51,85,2.42,13,0.37,2,0.06,6,0.17,6,0.17,7,0.2,9,0.26,2,0.06,49023
49,24,1350,13,0.96,12,0.89,7,0.52,14,1.04,91,6.74,83,6.15,90,6.67,86,6.37,90,6.67,85,6.3,82,6.07,76,5.63,7,0.52,4,0.3,3,0.22,4,0.3,3,0.22,13,0.96,16,1.19,16,1.19,19,1.41,20,1.48,19,1.41,16,1.19,59,4.37,10,0.74,2,0.15,3,0.22,3,0.22,3,0.22,2,0.15,0,0.0,49024
49,25,2607,21,0.81,12,0.46,11,0.42,17,0.65,201,7.71,194,7.44,199,7.63,192,7.36,194,7.44,194,7.44,188,7.21,171,6.56,7,0.27,3,0.12,7,0.27,3,0.12,6,0.23,41,1.57,42,1.61,43,1.65,47,1.8,58,2.22,41,1.57,49,1.88,87,3.34,13,0.5,1,0.04,6,0.23,4,0.15,4,0.15,9,0.35,1,0.04,49025
49,26,3094,33,1.07,24,0.78,24,0.78,28,0.9,229,7.4,225,7.27,232,7.5,224,7.24,216,6.98,205,6.63,196,6.33,188,6.08,10,0.32,8,0.26,9,0.29,4,0.13,3,0.1,43,1.39,37,1.2,35,1.13,43,1.39,45,1.45,29,0.94,41,1.33,123,3.98,18,0.58,2,0.06,5,0.16,6,0.19,3,0.1,3,0.1,1,0.03,49026
49,27,2589,26,1.0,14,0.54,8,0.31,26,1.0,219,8.46,211,8.15,213,8.23,205,7.92,206,7.96,201,7.76,198,7.65,187,7.22,10,0.39,10,0.39,11,0.42,7,0.27,8,0.31,31,1.2,26,1.0,20,0.77,21,0.81,26,1.0,14,0.54,24,0.93,86,3.32,10,0.39,2,0.08,6,0.23,9,0.35,6,0.23,7,0.27,1,0.04,49027
49,28,3733,29,0.78,28,0.75,17,0.46,34,0.91,315,8.44,293,7.85,312,8.36,298,7.98,291,7.8,287,7.69,277,7.42,260,6.96,5,0.13,4,0.11,6,0.16,5,0.13,3,0.08,53,1.42,56,1.5,46,1.23,62,1.66,71,1.9,51,1.37,63,1.69,110,2.95,13,0.35,5,0.13,5,0.13,6,0.16,7,0.19,8,0.21,5,0.13,49028
49,29,3189,20,0.63,16,0.5,9,0.28,23,0.72,242,7.59,236,7.4,236,7.4,226,7.09,232,7.28,219,6.87,208,6.52,204,6.4,10,0.31,10,0.31,11,0.34,8,0.25,6,0.19,43,1.35,51,1.6,38,1.19,49,1.54,50,1.57,42,1.32,55,1.72,132,4.14,17,0.53,1,0.03,5,0.16,9,0.28,3,0.09,7,0.22,3,0.09,49029
49,30,2257,14,0.62,9,0.4,8,0.35,24,1.06,167,7.4,160,7.09,169,7.49,168,7.44,162,7.18,159,7.04,158,7.0,142,6.29,6,0.27,5,0.22,6,0.27,6,0.27,1,0.04,30,1.33,27,1.2,25,1.11,32,1.42,31,1.37,30,1.33,30,1.33,91,4.03,13,0.58,5,0.22,8,0.35,4,0.18,5,0.22,9,0.4,6,0.27,49030
49,31,1877,20,1.07,13,0.69,10,0.53,18,0.96,120,6.39,113,6.02,121,6.45,111,5.91,109,5.81,107,5.7,108,5.75,97,5.17,5,0.27,2,0.11,6,0.32,5,0.27,4,0.21,24,1.28,21,1.12,18,0.96,21,1.12,19,1.01,18,0.96,14,0.75,104,5.54,24,1.28,7,0.37,6,0.32,12,0.64,3,0.16,5,0.27,3,0.16,49031
49,32,2224,25,1.12,13,0.58,10,0.45,15,0.67,153,6.88,138,6.21,152,6.83,145,6.52,139,6.25,139,6.25,138,6.21,119,5.35,13,0.58,10,0.45,11,0.49,6,0.27,7,0.31,35,1.57,35,1.57,33,1.48,30,1.35,33,1.48,35,1.57,35,1.57,95,4.27,11,0.49,2,0.09,6,0.27,7,0.31,5,0.22,8,0.36,3,0.13,49032
49,33,1671,20,1.2,17,1.02,10,0.6,17,1.02,111,6.64,109,6.52,116,6.94,103,6.16,102,6.1,99,5.92,97,5.8,84,5.03,5,0.3,6,0.36,5,0.3,6,0.36,5,0.3,20,1.2,18,1.08,22,1.32,27,1.62,35,2.09,24,1.44,29,1.74,75,4.49,10,0.6,1,0.06,5,0.3,1,0.06,2,0.12,6,0.36,4,0.24,49033
50,1,1623,18,1.11,8,0.49,14,0.86,22,1.36,68,4.19,65,4.0,69,4.25,64,3.94,63,3.88,59,3.64,60,3.7,58,3.57,10,0.62,10,0.62,14,0.86,10,0.62,10,0.62,15,0.92,10,0.62,12,0.74,13,0.8,11,0.68,16,0.99,12,0.74,124,7.64,22,1.36,9,0.55,11,0.68,9,0.55,12,0.74,13,0.8,7,0.43,50001
50,2,1001,9,0.9,5,0.5,5,0.5,10,1.0,62,6.19,60,5.99,63,6.29,60,5.99,56,5.59,57,5.69,55,5.49,49,4.9,2,0.2,4,0.4,2,0.2,4,0.4,4,0.4,8,0.8,6,0.6,10,1.0,12,1.2,10,1.0,8,0.8,10,1.0,58,5.79,13,1.3,4,0.4,2,0.2,4,0.4,3,0.3,3,0.3,2,0.2,50002
50,3,1497,20,1.34,13,0.87,10,0.67,14,0.94,52,3.47,50,3.34,55,3.67,49,3.27,46,3.07,52,3.47,42,2.81,42,2.81,4,0.27,1,0.07,5,0.33,1,0.07,3,0.2,16,1.07,14,0.94,12,0.8,20,1.34,16,1.07,14,0.94,18,1.2,128,8.55,25,1.67,8,0.53,15,1.0,7,0.47,4,0.27,11,0.73,9,0.6,50003
50,4,1696,28,1.65,20,1.18,17,1.0,25,1.47,81,4.78,76,4.48,75,4.42,83,4.89,75,4.42,71,4.19,80,4.72,66,3.89,5,0.29,7,0.41,6,0.35,8,0.47,9,0.53,11,0.65,11,0.65,14,0.83,14,0.83,14,0.83,11,0.65,9,0.53,118,6.96,25,1.47,4,0.24,12,0.71,12,0.71,4,0.24,5,0.29,5,0.29,50004
50,5,1009,15,1.49,9,0.89,11,1.09,15,1.49,38,3.77,37,3.67,38,3.77,39,3.87,34,3.37,36,3.57,33,3.27,32,3.17,3,0.3,5,0.5,7,0.69,5,0.5,4,0.4,14,1.39,7,0.69,6,0.59,10,0.99,6,0.59,4,0.4,8,0.79,78,7.73,17,1.68,9,0.89,9,0.89,10,0.99,5,0.5,5,0.5,8,0.79,50005
50,6,1717,12,0.7,5,0.29,8,0.47,14,0.82,93,5.42,83,4.83,87,5.07,86,5.01,82,4.78,82,4.78,82,4.78,80,4.66,7,0.41,4,0.23,3,0.17,6,0.35,6,0.35,26,1.51,21,1.22,12,0.7,19,1.11,17,0.99,17,0.99,18,1.05,116,6.76,24,1.4,4,0.23,7,0.41,11,0.64,10,0.58,12,0.7,4,0.23,50006
50,7,2389,40,1.67,29,1.21,21,0.88,32,1.34,108,4.52,105,4.4,116,4.86,113,4.73,106,4.44,103,4.31,110,4.6,99,4.14,8,0.33,5,0.21,8,0.33,6,0.25,5,0.21,29,1.21,18,0.75,27,1.13,29,1.21,31,1.3,17,0.71,23,0.96,152,6.36,36,1.51,5,0.21,5,0.21,17,0.71,11,0.46,17,0.71,11,0.46,50007
50,8,1522,19,1.25,14,0.92,11,0.72,16,1.05,110,7.23,100,6.57,106,6.96,97,6.37,97,6.37,91,5.98,93,6.11,85,5.58,5,0.33,3,0.2,6,0.39,3,0.2,4,0.26,11,0.72,10,0.66,15,0.99,17,1.12,17,1.12,13,0.85,18,1.18,73,4.8,10,0.66,3,0.2,2,0.13,3,0.2,3,0.2,4,0.26,1,0.07,50008
50,9,1323,10,0.76,8,0.6,10,0.76,20,1.51,78,5.9,74,5.59,78,5.9,78,5.9,78,5.9,76,5.74,73,5.52,66,4.99,5,0.38,5,0.38,5,0.38,2,0.15,0,0.0,21,1.59,10,0.76,14,1.06,11,0.83,11,0.83,11,0.83,13,0.98,81,6.12,16,1.21,4,0.3,3,0.23,8,0.6,10,0.76,9,0.68,9,0.68,50009
50,10,1282,12,0.94,4,0.31,8,0.62,15,1.17,82,6.4,73,5.69,79,6.16,78,6.08,77,6.01,78,6.08,74,5.77,66,5.15,8,0.62,8,0.62,9,0.7,9,0.7,7,0.55,10,0.78,10,0.78,11,0.86,9,0.7,13,1.01,7,0.55,9,0.7,70,5.46,16,1.25,4,0.31,4,0.31,6,0.47,6,0.47,9,0.7,7,0.55,50010
50,11,814,13,1.6,9,1.11,10,1.23,13,1.6,31,3.81,28,3.44,31,3.81,24,2.95,25,3.07,23,2.83,24,2.95,25,3.07,8,0.98,7,0.86,10,1.23,6,0.74,7,0.86,5,0.61,6,0.74,7,0.86,7,0.86,5,0.61,4,0.49,8,0.98,56,6.88,19,2.33,6,0.74,5,0.61,5,0.61,3,0.37,5,0.61,8,0.98,50011
50,12,575,2,0.35,1,0.17,1,0.17,3,0.52,17,2.96,16,2.78,20,3.48,19,3.3,17,2.96,19,3.3,19,3.3,18,3.13,5,0.87,2,0.35,5,0.87,4,0.7,2,0.35,9,1.57,9,1.57,7,1.22,6,1.04,6,1.04,7,1.22,9,1.57,48,8.35,11,1.91,1,0.17,4,0.7,2,0.35,4,0.7,4,0.7,2,0.35,50012
50,13,1567,15,0.96,15,0.96,7,0.45,11,0.7,128,8.17,127,8.1,129,8.23,127,8.1,120,7.66,121,7.72,120,7.66,106,6.76,6,0.38,4,0.26,6,0.38,6,0.38,3,0.19,11,0.7,12,0.77,15,0.96,20,1.28,18,1.15,16,1.02,16,1.02,52,3.32,7,0.45,4,0.26,2,0.13,4,0.26,8,0.51,4,0.26,2,0.13,50013
50,14,580,12,2.07,4,0.69,4,0.69,5,0.86,30,5.17,29,5.0,29,5.0,30,5.17,30,5.17,26,4.48,24,4.14,24,4.14,1,0.17,3,0.52,1,0.17,2,0.34,3,0.52,8,1.38,5,0.86,5,0.86,2,0.34,2,0.34,2,0.34,4,0.69,42,7.24,3,0.52,0,0.0,1,0.17,0,0.0,1,0.17,3,0.52,1,0.17,50014
50,15,2570,34,1.32,25,0.97,23,0.89,34,1.32,144,5.6,140,5.45,143,5.56,134,5.21,132,5.14,126,4.9,128,4.98,117,4.55,8,0.31,7,0.27,14,0.54,5,0.19,4,0.16,26,1.01,24,0.93,23,0.89,32,1.25,28,1.09,22,0.86,29,1.13,153,5.95,22,0.86,3,0.12,6,0.23,14,0.54,10,0.39,17,0.66,5,0.19,50015
50,16,503,6,1.19,4,0.8,5,0.99,8,1.59,18,3.58,16,3.18,15,2.98,17,3.38,16,3.18,14,2.78,13,2.58,13,2.58,0,0.0,3,0.6,1,0.2,1,0.2,2,0.4,6,1.19,3,0.6,2,0.4,3,0.6,3,0.6,3,0.6,4,0.8,47,9.34,7,1.39,4,0.8,4,0.8,4,0.8,3,0.6,5,0.99,4,0.8,50016
50,17,1226,24,1.96,16,1.31,15,1.22,17,1.39,84,6.85,81,6.61,79,6.44,77,6.28,76,6.2,68,5.55,72,5.87,65,5.3,5,0.41,3,0.24,4,0.33,1,0.08,2,0.16,7,0.57,6,0.49,12,0.98,9,0.73,11,0.9,7,0.57,7,0.57,61,4.98,12,0.98,3,0.24,7,0.57,4,0.33,4,0.33,3,0.24,2,0.16,50017
