ward,precinct,total,Brandon Johnson (Elizabeth Warren),Brandon Johnson (Elizabeth Warren) Percent,Jamie Brown (Elizabeth Warren),Jamie Brown (Elizabeth Warren) Percent,Frederick ''Fritz'' Kaegi (Elizabeth W,Frederick ''Fritz'' Kaegi (Elizabeth W Percent,Mony Ruiz Velasco (Elizabeth Warren),Mony Ruiz Velasco (Elizabeth Warren) Percent,Marlon D. Harris (Elizabeth Warren),Marlon D. Harris (Elizabeth Warren) Percent,Harlene Ellin (Elizabeth Warren),Harlene Ellin (Elizabeth Warren) Percent,Mihir Garud (Elizabeth Warren),Mihir Garud (Elizabeth Warren) Percent,Benetta Mansfield (Elizabeth Warren),Benetta Mansfield (Elizabeth Warren) Percent,Mary Ann Abbott (Andrew Yang),Mary Ann Abbott (Andrew Yang) Percent,Elizabeth Henricks (Andrew Yang),Elizabeth Henricks (Andrew Yang) Percent,Steven Dyme (Andrew Yang),Steven Dyme (Andrew Yang) Percent,Yvonne O'Connor (Andrew Yang),Yvonne O'Connor (Andrew Yang) Percent,Peter Wojda IV (Andrew Yang),Peter Wojda IV (Andrew Yang) Percent,Rudyard ''Rudy'' Urian (Andrew Yang),Rudyard ''Rudy'' Urian (Andrew Yang) Percent,Marty Castro (Pete Buttigieg),Marty Castro (Pete Buttigieg) Percent,Eric Davis (Pete Buttigieg),Eric Davis (Pete Buttigieg) Percent,Thomas Gary (Pete Buttigieg),Thomas Gary (Pete Buttigieg) Percent,Marla Izbicky (Pete Buttigieg),Marla Izbicky (Pete Buttigieg) Percent,Amalia Mahoney (Pete Buttigieg),Amalia Mahoney (Pete Buttigieg) Percent,Cristal Thomas Gary (Pete Buttigieg),Cristal Thomas Gary (Pete Buttigieg) Percent,Claudia Moreno-Nunez (Bernie Sanders),Claudia Moreno-Nunez (Bernie Sanders) Percent,Julie Lehrman (Bernie Sanders),Julie Lehrman (Bernie Sanders) Percent,Martese Luzette Chism (Bernie Sanders),Martese Luzette Chism (Bernie Sanders) Percent,Ojus Khanolkar (Bernie Sanders),Ojus Khanolkar (Bernie Sanders) Percent,Dominique Coronel (Bernie Sanders),Dominique Coronel (Bernie Sanders) Percent,Miguel Bautista (Bernie Sanders),Miguel Bautista (Bernie Sanders) Percent,Ronald Lawless (Bernie Sanders),Ronald Lawless (Bernie Sanders) Percent,Tim Thomas (Bernie Sanders),Tim Thomas (Bernie Sanders) Percent,Barton Moy (Amy J. Klobuchar),Barton Moy (Amy J. Klobuchar) Percent,Gail M. Silver (Amy J. Klobuchar),Gail M. Silver (Amy J. Klobuchar) Percent,Joan L. Long (Amy J. Klobuchar),Joan L. Long (Amy J. Klobuchar) Percent,Addison Woodward (Amy J. Klobuchar),Addison Woodward (Amy J. Klobuchar) Percent,Ann Henstrand (Amy J. Klobuchar),Ann Henstrand (Amy J. Klobuchar) Percent,Jennifer Vincent (Amy J. Klobuchar),Jennifer Vincent (Amy J. Klobuchar) Percent,Markayle Tolliver (Amy J. Klobuchar),Markayle Tolliver (Amy J. Klobuchar) Percent,Thomas A. (Tom) Ciavarella (Amy J. Klo,Thomas A. (Tom) Ciavarella (Amy J. Klo Percent,precinct_id
11,34,537,13,2.42,8,1.49,9,1.68,6,1.12,9,1.68,7,1.3,6,1.12,7,1.3,7,1.3,7,1.3,3,0.56,4,0.74,3,0.56,1,0.19,2,0.37,3,0.56,4,0.74,1,0.19,1,0.19,1,0.19,30,5.59,33,6.15,29,5.4,31,5.77,31,5.77,34,6.33,28,5.21,28,5.21,2,0.37,3,0.56,3,0.56,4,0.74,2,0.37,3,0.56,1,0.19,3,0.56,11034
11,35,381,11,2.89,8,2.1,8,2.1,6,1.57,5,1.31,8,2.1,6,1.57,8,2.1,7,1.84,9,2.36,5,1.31,6,1.57,5,1.31,4,1.05,2,0.52,0,0.0,0,0.0,1,0.26,0,0.0,0,0.0,10,2.62,6,1.57,5,1.31,6,1.57,5,1.31,8,2.1,4,1.05,3,0.79,0,0.0,0,0.0,2,0.52,0,0.0,0,0.0,1,0.26,0,0.0,1,0.26,11035
11,36,606,5,0.83,5,0.83,3,0.5,2,0.33,3,0.5,3,0.5,4,0.66,6,0.99,3,0.5,6,0.99,6,0.99,5,0.83,1,0.17,3,0.5,0,0.0,1,0.17,0,0.0,1,0.17,3,0.5,0,0.0,45,7.43,44,7.26,40,6.6,42,6.93,42,6.93,42,6.93,38,6.27,37,6.11,2,0.33,2,0.33,2,0.33,4,0.66,3,0.5,4,0.66,3,0.5,2,0.33,11036
11,37,427,6,1.41,4,0.94,3,0.7,3,0.7,1,0.23,3,0.7,2,0.47,2,0.47,5,1.17,4,0.94,3,0.7,7,1.64,4,0.94,3,0.7,1,0.23,3,0.7,1,0.23,1,0.23,1,0.23,0,0.0,27,6.32,27,6.32,20,4.68,21,4.92,21,4.92,23,5.39,19,4.45,18,4.22,4,0.94,1,0.23,0,0.0,3,0.7,2,0.47,3,0.7,2,0.47,2,0.47,11037
12,10,236,4,1.69,4,1.69,5,2.12,6,2.54,4,1.69,5,2.12,5,2.12,5,2.12,1,0.42,1,0.42,0,0.0,3,1.27,0,0.0,0,0.0,4,1.69,2,0.85,0,0.0,1,0.42,1,0.42,0,0.0,20,8.47,18,7.63,15,6.36,14,5.93,14,5.93,21,8.9,15,6.36,16,6.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.42,1,0.42,0,0.0,12010
12,15,417,2,0.48,6,1.44,4,0.96,7,1.68,4,0.96,2,0.48,0,0.0,1,0.24,4,0.96,3,0.72,1,0.24,4,0.96,1,0.24,2,0.48,3,0.72,4,0.96,2,0.48,4,0.96,1,0.24,3,0.72,34,8.15,27,6.47,28,6.71,29,6.95,30,7.19,30,7.19,25,6.0,25,6.0,1,0.24,0,0.0,2,0.48,0,0.0,0,0.0,1,0.24,0,0.0,1,0.24,12015
12,18,567,7,1.23,5,0.88,2,0.35,9,1.59,3,0.53,3,0.53,2,0.35,3,0.53,2,0.35,1,0.18,1,0.18,0,0.0,0,0.0,0,0.0,1,0.18,0,0.0,0,0.0,0,0.0,2,0.35,0,0.0,62,10.93,57,10.05,55,9.7,56,9.88,56,9.88,61,10.76,53,9.35,52,9.17,1,0.18,2,0.35,1,0.18,2,0.35,1,0.18,3,0.53,1,0.18,1,0.18,12018
15,2,746,17,2.28,10,1.34,5,0.67,5,0.67,10,1.34,8,1.07,7,0.94,11,1.47,4,0.54,2,0.27,3,0.4,2,0.27,5,0.67,4,0.54,0,0.0,2,0.27,1,0.13,1,0.13,0,0.0,1,0.13,28,3.75,26,3.49,22,2.95,22,2.95,29,3.89,30,4.02,27,3.62,30,4.02,0,0.0,1,0.13,1,0.13,2,0.27,1,0.13,0,0.0,1,0.13,1,0.13,15002
15,3,834,13,1.56,8,0.96,2,0.24,5,0.6,9,1.08,4,0.48,4,0.48,7,0.84,5,0.6,2,0.24,2,0.24,5,0.6,1,0.12,2,0.24,0,0.0,5,0.6,4,0.48,0,0.0,2,0.24,1,0.12,33,3.96,25,3.0,19,2.28,20,2.4,26,3.12,25,3.0,22,2.64,18,2.16,0,0.0,2,0.24,0,0.0,0,0.0,1,0.12,1,0.12,1,0.12,1,0.12,15003
15,7,663,12,1.81,9,1.36,5,0.75,5,0.75,9,1.36,7,1.06,3,0.45,6,0.9,5,0.75,8,1.21,2,0.3,1,0.15,1,0.15,2,0.3,1,0.15,5,0.75,0,0.0,0,0.0,0,0.0,4,0.6,19,2.87,16,2.41,20,3.02,20,3.02,23,3.47,19,2.87,17,2.56,17,2.56,1,0.15,3,0.45,1,0.15,2,0.3,2,0.3,3,0.45,1,0.15,2,0.3,15007
15,13,175,2,1.14,1,0.57,1,0.57,2,1.14,1,0.57,1,0.57,1,0.57,3,1.71,0,0.0,1,0.57,1,0.57,0,0.0,0,0.0,1,0.57,2,1.14,1,0.57,0,0.0,1,0.57,1,0.57,0,0.0,21,12.0,15,8.57,16,9.14,13,7.43,15,8.57,20,11.43,15,8.57,13,7.43,0,0.0,2,1.14,0,0.0,0,0.0,0,0.0,1,0.57,0,0.0,2,1.14,15013
15,14,95,0,0.0,2,2.11,1,1.05,4,4.21,0,0.0,1,1.05,0,0.0,1,1.05,1,1.05,1,1.05,0,0.0,1,1.05,0,0.0,1,1.05,2,2.11,0,0.0,1,1.05,0,0.0,0,0.0,1,1.05,12,12.63,9,9.47,8,8.42,7,7.37,7,7.37,10,10.53,7,7.37,7,7.37,1,1.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15014
15,16,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15016
15,17,825,26,3.15,15,1.82,8,0.97,8,0.97,14,1.7,11,1.33,11,1.33,5,0.61,10,1.21,10,1.21,4,0.48,5,0.61,3,0.36,1,0.12,2,0.24,5,0.61,2,0.24,0,0.0,4,0.48,1,0.12,26,3.15,26,3.15,12,1.45,19,2.3,23,2.79,18,2.18,17,2.06,14,1.7,0,0.0,0,0.0,2,0.24,1,0.12,1,0.12,2,0.24,2,0.24,1,0.12,15017
15,18,621,14,2.25,11,1.77,6,0.97,3,0.48,11,1.77,4,0.64,3,0.48,7,1.13,5,0.81,7,1.13,1,0.16,2,0.32,2,0.32,1,0.16,2,0.32,4,0.64,0,0.0,0,0.0,2,0.32,4,0.64,24,3.86,28,4.51,22,3.54,18,2.9,20,3.22,18,2.9,19,3.06,18,2.9,0,0.0,3,0.48,2,0.32,0,0.0,1,0.16,2,0.32,0,0.0,1,0.16,15018
15,20,794,14,1.76,12,1.51,8,1.01,8,1.01,10,1.26,11,1.39,6,0.76,9,1.13,4,0.5,6,0.76,3,0.38,1,0.13,0,0.0,2,0.25,0,0.0,3,0.38,4,0.5,0,0.0,0,0.0,2,0.25,23,2.9,22,2.77,24,3.02,23,2.9,24,3.02,20,2.52,19,2.39,24,3.02,1,0.13,2,0.25,0,0.0,0,0.0,1,0.13,1,0.13,0,0.0,0,0.0,15020
15,21,723,18,2.49,16,2.21,9,1.24,6,0.83,13,1.8,8,1.11,6,0.83,4,0.55,6,0.83,2,0.28,4,0.55,7,0.97,1,0.14,2,0.28,1,0.14,2,0.28,2,0.28,3,0.41,0,0.0,0,0.0,19,2.63,19,2.63,11,1.52,9,1.24,17,2.35,17,2.35,11,1.52,10,1.38,1,0.14,4,0.55,4,0.55,3,0.41,1,0.14,3,0.41,2,0.28,3,0.41,15021
15,22,733,14,1.91,8,1.09,5,0.68,9,1.23,11,1.5,8,1.09,7,0.95,9,1.23,5,0.68,8,1.09,2,0.27,7,0.95,2,0.27,1,0.14,2,0.27,6,0.82,6,0.82,1,0.14,2,0.27,6,0.82,29,3.96,19,2.59,24,3.27,19,2.59,28,3.82,16,2.18,19,2.59,21,2.86,3,0.41,0,0.0,7,0.95,1,0.14,2,0.27,0,0.0,2,0.27,3,0.41,15022
15,23,756,19,2.51,9,1.19,6,0.79,5,0.66,7,0.93,8,1.06,7,0.93,5,0.66,9,1.19,6,0.79,5,0.66,4,0.53,4,0.53,3,0.4,1,0.13,4,0.53,3,0.4,4,0.53,4,0.53,3,0.4,23,3.04,20,2.65,19,2.51,18,2.38,21,2.78,20,2.65,17,2.25,16,2.12,2,0.26,0,0.0,4,0.53,0,0.0,2,0.26,3,0.4,2,0.26,2,0.26,15023
15,24,622,9,1.45,12,1.93,6,0.96,2,0.32,3,0.48,2,0.32,4,0.64,6,0.96,5,0.8,3,0.48,0,0.0,7,1.13,2,0.32,1,0.16,0,0.0,2,0.32,2,0.32,3,0.48,1,0.16,3,0.48,20,3.22,20,3.22,14,2.25,17,2.73,18,2.89,16,2.57,21,3.38,18,2.89,2,0.32,2,0.32,2,0.32,3,0.48,2,0.32,6,0.96,2,0.32,2,0.32,15024
16,2,1060,18,1.7,16,1.51,10,0.94,14,1.32,17,1.6,10,0.94,16,1.51,9,0.85,10,0.94,8,0.75,1,0.09,6,0.57,2,0.19,4,0.38,4,0.38,5,0.47,1,0.09,5,0.47,3,0.28,4,0.38,67,6.32,57,5.38,48,4.53,42,3.96,56,5.28,46,4.34,41,3.87,41,3.87,1,0.09,1,0.09,1,0.09,1,0.09,0,0.0,3,0.28,3,0.28,0,0.0,16002
16,3,809,17,2.1,16,1.98,7,0.87,4,0.49,10,1.24,2,0.25,5,0.62,12,1.48,8,0.99,5,0.62,3,0.37,2,0.25,2,0.25,1,0.12,2,0.25,4,0.49,0,0.0,0,0.0,1,0.12,1,0.12,26,3.21,27,3.34,20,2.47,17,2.1,29,3.58,25,3.09,22,2.72,19,2.35,2,0.25,2,0.25,1,0.12,1,0.12,1,0.12,3,0.37,0,0.0,2,0.25,16003
16,4,920,15,1.63,15,1.63,10,1.09,5,0.54,5,0.54,7,0.76,3,0.33,9,0.98,7,0.76,2,0.22,7,0.76,3,0.33,1,0.11,1,0.11,3,0.33,5,0.54,3,0.33,2,0.22,1,0.11,2,0.22,41,4.46,31,3.37,34,3.7,29,3.15,37,4.02,33,3.59,29,3.15,26,2.83,1,0.11,2,0.22,0,0.0,3,0.33,2,0.22,1,0.11,0,0.0,0,0.0,16004
16,5,673,18,2.67,11,1.63,14,2.08,5,0.74,11,1.63,12,1.78,4,0.59,9,1.34,6,0.89,3,0.45,6,0.89,4,0.59,2,0.3,3,0.45,4,0.59,2,0.3,4,0.59,0,0.0,2,0.3,2,0.3,27,4.01,26,3.86,22,3.27,24,3.57,23,3.42,19,2.82,24,3.57,23,3.42,0,0.0,2,0.3,1,0.15,3,0.45,0,0.0,5,0.74,2,0.3,2,0.3,16005
16,6,1020,16,1.57,18,1.76,9,0.88,7,0.69,12,1.18,7,0.69,5,0.49,5,0.49,4,0.39,2,0.2,2,0.2,3,0.29,2,0.2,2,0.2,2,0.2,3,0.29,2,0.2,1,0.1,3,0.29,3,0.29,39,3.82,40,3.92,36,3.53,29,2.84,38,3.73,32,3.14,26,2.55,29,2.84,4,0.39,2,0.2,1,0.1,2,0.2,0,0.0,2,0.2,0,0.0,4,0.39,16006
16,7,892,10,1.12,11,1.23,13,1.46,10,1.12,9,1.01,9,1.01,7,0.78,7,0.78,5,0.56,7,0.78,2,0.22,0,0.0,1,0.11,0,0.0,1,0.11,0,0.0,2,0.22,0,0.0,1,0.11,0,0.0,48,5.38,42,4.71,38,4.26,37,4.15,40,4.48,42,4.71,33,3.7,32,3.59,1,0.11,3,0.34,1,0.11,1,0.11,0,0.0,0,0.0,0,0.0,0,0.0,16007
16,8,481,3,0.62,9,1.87,2,0.42,3,0.62,2,0.42,2,0.42,1,0.21,2,0.42,3,0.62,2,0.42,0,0.0,1,0.21,0,0.0,2,0.42,2,0.42,1,0.21,3,0.62,0,0.0,1,0.21,1,0.21,24,4.99,22,4.57,21,4.37,17,3.53,24,4.99,22,4.57,22,4.57,19,3.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.21,0,0.0,0,0.0,16008
16,9,33,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,1,3.03,0,0.0,2,6.06,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.09,3,9.09,3,9.09,2,6.06,3,9.09,4,12.12,3,9.09,3,9.09,0,0.0,1,3.03,0,0.0,0,0.0,1,3.03,0,0.0,0,0.0,0,0.0,16009
16,10,852,17,2.0,18,2.11,13,1.53,6,0.7,10,1.17,9,1.06,7,0.82,7,0.82,9,1.06,7,0.82,4,0.47,3,0.35,4,0.47,3,0.35,2,0.23,4,0.47,7,0.82,2,0.23,4,0.47,6,0.7,33,3.87,27,3.17,19,2.23,22,2.58,24,2.82,23,2.7,26,3.05,24,2.82,2,0.23,1,0.12,0,0.0,4,0.47,1,0.12,1,0.12,1,0.12,3,0.35,16010
16,11,973,18,1.85,14,1.44,4,0.41,13,1.34,10,1.03,11,1.13,4,0.41,12,1.23,5,0.51,7,0.72,10,1.03,3,0.31,3,0.31,3,0.31,7,0.72,7,0.72,5,0.51,2,0.21,5,0.51,2,0.21,47,4.83,38,3.91,39,4.01,39,4.01,46,4.73,51,5.24,36,3.7,40,4.11,3,0.31,2,0.21,3,0.31,2,0.21,0,0.0,6,0.62,1,0.1,3,0.31,16011
16,12,778,17,2.19,12,1.54,11,1.41,10,1.29,10,1.29,8,1.03,4,0.51,7,0.9,4,0.51,5,0.64,6,0.77,4,0.51,1,0.13,4,0.51,3,0.39,4,0.51,4,0.51,2,0.26,1,0.13,0,0.0,32,4.11,26,3.34,33,4.24,31,3.98,33,4.24,34,4.37,25,3.21,24,3.08,1,0.13,2,0.26,3,0.39,1,0.13,1,0.13,2,0.26,2,0.26,1,0.13,16012
16,13,907,13,1.43,11,1.21,8,0.88,13,1.43,9,0.99,4,0.44,2,0.22,5,0.55,3,0.33,6,0.66,4,0.44,3,0.33,1,0.11,3,0.33,10,1.1,7,0.77,5,0.55,8,0.88,7,0.77,4,0.44,74,8.16,52,5.73,48,5.29,52,5.73,51,5.62,68,7.5,53,5.84,54,5.95,1,0.11,1,0.11,3,0.33,2,0.22,0,0.0,3,0.33,2,0.22,0,0.0,16013
16,14,676,9,1.33,15,2.22,7,1.04,3,0.44,11,1.63,6,0.89,4,0.59,7,1.04,4,0.59,2,0.3,1,0.15,7,1.04,0,0.0,2,0.3,5,0.74,4,0.59,2,0.3,3,0.44,1,0.15,2,0.3,30,4.44,28,4.14,24,3.55,18,2.66,22,3.25,18,2.66,22,3.25,21,3.11,1,0.15,2,0.3,2,0.3,0,0.0,0,0.0,0,0.0,1,0.15,1,0.15,16014
16,15,1005,24,2.39,22,2.19,9,0.9,6,0.6,18,1.79,10,1.0,6,0.6,10,1.0,13,1.29,8,0.8,5,0.5,1,0.1,2,0.2,1,0.1,4,0.4,2,0.2,3,0.3,1,0.1,2,0.2,3,0.3,29,2.89,22,2.19,23,2.29,16,1.59,23,2.29,24,2.39,23,2.29,19,1.89,1,0.1,2,0.2,1,0.1,1,0.1,2,0.2,1,0.1,1,0.1,0,0.0,16015
16,16,782,17,2.17,9,1.15,9,1.15,8,1.02,10,1.28,7,0.9,4,0.51,7,0.9,5,0.64,3,0.38,1,0.13,2,0.26,3,0.38,3,0.38,1,0.13,2,0.26,1,0.13,2,0.26,1,0.13,2,0.26,25,3.2,25,3.2,21,2.69,17,2.17,21,2.69,20,2.56,24,3.07,20,2.56,1,0.13,0,0.0,3,0.38,0,0.0,0,0.0,0,0.0,1,0.13,0,0.0,16016
16,17,1020,14,1.37,15,1.47,8,0.78,12,1.18,10,0.98,12,1.18,7,0.69,6,0.59,10,0.98,7,0.69,9,0.88,6,0.59,3,0.29,7,0.69,5,0.49,7,0.69,3,0.29,5,0.49,3,0.29,6,0.59,68,6.67,53,5.2,52,5.1,52,5.1,55,5.39,61,5.98,42,4.12,38,3.73,2,0.2,2,0.2,2,0.2,2,0.2,3,0.29,4,0.39,0,0.0,3,0.29,16017
16,18,728,13,1.79,8,1.1,4,0.55,8,1.1,8,1.1,5,0.69,6,0.82,4,0.55,4,0.55,2,0.27,0,0.0,3,0.41,1,0.14,0,0.0,4,0.55,3,0.41,0,0.0,1,0.14,0,0.0,1,0.14,48,6.59,42,5.77,36,4.95,29,3.98,40,5.49,41,5.63,29,3.98,25,3.43,1,0.14,0,0.0,1,0.14,1,0.14,1,0.14,0,0.0,0,0.0,0,0.0,16018
16,19,1003,23,2.29,14,1.4,13,1.3,13,1.3,13,1.3,8,0.8,7,0.7,7,0.7,8,0.8,5,0.5,3,0.3,5,0.5,1,0.1,3,0.3,7,0.7,6,0.6,2,0.2,2,0.2,3,0.3,4,0.4,57,5.68,50,4.99,43,4.29,43,4.29,57,5.68,51,5.08,37,3.69,36,3.59,1,0.1,4,0.4,3,0.3,3,0.3,0,0.0,4,0.4,2,0.2,1,0.1,16019
16,20,705,16,2.27,15,2.13,8,1.13,7,0.99,12,1.7,6,0.85,5,0.71,13,1.84,7,0.99,7,0.99,1,0.14,8,1.13,1,0.14,0,0.0,2,0.28,8,1.13,1,0.14,1,0.14,2,0.28,2,0.28,24,3.4,23,3.26,18,2.55,11,1.56,21,2.98,16,2.27,12,1.7,14,1.99,4,0.57,3,0.43,1,0.14,0,0.0,1,0.14,1,0.14,2,0.28,3,0.43,16020
16,21,777,13,1.67,10,1.29,4,0.51,5,0.64,6,0.77,8,1.03,6,0.77,3,0.39,6,0.77,2,0.26,2,0.26,4,0.51,0,0.0,1,0.13,1,0.13,1,0.13,5,0.64,2,0.26,1,0.13,1,0.13,35,4.5,32,4.12,28,3.6,28,3.6,30,3.86,30,3.86,24,3.09,22,2.83,3,0.39,3,0.39,2,0.26,3,0.39,1,0.13,1,0.13,1,0.13,3,0.39,16021
16,22,784,9,1.15,12,1.53,7,0.89,8,1.02,10,1.28,9,1.15,2,0.26,11,1.4,5,0.64,6,0.77,1,0.13,3,0.38,1,0.13,3,0.38,1,0.13,4,0.51,3,0.38,2,0.26,3,0.38,3,0.38,30,3.83,27,3.44,24,3.06,19,2.42,30,3.83,31,3.95,19,2.42,20,2.55,1,0.13,1,0.13,2,0.26,1,0.13,2,0.26,2,0.26,0,0.0,0,0.0,16022
16,23,33,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.06,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16023
16,24,532,11,2.07,8,1.5,6,1.13,3,0.56,6,1.13,6,1.13,5,0.94,4,0.75,2,0.38,3,0.56,2,0.38,3,0.56,1,0.19,2,0.38,0,0.0,2,0.38,1,0.19,1,0.19,0,0.0,1,0.19,15,2.82,21,3.95,16,3.01,16,3.01,14,2.63,14,2.63,14,2.63,18,3.38,3,0.56,5,0.94,1,0.19,2,0.38,1,0.19,2,0.38,3,0.56,0,0.0,16024
16,25,1021,26,2.55,15,1.47,12,1.18,12,1.18,17,1.67,9,0.88,5,0.49,12,1.18,10,0.98,12,1.18,9,0.88,9,0.88,1,0.1,3,0.29,4,0.39,7,0.69,6,0.59,5,0.49,5,0.49,3,0.29,34,3.33,30,2.94,25,2.45,23,2.25,33,3.23,24,2.35,32,3.13,21,2.06,3,0.29,1,0.1,5,0.49,3,0.29,3,0.29,4,0.39,1,0.1,3,0.29,16025
16,26,708,10,1.41,11,1.55,7,0.99,8,1.13,7,0.99,2,0.28,2,0.28,6,0.85,6,0.85,6,0.85,2,0.28,6,0.85,1,0.14,1,0.14,3,0.42,3,0.42,3,0.42,2,0.28,0,0.0,1,0.14,28,3.95,25,3.53,25,3.53,18,2.54,22,3.11,20,2.82,21,2.97,16,2.26,0,0.0,4,0.56,1,0.14,2,0.28,0,0.0,2,0.28,0,0.0,0,0.0,16026
16,27,457,8,1.75,6,1.31,3,0.66,3,0.66,4,0.88,1,0.22,1,0.22,1,0.22,2,0.44,2,0.44,1,0.22,1,0.22,1,0.22,1,0.22,2,0.44,1,0.22,0,0.0,1,0.22,2,0.44,1,0.22,20,4.38,20,4.38,17,3.72,18,3.94,21,4.6,18,3.94,15,3.28,16,3.5,0,0.0,1,0.22,0,0.0,0,0.0,1,0.22,2,0.44,2,0.44,2,0.44,16027
16,29,687,14,2.04,8,1.16,9,1.31,7,1.02,9,1.31,7,1.02,6,0.87,6,0.87,3,0.44,1,0.15,1,0.15,2,0.29,1,0.15,0,0.0,1,0.15,1,0.15,1,0.15,0,0.0,2,0.29,0,0.0,23,3.35,24,3.49,23,3.35,24,3.49,26,3.78,23,3.35,24,3.49,22,3.2,0,0.0,0,0.0,0,0.0,1,0.15,1,0.15,0,0.0,1,0.15,3,0.44,16029
16,31,851,20,2.35,18,2.12,12,1.41,9,1.06,15,1.76,9,1.06,9,1.06,5,0.59,3,0.35,6,0.71,2,0.24,5,0.59,0,0.0,2,0.24,4,0.47,5,0.59,2,0.24,1,0.12,5,0.59,3,0.35,33,3.88,28,3.29,27,3.17,23,2.7,28,3.29,22,2.59,23,2.7,25,2.94,1,0.12,3,0.35,3,0.35,0,0.0,2,0.24,1,0.12,2,0.24,3,0.35,16031
16,33,644,12,1.86,11,1.71,5,0.78,6,0.93,9,1.4,3,0.47,2,0.31,9,1.4,3,0.47,5,0.78,1,0.16,4,0.62,0,0.0,2,0.31,3,0.47,1,0.16,1,0.16,1,0.16,1,0.16,0,0.0,32,4.97,19,2.95,24,3.73,22,3.42,26,4.04,23,3.57,20,3.11,21,3.26,0,0.0,1,0.16,1,0.16,1,0.16,1,0.16,3,0.47,1,0.16,1,0.16,16033
16,34,685,13,1.9,12,1.75,2,0.29,4,0.58,10,1.46,12,1.75,5,0.73,11,1.61,8,1.17,6,0.88,1,0.15,4,0.58,1,0.15,1,0.15,2,0.29,2,0.29,2,0.29,1,0.15,1,0.15,2,0.29,20,2.92,19,2.77,21,3.07,20,2.92,25,3.65,20,2.92,14,2.04,13,1.9,0,0.0,1,0.15,1,0.15,2,0.29,0,0.0,2,0.29,1,0.15,0,0.0,16034
16,35,896,8,0.89,4,0.45,3,0.33,17,1.9,4,0.45,1,0.11,2,0.22,5,0.56,7,0.78,5,0.56,1,0.11,5,0.56,1,0.11,4,0.45,6,0.67,2,0.22,0,0.0,4,0.45,6,0.67,2,0.22,81,9.04,62,6.92,61,6.81,54,6.03,62,6.92,71,7.92,57,6.36,56,6.25,1,0.11,2,0.22,2,0.22,1,0.11,1,0.11,5,0.56,0,0.0,2,0.22,16035
16,36,631,12,1.9,11,1.74,10,1.58,7,1.11,8,1.27,8,1.27,4,0.63,10,1.58,2,0.32,3,0.48,4,0.63,1,0.16,0,0.0,0,0.0,2,0.32,1,0.16,2,0.32,1,0.16,3,0.48,0,0.0,34,5.39,29,4.6,24,3.8,23,3.65,29,4.6,27,4.28,23,3.65,19,3.01,0,0.0,4,0.63,1,0.16,0,0.0,0,0.0,2,0.32,1,0.16,0,0.0,16036
17,6,258,1,0.39,3,1.16,1,0.39,1,0.39,4,1.55,1,0.39,1,0.39,3,1.16,4,1.55,1,0.39,2,0.78,0,0.0,0,0.0,0,0.0,1,0.39,2,0.78,0,0.0,0,0.0,0,0.0,1,0.39,13,5.04,11,4.26,9,3.49,10,3.88,11,4.26,10,3.88,9,3.49,11,4.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17006
17,7,1130,17,1.5,17,1.5,11,0.97,22,1.95,9,0.8,7,0.62,9,0.8,10,0.88,6,0.53,3,0.27,5,0.44,8,0.71,3,0.27,1,0.09,9,0.8,5,0.44,4,0.35,3,0.27,5,0.44,7,0.62,71,6.28,59,5.22,50,4.42,51,4.51,58,5.13,70,6.19,52,4.6,48,4.25,1,0.09,1,0.09,2,0.18,1,0.09,2,0.18,8,0.71,1,0.09,4,0.35,17007
17,8,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17008
