ward,precinct,total,Sophia Olazaba (Elizabeth Warren),Sophia Olazaba (Elizabeth Warren) Percent,Will Guzzardi (Elizabeth Warren),Will Guzzardi (Elizabeth Warren) Percent,Venu Gupta (Elizabeth Warren),Venu Gupta (Elizabeth Warren) Percent,Omar Aquino (Elizabeth Warren),Omar Aquino (Elizabeth Warren) Percent,Abby Witt (Elizabeth Warren),Abby Witt (Elizabeth Warren) Percent,Alma Anaya (Bernie Sanders),Alma Anaya (Bernie Sanders) Percent,Melissa Rubio (Bernie Sanders),Melissa Rubio (Bernie Sanders) Percent,Shana East (Bernie Sanders),Shana East (Bernie Sanders) Percent,Byron Sigcho-Lopez (Bernie Sanders),Byron Sigcho-Lopez (Bernie Sanders) Percent,Colin Bird-Martinez (Bernie Sanders),Colin Bird-Martinez (Bernie Sanders) Percent,"Jesus Ayala, Jr. (Andrew Yang)","Jesus Ayala, Jr. (Andrew Yang) Percent",Melissa Strube (Andrew Yang),Melissa Strube (Andrew Yang) Percent,Peter Gariepy (Pete Buttigieg),Peter Gariepy (Pete Buttigieg) Percent,precinct_id
35,19,668,15,2.25,6,0.9,9,1.35,13,1.95,6,0.9,105,15.72,109,16.32,81,12.13,85,12.72,82,12.28,11,1.65,3,0.45,2,0.3,35019
35,20,1102,34,3.09,16,1.45,18,1.63,17,1.54,24,2.18,155,14.07,148,13.43,124,11.25,129,11.71,120,10.89,16,1.45,6,0.54,16,1.45,35020
35,21,1182,44,3.72,30,2.54,24,2.03,42,3.55,27,2.28,160,13.54,165,13.96,133,11.25,132,11.17,123,10.41,20,1.69,5,0.42,13,1.1,35021
35,22,1493,34,2.28,26,1.74,19,1.27,22,1.47,31,2.08,203,13.6,204,13.66,179,11.99,175,11.72,165,11.05,9,0.6,7,0.47,22,1.47,35022
35,23,1252,41,3.27,19,1.52,14,1.12,25,2.0,26,2.08,162,12.94,165,13.18,139,11.1,127,10.14,125,9.98,21,1.68,15,1.2,27,2.16,35023
35,24,1069,32,2.99,18,1.68,14,1.31,18,1.68,18,1.68,153,14.31,143,13.38,125,11.69,129,12.07,123,11.51,23,2.15,10,0.94,17,1.59,35024
35,25,1298,34,2.62,43,3.31,26,2.0,24,1.85,33,2.54,191,14.71,190,14.64,179,13.79,171,13.17,169,13.02,8,0.62,5,0.39,14,1.08,35025
35,26,1061,13,1.23,8,0.75,9,0.85,16,1.51,11,1.04,147,13.85,153,14.42,129,12.16,127,11.97,122,11.5,11,1.04,5,0.47,22,2.07,35026
35,27,1125,29,2.58,19,1.69,17,1.51,19,1.69,29,2.58,131,11.64,123,10.93,117,10.4,126,11.2,111,9.87,10,0.89,9,0.8,23,2.04,35027
35,28,1294,35,2.7,51,3.94,28,2.16,26,2.01,23,1.78,180,13.91,168,12.98,158,12.21,152,11.75,139,10.74,11,0.85,4,0.31,18,1.39,35028
35,29,973,23,2.36,15,1.54,11,1.13,19,1.95,13,1.34,139,14.29,141,14.49,110,11.31,115,11.82,117,12.02,16,1.64,10,1.03,11,1.13,35029
35,30,874,27,3.09,16,1.83,22,2.52,25,2.86,19,2.17,93,10.64,99,11.33,75,8.58,79,9.04,74,8.47,13,1.49,9,1.03,12,1.37,35030
35,31,1173,42,3.58,30,2.56,23,1.96,26,2.22,31,2.64,145,12.36,143,12.19,129,11.0,122,10.4,119,10.14,8,0.68,7,0.6,17,1.45,35031
36,1,696,21,3.02,10,1.44,10,1.44,40,5.75,11,1.58,70,10.06,77,11.06,50,7.18,54,7.76,52,7.47,10,1.44,6,0.86,9,1.29,36001
36,2,991,18,1.82,11,1.11,8,0.81,34,3.43,15,1.51,128,12.92,130,13.12,97,9.79,107,10.8,98,9.89,25,2.52,13,1.31,12,1.21,36002
36,3,753,15,1.99,10,1.33,8,1.06,24,3.19,17,2.26,99,13.15,95,12.62,81,10.76,78,10.36,77,10.23,5,0.66,6,0.8,9,1.2,36003
36,4,726,15,2.07,6,0.83,2,0.28,27,3.72,15,2.07,89,12.26,88,12.12,73,10.06,72,9.92,71,9.78,11,1.52,5,0.69,9,1.24,36004
36,6,584,12,2.05,11,1.88,5,0.86,33,5.65,7,1.2,78,13.36,78,13.36,55,9.42,56,9.59,53,9.08,10,1.71,4,0.68,5,0.86,36006
36,8,668,5,0.75,7,1.05,5,0.75,30,4.49,11,1.65,91,13.62,97,14.52,74,11.08,78,11.68,76,11.38,17,2.54,5,0.75,2,0.3,36008
36,9,701,15,2.14,9,1.28,9,1.28,22,3.14,8,1.14,110,15.69,103,14.69,80,11.41,81,11.55,77,10.98,7,1.0,6,0.86,6,0.86,36009
36,10,963,16,1.66,13,1.35,8,0.83,36,3.74,8,0.83,116,12.05,122,12.67,100,10.38,101,10.49,97,10.07,13,1.35,3,0.31,16,1.66,36010
36,11,469,8,1.71,4,0.85,0,0.0,21,4.48,5,1.07,65,13.86,61,13.01,47,10.02,51,10.87,43,9.17,12,2.56,7,1.49,5,1.07,36011
36,12,452,10,2.21,5,1.11,4,0.88,23,5.09,6,1.33,60,13.27,66,14.6,47,10.4,47,10.4,46,10.18,10,2.21,3,0.66,3,0.66,36012
36,13,476,9,1.89,4,0.84,1,0.21,32,6.72,4,0.84,58,12.18,57,11.97,38,7.98,44,9.24,39,8.19,12,2.52,5,1.05,4,0.84,36013
36,16,174,4,2.3,5,2.87,3,1.72,6,3.45,4,2.3,21,12.07,19,10.92,17,9.77,19,10.92,16,9.2,4,2.3,2,1.15,2,1.15,36016
36,19,922,28,3.04,8,0.87,9,0.98,42,4.56,16,1.74,108,11.71,110,11.93,83,9.0,85,9.22,76,8.24,9,0.98,6,0.65,18,1.95,36019
36,20,462,7,1.52,10,2.16,6,1.3,4,0.87,5,1.08,52,11.26,53,11.47,45,9.74,46,9.96,43,9.31,5,1.08,1,0.22,10,2.16,36020
36,21,462,11,2.38,7,1.52,5,1.08,21,4.55,9,1.95,61,13.2,60,12.99,43,9.31,46,9.96,47,10.17,16,3.46,3,0.65,8,1.73,36021
36,22,571,12,2.1,3,0.53,5,0.88,27,4.73,2,0.35,82,14.36,80,14.01,59,10.33,63,11.03,57,9.98,8,1.4,2,0.35,5,0.88,36022
36,23,584,7,1.2,4,0.68,4,0.68,32,5.48,5,0.86,89,15.24,82,14.04,71,12.16,70,11.99,64,10.96,14,2.4,4,0.68,3,0.51,36023
36,24,105,2,1.9,1,0.95,0,0.0,3,2.86,1,0.95,15,14.29,18,17.14,9,8.57,10,9.52,8,7.62,3,2.86,1,0.95,1,0.95,36024
36,25,679,16,2.36,7,1.03,7,1.03,37,5.45,10,1.47,101,14.87,111,16.35,74,10.9,83,12.22,83,12.22,13,1.91,4,0.59,5,0.74,36025
36,27,701,8,1.14,6,0.86,2,0.29,22,3.14,12,1.71,83,11.84,86,12.27,64,9.13,64,9.13,61,8.7,5,0.71,3,0.43,6,0.86,36027
36,29,484,11,2.27,5,1.03,4,0.83,14,2.89,12,2.48,49,10.12,38,7.85,40,8.26,37,7.64,32,6.61,14,2.89,4,0.83,7,1.45,36029
37,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37026
38,1,837,23,2.75,14,1.67,10,1.19,11,1.31,20,2.39,84,10.04,93,11.11,79,9.44,80,9.56,74,8.84,10,1.19,5,0.6,17,2.03,38001
38,35,779,17,2.18,38,4.88,6,0.77,21,2.7,13,1.67,90,11.55,93,11.94,71,9.11,65,8.34,61,7.83,10,1.28,6,0.77,11,1.41,38035
38,41,1124,29,2.58,25,2.22,17,1.51,18,1.6,28,2.49,116,10.32,111,9.88,105,9.34,99,8.81,93,8.27,12,1.07,16,1.42,20,1.78,38041
39,6,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39006
39,12,627,19,3.03,11,1.75,8,1.28,16,2.55,15,2.39,88,14.04,83,13.24,75,11.96,75,11.96,67,10.69,5,0.8,3,0.48,10,1.59,39012
39,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39025
39,28,830,25,3.01,18,2.17,16,1.93,22,2.65,25,3.01,97,11.69,97,11.69,82,9.88,81,9.76,72,8.67,7,0.84,4,0.48,15,1.81,39028
39,31,892,16,1.79,8,0.9,9,1.01,9,1.01,13,1.46,103,11.55,110,12.33,91,10.2,87,9.75,84,9.42,8,0.9,6,0.67,19,2.13,39031
45,1,1083,35,3.23,20,1.85,23,2.12,21,1.94,29,2.68,130,12.0,128,11.82,104,9.6,100,9.23,99,9.14,8,0.74,6,0.55,22,2.03,45001
45,2,1205,28,2.32,25,2.07,18,1.49,20,1.66,30,2.49,142,11.78,139,11.54,127,10.54,118,9.79,115,9.54,16,1.33,6,0.5,21,1.74,45002
45,8,1013,15,1.48,42,4.15,6,0.59,15,1.48,15,1.48,127,12.54,131,12.93,110,10.86,111,10.96,99,9.77,16,1.58,7,0.69,17,1.68,45008
45,9,937,22,2.35,49,5.23,18,1.92,20,2.13,21,2.24,108,11.53,109,11.63,84,8.96,79,8.43,79,8.43,15,1.6,8,0.85,15,1.6,45009
45,10,1058,22,2.08,52,4.91,20,1.89,21,1.98,27,2.55,100,9.45,94,8.88,71,6.71,75,7.09,80,7.56,12,1.13,4,0.38,20,1.89,45010
