ward,precinct,total,Lorraine Mary Murphy,Lorraine Mary Murphy Percent,James Patrick Crawley,James Patrick Crawley Percent,Araceli Reyes De La Cruz,Araceli Reyes De La Cruz Percent,precinct_id
7,23,214,93,43.46,33,15.42,88,41.12,07023
7,24,144,67,46.53,29,20.14,48,33.33,07024
7,25,154,63,40.91,31,20.13,60,38.96,07025
7,26,169,58,34.32,31,18.34,80,47.34,07026
7,27,157,70,44.59,37,23.57,50,31.85,07027
7,28,125,51,40.8,29,23.2,45,36.0,07028
7,29,159,66,41.51,20,12.58,73,45.91,07029
7,30,124,60,48.39,13,10.48,51,41.13,07030
7,31,114,51,44.74,19,16.67,44,38.6,07031
7,32,304,113,37.17,38,12.5,153,50.33,07032
7,33,301,130,43.19,41,13.62,130,43.19,07033
7,34,261,110,42.15,46,17.62,105,40.23,07034
7,35,214,85,39.72,35,16.36,94,43.93,07035
7,36,257,112,43.58,34,13.23,111,43.19,07036
7,37,201,93,46.27,33,16.42,75,37.31,07037
7,38,171,76,44.44,41,23.98,54,31.58,07038
7,39,186,80,43.01,36,19.35,70,37.63,07039
7,40,191,79,41.36,35,18.32,77,40.31,07040
7,41,194,85,43.81,39,20.1,70,36.08,07041
7,42,180,73,40.56,40,22.22,67,37.22,07042
7,43,197,99,50.25,37,18.78,61,30.96,07043
7,44,163,71,43.56,32,19.63,60,36.81,07044
7,45,158,97,61.39,22,13.92,39,24.68,07045
7,46,87,47,54.02,20,22.99,20,22.99,07046
8,1,149,60,40.27,36,24.16,53,35.57,08001
8,2,159,65,40.88,30,18.87,64,40.25,08002
8,3,285,103,36.14,40,14.04,142,49.82,08003
8,4,263,83,31.56,37,14.07,143,54.37,08004
8,5,256,97,37.89,28,10.94,131,51.17,08005
8,6,248,92,37.1,43,17.34,113,45.56,08006
8,7,261,94,36.02,47,18.01,120,45.98,08007
8,8,237,77,32.49,38,16.03,122,51.48,08008
8,9,159,65,40.88,25,15.72,69,43.4,08009
8,10,307,110,35.83,33,10.75,164,53.42,08010
8,11,143,66,46.15,32,22.38,45,31.47,08011
8,12,204,93,45.59,34,16.67,77,37.75,08012
8,13,217,111,51.15,36,16.59,70,32.26,08013
8,14,152,73,48.03,41,26.97,38,25.0,08014
8,15,195,87,44.62,41,21.03,67,34.36,08015
8,16,70,23,32.86,15,21.43,32,45.71,08016
8,17,189,83,43.92,26,13.76,80,42.33,08017
8,18,145,70,48.28,31,21.38,44,30.34,08018
8,19,277,106,38.27,45,16.25,126,45.49,08019
8,20,257,76,29.57,45,17.51,136,52.92,08020
8,21,254,91,35.83,40,15.75,123,48.43,08021
8,22,213,81,38.03,29,13.62,103,48.36,08022
8,23,170,76,44.71,28,16.47,66,38.82,08023
8,24,145,58,40.0,29,20.0,58,40.0,08024
8,25,199,94,47.24,39,19.6,66,33.17,08025
8,26,150,52,34.67,31,20.67,67,44.67,08026
8,27,253,100,39.53,46,18.18,107,42.29,08027
8,28,218,84,38.53,42,19.27,92,42.2,08028
8,29,227,75,33.04,41,18.06,111,48.9,08029
8,30,236,111,47.03,39,16.53,86,36.44,08030
8,31,152,67,44.08,29,19.08,56,36.84,08031
8,32,194,80,41.24,32,16.49,82,42.27,08032
8,33,173,77,44.51,28,16.18,68,39.31,08033
8,34,232,100,43.1,40,17.24,92,39.66,08034
8,35,261,105,40.23,46,17.62,110,42.15,08035
