ward,precinct,total,Casandra Lewis,Casandra Lewis Percent,Michael James Murphy,Michael James Murphy Percent,Deborah Mary Dooling,Deborah Mary Dooling Percent,Kathleen G. Kennedy,Kathleen G. Kennedy Percent,Christine Patricia Curran,Christine Patricia Curran Percent,precinct_id
5,40,145,72,49.66,39,26.9,11,7.59,15,10.34,8,5.52,05040
5,41,99,11,11.11,28,28.28,14,14.14,37,37.37,9,9.09,05041
5,42,171,85,49.71,44,25.73,12,7.02,13,7.6,17,9.94,05042
5,43,183,103,56.28,32,17.49,15,8.2,23,12.57,10,5.46,05043
5,44,195,92,47.18,45,23.08,16,8.21,24,12.31,18,9.23,05044
5,45,92,55,59.78,21,22.83,4,4.35,7,7.61,5,5.43,05045
5,46,162,35,21.6,51,31.48,27,16.67,34,20.99,15,9.26,05046
5,47,116,71,61.21,17,14.66,6,5.17,12,10.34,10,8.62,05047
5,48,92,32,34.78,30,32.61,13,14.13,15,16.3,2,2.17,05048
5,49,32,13,40.63,12,37.5,2,6.25,2,6.25,3,9.38,05049
5,50,117,57,48.72,36,30.77,12,10.26,6,5.13,6,5.13,05050
5,51,108,50,46.3,33,30.56,7,6.48,12,11.11,6,5.56,05051
5,52,18,8,44.44,3,16.67,2,11.11,3,16.67,2,11.11,05052
5,53,189,93,49.21,36,19.05,17,8.99,29,15.34,14,7.41,05053
5,54,232,123,53.02,57,24.57,5,2.16,29,12.5,18,7.76,05054
5,55,141,75,53.19,35,24.82,12,8.51,10,7.09,9,6.38,05055
6,1,243,148,60.91,64,26.34,7,2.88,14,5.76,10,4.12,06001
6,2,222,112,50.45,63,28.38,13,5.86,27,12.16,7,3.15,06002
6,3,213,107,50.23,71,33.33,15,7.04,14,6.57,6,2.82,06003
6,4,121,62,51.24,34,28.1,7,5.79,12,9.92,6,4.96,06004
6,5,88,29,,39,,7,,13,,0,,06005
6,6,169,96,56.8,44,26.04,14,8.28,11,6.51,4,2.37,06006
6,7,200,81,40.5,70,35.0,17,8.5,22,11.0,10,5.0,06007
6,8,220,112,50.91,67,30.45,12,5.45,24,10.91,5,2.27,06008
6,9,173,104,60.12,39,22.54,8,4.62,15,8.67,7,4.05,06009
6,10,265,156,58.87,64,24.15,14,5.28,19,7.17,12,4.53,06010
6,11,187,106,56.68,43,22.99,12,6.42,21,11.23,5,2.67,06011
6,12,129,63,48.84,39,30.23,8,6.2,15,11.63,4,3.1,06012
6,13,174,114,65.52,36,20.69,4,2.3,18,10.34,2,1.15,06013
6,14,171,83,48.54,47,27.49,13,7.6,21,12.28,7,4.09,06014
6,15,111,52,46.85,39,35.14,6,5.41,11,9.91,3,2.7,06015
6,16,198,112,56.57,53,26.77,13,6.57,15,7.58,5,2.53,06016
6,17,230,152,66.09,41,17.83,12,5.22,20,8.7,5,2.17,06017
6,18,76,32,42.11,27,35.53,3,3.95,11,14.47,3,3.95,06018
6,19,206,119,57.77,52,25.24,12,5.83,16,7.77,7,3.4,06019
6,20,190,72,37.89,77,40.53,15,7.89,19,10.0,7,3.68,06020
6,21,189,95,50.26,58,30.69,11,5.82,16,8.47,9,4.76,06021
6,22,178,99,55.62,46,25.84,11,6.18,18,10.11,4,2.25,06022
6,23,144,77,53.47,43,29.86,10,6.94,10,6.94,4,2.78,06023
6,24,224,112,50.0,66,29.46,14,6.25,16,7.14,16,7.14,06024
6,25,148,61,41.22,61,41.22,9,6.08,11,7.43,6,4.05,06025
6,26,199,100,50.25,46,23.12,14,7.04,31,15.58,8,4.02,06026
6,27,245,128,52.24,82,33.47,12,4.9,15,6.12,8,3.27,06027
6,28,340,219,64.41,78,22.94,16,4.71,18,5.29,9,2.65,06028
6,29,232,122,52.59,70,30.17,10,4.31,21,9.05,9,3.88,06029
6,30,144,83,57.64,28,19.44,10,6.94,17,11.81,6,4.17,06030
6,31,223,130,58.3,60,26.91,12,5.38,16,7.17,5,2.24,06031
6,32,179,84,46.93,54,30.17,11,6.15,16,8.94,14,7.82,06032
6,33,222,100,45.05,86,38.74,9,4.05,21,9.46,6,2.7,06033
6,34,162,93,57.41,43,26.54,9,5.56,9,5.56,8,4.94,06034
6,35,178,91,51.12,56,31.46,4,2.25,15,8.43,12,6.74,06035
6,36,94,50,53.19,22,23.4,10,10.64,8,8.51,4,4.26,06036
6,37,232,124,53.45,66,28.45,9,3.88,27,11.64,6,2.59,06037
6,38,187,102,54.55,45,24.06,15,8.02,17,9.09,8,4.28,06038
6,39,153,72,47.06,39,25.49,14,9.15,16,10.46,12,7.84,06039
6,40,94,37,39.36,34,36.17,9,9.57,9,9.57,5,5.32,06040
6,41,191,98,51.31,65,34.03,7,3.66,17,8.9,4,2.09,06041
6,42,80,40,50.0,22,27.5,4,5.0,10,12.5,4,5.0,06042
6,43,174,101,58.05,39,22.41,11,6.32,20,11.49,3,1.72,06043
6,44,175,104,59.43,40,22.86,12,6.86,16,9.14,3,1.71,06044
6,45,132,67,50.76,37,28.03,8,6.06,15,11.36,5,3.79,06045
6,46,170,118,69.41,29,17.06,5,2.94,13,7.65,5,2.94,06046
6,47,210,143,68.1,39,18.57,8,3.81,11,5.24,9,4.29,06047
6,48,164,97,59.15,37,22.56,11,6.71,13,7.93,6,3.66,06048
6,49,168,90,53.57,42,25.0,10,5.95,19,11.31,7,4.17,06049
6,50,197,113,57.36,49,24.87,11,5.58,17,8.63,7,3.55,06050
6,51,131,77,58.78,24,18.32,9,6.87,11,8.4,10,7.63,06051
6,52,130,77,59.23,33,25.38,10,7.69,7,5.38,3,2.31,06052
6,53,172,90,52.33,45,26.16,20,11.63,14,8.14,3,1.74,06053
6,54,181,109,60.22,39,21.55,4,2.21,19,10.5,10,5.52,06054
6,55,143,81,56.64,33,23.08,10,6.99,15,10.49,4,2.8,06055
6,56,128,63,49.22,35,27.34,6,4.69,14,10.94,10,7.81,06056
6,57,97,59,60.82,20,20.62,4,4.12,11,11.34,3,3.09,06057
6,58,210,114,54.29,60,28.57,11,5.24,18,8.57,7,3.33,06058
6,59,174,110,63.22,32,18.39,6,3.45,18,10.34,8,4.6,06059
6,60,125,72,57.6,30,24.0,10,8.0,7,5.6,6,4.8,06060
6,61,117,57,48.72,32,27.35,9,7.69,13,11.11,6,5.13,06061
6,62,145,77,53.1,40,27.59,7,4.83,15,10.34,6,4.14,06062
6,63,165,107,64.85,34,20.61,12,7.27,8,4.85,4,2.42,06063
6,64,225,134,59.56,48,21.33,10,4.44,28,12.44,5,2.22,06064
7,1,210,111,52.86,55,26.19,14,6.67,21,10.0,9,4.29,07001
7,2,216,100,46.3,67,31.02,15,6.94,22,10.19,12,5.56,07002
7,3,96,34,35.42,35,36.46,16,16.67,8,8.33,3,3.13,07003
7,4,124,41,33.06,51,41.13,12,9.68,13,10.48,7,5.65,07004
7,5,124,32,25.81,59,47.58,10,8.06,13,10.48,10,8.06,07005
