ward,precinct,total,"Michael J. Howlett, Jr.","Michael J. Howlett, Jr. Percent",Margaret Ann (Meg) Carey,Margaret Ann (Meg) Carey Percent,precinct_id
24,45,87,63,72.41,24,27.59,24045
24,46,137,100,72.99,37,27.01,24046
24,47,104,52,50.0,52,50.0,24047
24,48,50,29,58.0,21,42.0,24048
24,49,142,79,55.63,63,44.37,24049
24,50,146,90,61.64,56,38.36,24050
24,51,162,99,61.11,63,38.89,24051
24,52,97,60,61.86,37,38.14,24052
24,53,124,69,55.65,55,44.35,24053
24,54,52,37,71.15,15,28.85,24054
24,55,50,40,80.0,10,20.0,24055
24,56,138,86,62.32,52,37.68,24056
24,57,88,49,55.68,39,44.32,24057
24,58,127,82,64.57,45,35.43,24058
24,59,62,43,69.35,19,30.65,24059
25,1,125,57,45.6,68,54.4,25001
25,2,160,74,46.25,86,53.75,25002
25,3,62,30,48.39,32,51.61,25003
25,4,115,60,52.17,55,47.83,25004
25,5,138,75,54.35,63,45.65,25005
25,6,65,35,53.85,30,46.15,25006
25,7,92,48,52.17,44,47.83,25007
25,8,130,58,44.62,72,55.38,25008
25,9,168,70,41.67,98,58.33,25009
25,10,67,37,55.22,30,44.78,25010
25,11,134,73,54.48,61,45.52,25011
25,12,103,50,48.54,53,51.46,25012
25,13,139,70,50.36,69,49.64,25013
25,14,53,30,56.6,23,43.4,25014
25,15,131,65,49.62,66,50.38,25015
25,16,47,32,68.09,15,31.91,25016
25,17,169,84,49.7,85,50.3,25017
25,18,98,52,53.06,46,46.94,25018
25,19,117,52,44.44,65,55.56,25019
25,20,142,64,45.07,78,54.93,25020
25,21,89,56,62.92,33,37.08,25021
25,22,61,29,47.54,32,52.46,25022
25,23,140,62,44.29,78,55.71,25023
25,24,129,67,51.94,62,48.06,25024
25,25,94,62,65.96,32,34.04,25025
25,26,74,43,58.11,31,41.89,25026
25,27,79,38,48.1,41,51.9,25027
25,28,125,73,58.4,52,41.6,25028
25,29,89,51,57.3,38,42.7,25029
25,30,124,67,54.03,57,45.97,25030
25,31,44,20,45.45,24,54.55,25031
26,1,37,16,43.24,21,56.76,26001
26,2,73,33,45.21,40,54.79,26002
26,3,46,27,58.7,19,41.3,26003
26,4,47,23,48.94,24,51.06,26004
26,5,71,27,38.03,44,61.97,26005
26,6,54,33,61.11,21,38.89,26006
26,7,36,25,69.44,11,30.56,26007
26,8,47,22,46.81,25,53.19,26008
26,9,35,25,71.43,10,28.57,26009
26,10,43,22,51.16,21,48.84,26010
26,11,51,24,47.06,27,52.94,26011
26,12,38,25,65.79,13,34.21,26012
26,13,61,30,49.18,31,50.82,26013
26,14,48,22,45.83,26,54.17,26014
26,15,40,23,57.5,17,42.5,26015
26,16,49,28,57.14,21,42.86,26016
26,17,31,15,48.39,16,51.61,26017
26,18,40,16,40.0,24,60.0,26018
26,19,75,39,52.0,36,48.0,26019
26,20,62,28,45.16,34,54.84,26020
26,21,58,34,58.62,24,41.38,26021
26,22,38,14,36.84,24,63.16,26022
26,23,46,25,54.35,21,45.65,26023
26,24,43,25,58.14,18,41.86,26024
26,25,32,17,53.13,15,46.88,26025
26,26,46,21,45.65,25,54.35,26026
26,27,55,26,47.27,29,52.73,26027
26,28,49,18,36.73,31,63.27,26028
26,29,49,22,44.9,27,55.1,26029
26,30,35,13,37.14,22,62.86,26030
26,31,62,31,50.0,31,50.0,26031
26,32,75,35,46.67,40,53.33,26032
26,33,20,10,50.0,10,50.0,26033
26,34,52,17,32.69,35,67.31,26034
26,35,58,36,62.07,22,37.93,26035
26,36,49,20,40.82,29,59.18,26036
26,37,36,16,44.44,20,55.56,26037
26,38,29,13,44.83,16,55.17,26038
26,39,32,17,53.13,15,46.88,26039
26,40,27,14,51.85,13,48.15,26040
26,41,44,14,31.82,30,68.18,26041
26,42,27,11,40.74,16,59.26,26042
26,43,48,25,52.08,23,47.92,26043
26,44,31,14,45.16,17,54.84,26044
26,45,59,26,44.07,33,55.93,26045
26,46,63,29,46.03,34,53.97,26046
26,47,40,24,60.0,16,40.0,26047
26,48,59,25,42.37,34,57.63,26048
26,49,36,19,52.78,17,47.22,26049
26,50,22,12,54.55,10,45.45,26050
26,51,55,30,54.55,25,45.45,26051
26,52,17,12,70.59,5,29.41,26052
26,53,26,18,69.23,8,30.77,26053
26,54,50,26,52.0,24,48.0,26054
26,55,29,20,68.97,9,31.03,26055
26,56,58,30,51.72,28,48.28,26056
26,57,49,27,55.1,22,44.9,26057
26,58,42,23,54.76,19,45.24,26058
26,59,53,28,52.83,25,47.17,26059
26,60,50,31,62.0,19,38.0,26060
26,61,24,10,41.67,14,58.33,26061
26,62,68,35,51.47,33,48.53,26062
26,63,20,14,70.0,6,30.0,26063
27,1,52,29,55.77,23,44.23,27001
27,2,108,74,68.52,34,31.48,27002
27,3,87,55,63.22,32,36.78,27003
27,4,71,37,52.11,34,47.89,27004
27,5,17,10,58.82,7,41.18,27005
27,6,62,51,82.26,11,17.74,27006
27,7,62,37,59.68,25,40.32,27007
27,8,122,94,77.05,28,22.95,27008
27,9,122,83,68.03,39,31.97,27009
27,10,167,117,70.06,50,29.94,27010
27,11,119,75,63.03,44,36.97,27011
27,12,59,38,64.41,21,35.59,27012
27,13,53,28,52.83,25,47.17,27013
27,14,133,84,63.16,49,36.84,27014
27,15,71,44,61.97,27,38.03,27015
27,16,19,11,57.89,8,42.11,27016
27,17,55,26,47.27,29,52.73,27017
27,18,65,45,69.23,20,30.77,27018
27,19,88,59,67.05,29,32.95,27019
27,20,167,143,85.63,24,14.37,27020
27,21,108,88,81.48,20,18.52,27021
27,22,113,91,80.53,22,19.47,27022
27,23,17,12,70.59,5,29.41,27023
27,24,97,75,77.32,22,22.68,27024
27,25,83,67,80.72,16,19.28,27025
27,26,109,66,60.55,43,39.45,27026
27,27,63,50,79.37,13,20.63,27027
27,28,106,75,70.75,31,29.25,27028
27,29,88,69,78.41,19,21.59,27029
27,30,68,48,70.59,20,29.41,27030
27,31,94,73,77.66,21,22.34,27031
27,32,73,39,53.42,34,46.58,27032
27,33,76,53,69.74,23,30.26,27033
27,34,107,88,82.24,19,17.76,27034
27,35,75,38,50.67,37,49.33,27035
27,36,103,79,76.7,24,23.3,27036
27,37,63,38,60.32,25,39.68,27037
27,38,46,23,50.0,23,50.0,27038
27,39,78,64,82.05,14,17.95,27039
27,40,59,47,79.66,12,20.34,27040
27,41,69,38,55.07,31,44.93,27041
27,42,56,34,60.71,22,39.29,27042
27,43,75,67,89.33,8,10.67,27043
27,44,91,48,52.75,43,47.25,27044
27,45,116,101,87.07,15,12.93,27045
27,46,124,102,82.26,22,17.74,27046
27,47,73,55,75.34,18,24.66,27047
27,48,98,67,68.37,31,31.63,27048
27,49,101,58,57.43,43,42.57,27049
27,50,76,25,32.89,51,67.11,27050
27,51,83,68,81.93,15,18.07,27051
27,52,77,54,70.13,23,29.87,27052
27,53,64,43,67.19,21,32.81,27053
27,54,38,25,65.79,13,34.21,27054
27,55,113,83,73.45,30,26.55,27055
27,56,52,26,50.0,26,50.0,27056
27,57,57,36,63.16,21,36.84,27057
27,58,57,39,68.42,18,31.58,27058
27,59,110,72,65.45,38,34.55,27059
28,1,126,81,64.29,45,35.71,28001
28,2,96,63,65.63,33,34.38,28002
28,3,69,40,57.97,29,42.03,28003
28,4,145,97,66.9,48,33.1,28004
28,5,87,67,77.01,20,22.99,28005
28,6,80,48,60.0,32,40.0,28006
28,7,98,58,59.18,40,40.82,28007
28,8,89,55,61.8,34,38.2,28008
28,9,73,45,61.64,28,38.36,28009
28,10,32,20,62.5,12,37.5,28010
28,11,94,63,67.02,31,32.98,28011
28,12,84,56,66.67,28,33.33,28012
28,13,61,41,67.21,20,32.79,28013
28,14,68,44,64.71,24,35.29,28014
28,15,104,70,67.31,34,32.69,28015
28,16,88,63,71.59,25,28.41,28016
28,17,104,70,67.31,34,32.69,28017
28,18,137,85,62.04,52,37.96,28018
28,19,116,73,62.93,43,37.07,28019
28,20,120,84,70.0,36,30.0,28020
28,21,138,88,63.77,50,36.23,28021
28,22,88,47,53.41,41,46.59,28022
28,23,106,68,64.15,38,35.85,28023
28,24,59,34,57.63,25,42.37,28024
28,25,62,38,61.29,24,38.71,28025
28,26,101,64,63.37,37,36.63,28026
28,27,130,80,61.54,50,38.46,28027
28,28,75,59,78.67,16,21.33,28028
28,29,80,37,46.25,43,53.75,28029
28,30,65,37,56.92,28,43.08,28030
28,31,88,56,63.64,32,36.36,28031
28,32,96,65,67.71,31,32.29,28032
28,33,119,79,66.39,40,33.61,28033
28,34,19,13,68.42,6,31.58,28034
28,35,74,52,70.27,22,29.73,28035
28,36,74,42,56.76,32,43.24,28036
28,37,201,159,79.1,42,20.9,28037
28,38,51,24,47.06,27,52.94,28038
28,39,105,71,67.62,34,32.38,28039
28,40,149,96,64.43,53,35.57,28040
28,41,121,71,58.68,50,41.32,28041
28,42,84,51,60.71,33,39.29,28042
28,43,133,90,67.67,43,32.33,28043
28,44,120,75,62.5,45,37.5,28044
28,45,96,63,65.63,33,34.38,28045
28,46,128,91,71.09,37,28.91,28046
28,47,89,54,60.67,35,39.33,28047
28,48,39,22,56.41,17,43.59,28048
28,49,55,37,67.27,18,32.73,28049
28,50,55,32,58.18,23,41.82,28050
28,51,80,50,62.5,30,37.5,28051
28,52,65,34,52.31,31,47.69,28052
28,53,45,32,71.11,13,28.89,28053
28,54,80,52,65.0,28,35.0,28054
28,55,91,55,60.44,36,39.56,28055
28,56,107,71,66.36,36,33.64,28056
28,57,136,92,67.65,44,32.35,28057
28,58,114,82,71.93,32,28.07,28058
28,59,65,45,69.23,20,30.77,28059
28,60,56,35,62.5,21,37.5,28060
28,61,32,19,59.38,13,40.63,28061
29,1,174,135,77.59,39,22.41,29001
29,2,89,59,66.29,30,33.71,29002
29,3,210,157,74.76,53,25.24,29003
29,4,178,139,78.09,39,21.91,29004
29,5,151,124,82.12,27,17.88,29005
29,6,59,30,50.85,29,49.15,29006
29,7,68,42,61.76,26,38.24,29007
29,8,113,90,79.65,23,20.35,29008
29,9,81,57,70.37,24,29.63,29009
29,10,114,92,80.7,22,19.3,29010
29,11,163,123,75.46,40,24.54,29011
29,12,195,146,74.87,49,25.13,29012
29,13,154,137,88.96,17,11.04,29013
29,14,238,175,73.53,63,26.47,29014
29,15,177,126,71.19,51,28.81,29015
29,16,197,180,91.37,17,8.63,29016
29,17,120,91,75.83,29,24.17,29017
29,18,198,167,84.34,31,15.66,29018
29,19,141,120,85.11,21,14.89,29019
29,20,138,120,86.96,18,13.04,29020
29,21,120,88,73.33,32,26.67,29021
