ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
39,1,123,17,13.82,23,18.7,20,16.26,27,21.95,39001
39,2,170,21,12.35,33,19.41,22,12.94,31,18.24,39002
39,3,129,18,13.95,19,14.73,15,11.63,12,9.3,39003
39,4,91,8,8.79,13,14.29,15,16.48,18,19.78,39004
39,5,68,10,14.71,14,20.59,8,11.76,14,20.59,39005
39,6,100,15,15.0,20,20.0,9,9.0,24,24.0,39006
39,7,79,7,8.86,15,18.99,11,13.92,10,12.66,39007
39,8,131,9,6.87,16,12.21,14,10.69,23,17.56,39008
39,9,126,14,11.11,12,9.52,15,11.9,20,15.87,39009
39,10,93,12,12.9,20,21.51,10,10.75,17,18.28,39010
39,11,167,23,13.77,24,14.37,19,11.38,20,11.98,39011
39,12,73,8,10.96,15,20.55,8,10.96,17,23.29,39012
39,13,51,2,3.92,15,29.41,6,11.76,14,27.45,39013
39,14,78,12,15.38,21,26.92,6,7.69,10,12.82,39014
39,15,94,9,9.57,15,15.96,10,10.64,7,7.45,39015
39,16,57,11,19.3,11,19.3,3,5.26,11,19.3,39016
39,17,81,16,19.75,15,18.52,12,14.81,13,16.05,39017
39,18,98,22,22.45,21,21.43,9,9.18,17,17.35,39018
39,19,81,10,12.35,23,28.4,9,11.11,15,18.52,39019
39,20,105,19,18.1,16,15.24,14,13.33,15,14.29,39020
39,21,76,17,22.37,9,11.84,11,14.47,14,18.42,39021
39,22,77,8,10.39,13,16.88,11,14.29,9,11.69,39022
39,23,71,10,14.08,16,22.54,8,11.27,13,18.31,39023
39,24,78,11,14.1,21,26.92,8,10.26,13,16.67,39024
39,25,105,15,14.29,17,16.19,21,20.0,15,14.29,39025
39,26,108,15,13.89,14,12.96,9,8.33,23,21.3,39026
39,27,123,13,10.57,18,14.63,21,17.07,25,20.33,39027
39,28,102,12,11.76,21,20.59,21,20.59,24,23.53,39028
39,29,106,21,19.81,26,24.53,14,13.21,16,15.09,39029
39,30,61,11,18.03,10,16.39,12,19.67,8,13.11,39030
39,31,56,6,10.71,12,21.43,13,23.21,8,14.29,39031
39,32,95,9,9.47,22,23.16,11,11.58,19,20.0,39032
39,33,117,16,13.68,28,23.93,15,12.82,23,19.66,39033
39,34,111,18,16.22,17,15.32,13,11.71,22,19.82,39034
39,35,126,28,22.22,31,24.6,8,6.35,17,13.49,39035
39,36,129,18,13.95,24,18.6,16,12.4,20,15.5,39036
39,37,155,28,18.06,24,15.48,17,10.97,16,10.32,39037
39,38,115,23,20.0,16,13.91,16,13.91,18,15.65,39038
39,39,53,12,22.64,8,15.09,10,18.87,10,18.87,39039
39,40,70,9,12.86,15,21.43,11,15.71,12,17.14,39040
39,41,39,4,10.26,6,15.38,4,10.26,9,23.08,39041
39,42,113,14,12.39,15,13.27,19,16.81,10,8.85,39042
39,43,78,6,7.69,20,25.64,11,14.1,12,15.38,39043
39,44,98,18,18.37,22,22.45,13,13.27,20,20.41,39044
39,45,62,7,11.29,13,20.97,9,14.52,11,17.74,39045
39,46,97,18,18.56,21,21.65,21,21.65,13,13.4,39046
39,47,59,8,13.56,6,10.17,3,5.08,12,20.34,39047
40,1,71,14,19.72,13,18.31,8,11.27,19,26.76,40001
40,2,78,11,14.1,13,16.67,7,8.97,10,12.82,40002
40,3,82,15,18.29,25,30.49,12,14.63,9,10.98,40003
40,4,122,18,14.75,40,32.79,13,10.66,17,13.93,40004
40,5,90,15,16.67,20,22.22,11,12.22,8,8.89,40005
40,6,81,15,18.52,29,35.8,5,6.17,11,13.58,40006
40,7,94,21,22.34,34,36.17,6,6.38,13,13.83,40007
40,8,22,5,22.73,1,4.55,1,4.55,4,18.18,40008
40,9,65,6,9.23,14,21.54,7,10.77,16,24.62,40009
