ward,precinct,total,Dean T. Maragos,Dean T. Maragos Percent,Debra Shore,Debra Shore Percent,Patricia Horton,Patricia Horton Percent,Terrence J. O'Brien,Terrence J. O'Brien Percent,James ''Jim'' Harris,James ''Jim'' Harris Percent,Barrett F. Pedersen,Barrett F. Pedersen Percent,Boguslaw ''Bogie'' Stefanski,Boguslaw ''Bogie'' Stefanski Percent,"Lewis W. Powell, III","Lewis W. Powell, III Percent",Frank Avila,Frank Avila Percent,precinct_id
8,5,645,39,6.05,92,14.26,129,20.0,46,7.13,118,18.29,32,4.96,4,0.62,125,19.38,60,9.3,08005
8,6,552,34,6.16,79,14.31,87,15.76,68,12.32,117,21.2,53,9.6,5,0.91,68,12.32,41,7.43,08006
8,7,358,17,4.75,46,12.85,45,12.57,66,18.44,79,22.07,47,13.13,2,0.56,33,9.22,23,6.42,08007
8,8,622,38,6.11,77,12.38,82,13.18,93,14.95,128,20.58,63,10.13,2,0.32,88,14.15,51,8.2,08008
8,9,669,36,5.38,104,15.55,109,16.29,74,11.06,139,20.78,48,7.17,5,0.75,100,14.95,54,8.07,08009
8,10,697,30,4.3,92,13.2,106,15.21,80,11.48,136,19.51,65,9.33,3,0.43,97,13.92,88,12.63,08010
8,11,422,32,7.58,72,17.06,63,14.93,60,14.22,90,21.33,27,6.4,8,1.9,37,8.77,33,7.82,08011
8,12,399,28,7.02,75,18.8,49,12.28,48,12.03,67,16.79,30,7.52,4,1.0,56,14.04,42,10.53,08012
8,13,350,18,5.14,42,12.0,41,11.71,57,16.29,76,21.71,46,13.14,6,1.71,39,11.14,25,7.14,08013
8,14,315,22,6.98,35,11.11,37,11.75,67,21.27,70,22.22,54,17.14,2,0.63,17,5.4,11,3.49,08014
8,15,348,24,6.9,52,14.94,65,18.68,41,11.78,57,16.38,29,8.33,9,2.59,38,10.92,33,9.48,08015
8,16,646,31,4.8,84,13.0,89,13.78,94,14.55,128,19.81,67,10.37,7,1.08,87,13.47,59,9.13,08016
8,17,414,21,5.07,67,16.18,62,14.98,49,11.84,81,19.57,29,7.0,7,1.69,59,14.25,39,9.42,08017
8,18,256,10,3.91,34,13.28,34,13.28,44,17.19,55,21.48,37,14.45,2,0.78,27,10.55,13,5.08,08018
8,19,661,33,4.99,81,12.25,111,16.79,92,13.92,148,22.39,71,10.74,2,0.3,80,12.1,43,6.51,08019
8,20,389,33,8.48,59,15.17,47,12.08,58,14.91,83,21.34,44,11.31,3,0.77,37,9.51,25,6.43,08020
8,21,385,17,4.42,53,13.77,62,16.1,55,14.29,77,20.0,41,10.65,3,0.78,50,12.99,27,7.01,08021
8,22,391,24,6.14,68,17.39,61,15.6,40,10.23,76,19.44,29,7.42,1,0.26,59,15.09,33,8.44,08022
8,23,412,21,5.1,69,16.75,68,16.5,45,10.92,75,18.2,30,7.28,6,1.46,64,15.53,34,8.25,08023
8,24,543,33,6.08,93,17.13,92,16.94,61,11.23,110,20.26,47,8.66,5,0.92,56,10.31,46,8.47,08024
8,25,479,29,6.05,75,15.66,84,17.54,58,12.11,88,18.37,48,10.02,4,0.84,55,11.48,38,7.93,08025
8,26,277,15,5.42,44,15.88,43,15.52,32,11.55,54,19.49,23,8.3,7,2.53,33,11.91,26,9.39,08026
8,27,536,33,6.16,92,17.16,83,15.49,64,11.94,106,19.78,48,8.96,8,1.49,52,9.7,50,9.33,08027
8,28,480,28,5.83,69,14.38,81,16.88,68,14.17,95,19.79,46,9.58,7,1.46,56,11.67,30,6.25,08028
8,29,565,21,3.72,64,11.33,53,9.38,109,19.29,136,24.07,92,16.28,6,1.06,52,9.2,32,5.66,08029
8,30,412,25,6.07,51,12.38,75,18.2,57,13.83,78,18.93,41,9.95,6,1.46,52,12.62,27,6.55,08030
8,31,326,11,3.37,41,12.58,39,11.96,62,19.02,63,19.33,47,14.42,2,0.61,38,11.66,23,7.06,08031
8,32,670,37,5.52,128,19.1,130,19.4,62,9.25,105,15.67,38,5.67,8,1.19,94,14.03,68,10.15,08032
8,33,472,35,7.42,64,13.56,66,13.98,76,16.1,102,21.61,61,12.92,10,2.12,45,9.53,13,2.75,08033
8,34,663,33,4.98,91,13.73,89,13.42,94,14.18,138,20.81,68,10.26,6,0.9,88,13.27,56,8.45,08034
8,35,552,25,4.53,74,13.41,93,16.85,71,12.86,106,19.2,47,8.51,4,0.72,73,13.22,59,10.69,08035
8,36,442,28,6.33,65,14.71,69,15.61,55,12.44,75,16.97,43,9.73,5,1.13,64,14.48,38,8.6,08036
8,37,477,41,8.6,87,18.24,88,18.45,51,10.69,81,16.98,25,5.24,6,1.26,62,13.0,36,7.55,08037
