ward,precinct,total,Alexander Giannoulias,Alexander Giannoulias Percent,Paul L. Mangieri,Paul L. Mangieri Percent,precinct_id
41,40,182,93,51.1,89,48.9,41040
41,41,163,75,46.01,88,53.99,41041
41,42,188,110,58.51,78,41.49,41042
41,43,148,73,49.32,75,50.68,41043
41,44,207,105,50.72,102,49.28,41044
41,45,137,83,60.58,54,39.42,41045
41,46,131,87,66.41,44,33.59,41046
41,47,153,70,45.75,83,54.25,41047
41,48,82,51,62.2,31,37.8,41048
41,49,188,93,49.47,95,50.53,41049
41,50,155,78,50.32,77,49.68,41050
41,51,111,60,54.05,51,45.95,41051
41,52,235,116,49.36,119,50.64,41052
41,53,179,102,56.98,77,43.02,41053
41,54,136,80,58.82,56,41.18,41054
41,55,106,60,56.6,46,43.4,41055
41,56,212,110,51.89,102,48.11,41056
41,57,160,79,49.38,81,50.63,41057
42,1,135,89,65.93,46,34.07,42001
42,2,84,61,72.62,23,27.38,42002
42,3,71,46,64.79,25,35.21,42003
42,4,104,61,58.65,43,41.35,42004
42,5,110,65,59.09,45,40.91,42005
42,6,264,166,62.88,98,37.12,42006
42,7,103,58,56.31,45,43.69,42007
42,8,138,82,59.42,56,40.58,42008
42,9,141,84,59.57,57,40.43,42009
42,10,68,38,55.88,30,44.12,42010
42,11,124,86,69.35,38,30.65,42011
42,12,67,42,62.69,25,37.31,42012
42,13,234,141,60.26,93,39.74,42013
42,14,89,64,71.91,25,28.09,42014
42,15,131,81,61.83,50,38.17,42015
42,16,68,35,51.47,33,48.53,42016
42,17,94,72,76.6,22,23.4,42017
42,18,100,71,71.0,29,29.0,42018
42,19,32,26,81.25,6,18.75,42019
42,20,59,40,67.8,19,32.2,42020
42,21,50,36,72.0,14,28.0,42021
42,22,90,65,72.22,25,27.78,42022
42,23,161,101,62.73,60,37.27,42023
42,24,132,86,65.15,46,34.85,42024
42,25,115,66,57.39,49,42.61,42025
42,26,171,126,73.68,45,26.32,42026
42,27,170,100,58.82,70,41.18,42027
