ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Kevin Edward White,Kevin Edward White Percent,precinct_id
47,22,314,277,88.22,37,11.78,47022
47,23,177,158,89.27,19,10.73,47023
47,24,346,279,80.64,67,19.36,47024
47,25,339,286,84.37,53,15.63,47025
47,26,453,404,89.18,49,10.82,47026
47,27,298,246,82.55,52,17.45,47027
47,28,390,345,88.46,45,11.54,47028
47,29,311,259,83.28,52,16.72,47029
47,30,356,308,86.52,48,13.48,47030
47,31,311,274,88.1,37,11.9,47031
47,32,334,311,93.11,23,6.89,47032
47,33,326,293,89.88,33,10.12,47033
47,34,374,333,89.04,41,10.96,47034
47,35,479,392,81.84,87,18.16,47035
47,36,433,383,88.45,50,11.55,47036
47,37,426,349,81.92,77,18.08,47037
47,38,351,301,85.75,50,14.25,47038
47,39,331,297,89.73,34,10.27,47039
47,40,322,275,85.4,47,14.6,47040
47,41,482,429,89.0,53,11.0,47041
47,42,273,242,88.64,31,11.36,47042
47,43,222,175,78.83,47,21.17,47043
47,44,413,330,79.9,83,20.1,47044
47,45,321,289,90.03,32,9.97,47045
47,46,256,212,82.81,44,17.19,47046
47,47,277,230,83.03,47,16.97,47047
47,48,59,49,83.05,10,16.95,47048
47,49,210,173,82.38,37,17.62,47049
47,50,258,215,83.33,43,16.67,47050
47,51,208,172,82.69,36,17.31,47051
47,52,94,82,87.23,12,12.77,47052
50,44,213,179,84.04,34,15.96,50044
50,45,135,109,80.74,26,19.26,50045
