ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,James D. ''Jim'' Oberweis,James D. ''Jim'' Oberweis Percent,Sharon Hansen,Sharon Hansen Percent,precinct_id
42,5,292,186,63.7,94,32.19,12,4.11,42005
42,6,479,338,70.56,120,25.05,21,4.38,42006
42,7,509,324,63.65,172,33.79,13,2.55,42007
42,8,402,293,72.89,100,24.88,9,2.24,42008
42,9,381,262,68.77,100,26.25,19,4.99,42009
42,10,327,197,60.24,116,35.47,14,4.28,42010
42,11,347,193,55.62,144,41.5,10,2.88,42011
42,12,353,211,59.77,128,36.26,14,3.97,42012
42,13,461,307,66.59,144,31.24,10,2.17,42013
42,14,362,228,62.98,127,35.08,7,1.93,42014
42,15,284,171,60.21,111,39.08,2,0.7,42015
42,16,371,255,68.73,102,27.49,14,3.77,42016
42,17,416,219,52.64,182,43.75,15,3.61,42017
42,18,338,214,63.31,110,32.54,14,4.14,42018
42,19,518,320,61.78,186,35.91,12,2.32,42019
42,20,329,176,53.5,142,43.16,11,3.34,42020
42,21,275,187,68.0,74,26.91,14,5.09,42021
42,22,211,124,58.77,81,38.39,6,2.84,42022
42,23,370,207,55.95,157,42.43,6,1.62,42023
42,24,428,287,67.06,132,30.84,9,2.1,42024
42,25,420,225,53.57,177,42.14,18,4.29,42025
42,26,393,248,63.1,130,33.08,15,3.82,42026
42,27,305,207,67.87,87,28.52,11,3.61,42027
42,28,474,318,67.09,142,29.96,14,2.95,42028
42,29,365,206,56.44,150,41.1,9,2.47,42029
42,30,440,266,60.45,165,37.5,9,2.05,42030
42,31,408,234,57.35,159,38.97,15,3.68,42031
42,32,310,164,52.9,137,44.19,9,2.9,42032
42,33,363,244,67.22,106,29.2,13,3.58,42033
42,34,442,260,58.82,174,39.37,8,1.81,42034
42,35,488,337,69.06,137,28.07,14,2.87,42035
42,36,461,283,61.39,174,37.74,4,0.87,42036
42,37,265,166,62.64,90,33.96,9,3.4,42037
42,38,354,223,62.99,114,32.2,17,4.8,42038
42,39,320,195,60.94,110,34.38,15,4.69,42039
42,40,362,221,61.05,131,36.19,10,2.76,42040
42,41,373,254,68.1,103,27.61,16,4.29,42041
42,42,393,262,66.67,122,31.04,9,2.29,42042
43,1,240,182,75.83,51,21.25,7,2.92,43001
43,2,354,218,61.58,124,35.03,12,3.39,43002
43,3,437,279,63.84,148,33.87,10,2.29,43003
43,4,442,255,57.69,173,39.14,14,3.17,43004
43,5,320,207,64.69,110,34.38,3,0.94,43005
