ward,precinct,total,Charles J. Wheelan,Charles J. Wheelan Percent,Sara Feigenholtz,Sara Feigenholtz Percent,John A. Fritchey,John A. Fritchey Percent,Victor A. Forys,Victor A. Forys Percent,Jan H. Donatelli,Jan H. Donatelli Percent,Frank Annunzio,Frank Annunzio Percent,Carlos A. Monteagudo,Carlos A. Monteagudo Percent,Paul J. Bryar,Paul J. Bryar Percent,Tom Geoghegan,Tom Geoghegan Percent,Cary Capparelli,Cary Capparelli Percent,Mike Quigley,Mike Quigley Percent,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
38,11,77,1,1.3,8,10.39,8,10.39,22,28.57,1,1.3,1,1.3,0,0.0,3,3.9,4,5.19,1,1.3,15,19.48,13,16.88,38011
38,12,132,4,3.03,12,9.09,16,12.12,44,33.33,3,2.27,5,3.79,0,0.0,5,3.79,1,0.76,2,1.52,27,20.45,13,9.85,38012
38,13,87,7,8.05,5,5.75,10,11.49,30,34.48,0,0.0,0,0.0,0,0.0,1,1.15,5,5.75,2,2.3,18,20.69,9,10.34,38013
38,14,72,0,0.0,2,2.78,11,15.28,21,29.17,4,5.56,4,5.56,1,1.39,0,0.0,2,2.78,0,0.0,22,30.56,5,6.94,38014
38,15,72,1,1.39,6,8.33,13,18.06,23,31.94,3,4.17,2,2.78,0,0.0,4,5.56,3,4.17,0,0.0,10,13.89,7,9.72,38015
38,16,114,0,0.0,7,6.14,15,13.16,50,43.86,2,1.75,5,4.39,2,1.75,3,2.63,4,3.51,0,0.0,18,15.79,8,7.02,38016
38,17,84,2,2.38,9,10.71,18,21.43,24,28.57,3,3.57,0,0.0,1,1.19,3,3.57,2,2.38,1,1.19,12,14.29,9,10.71,38017
38,18,117,9,7.69,3,2.56,29,24.79,33,28.21,0,0.0,10,8.55,0,0.0,1,0.85,4,3.42,1,0.85,19,16.24,8,6.84,38018
38,19,133,5,3.76,22,16.54,25,18.8,33,24.81,2,1.5,1,0.75,2,1.5,3,2.26,8,6.02,5,3.76,20,15.04,7,5.26,38019
38,20,137,12,8.76,21,15.33,14,10.22,5,3.65,1,0.73,0,0.0,2,1.46,4,2.92,13,9.49,1,0.73,54,39.42,10,7.3,38020
38,21,93,1,1.08,11,11.83,11,11.83,30,32.26,1,1.08,2,2.15,1,1.08,1,1.08,1,1.08,4,4.3,22,23.66,8,8.6,38021
38,22,99,0,0.0,13,13.13,15,15.15,20,20.2,1,1.01,1,1.01,0,0.0,7,7.07,3,3.03,1,1.01,25,25.25,13,13.13,38022
38,23,62,1,1.61,6,9.68,10,16.13,15,24.19,0,0.0,1,1.61,2,3.23,5,8.06,1,1.61,2,3.23,15,24.19,4,6.45,38023
38,24,58,2,3.45,8,13.79,9,15.52,15,25.86,4,6.9,1,1.72,0,0.0,0,0.0,1,1.72,0,0.0,13,22.41,5,8.62,38024
38,25,53,1,1.89,5,9.43,9,16.98,5,9.43,1,1.89,3,5.66,0,0.0,1,1.89,2,3.77,1,1.89,20,37.74,5,9.43,38025
38,26,65,3,4.62,9,13.85,14,21.54,18,27.69,3,4.62,7,10.77,1,1.54,0,0.0,3,4.62,0,0.0,5,7.69,2,3.08,38026
38,27,59,4,6.78,9,15.25,11,18.64,26,44.07,3,5.08,1,1.69,1,1.69,1,1.69,0,0.0,0,0.0,2,3.39,1,1.69,38027
38,28,79,4,5.06,10,12.66,21,26.58,11,13.92,1,1.27,2,2.53,0,0.0,0,0.0,3,3.8,2,2.53,15,18.99,10,12.66,38028
