ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
7,45,196,142,72.45,54,27.55,07045
7,46,30,18,60.0,12,40.0,07046
8,1,180,154,85.56,26,14.44,08001
8,2,115,91,79.13,24,20.87,08002
8,3,207,177,85.51,30,14.49,08003
8,4,175,148,84.57,27,15.43,08004
8,5,231,195,84.42,36,15.58,08005
8,6,180,145,80.56,35,19.44,08006
8,7,157,120,76.43,37,23.57,08007
8,8,182,156,85.71,26,14.29,08008
8,9,184,149,80.98,35,19.02,08009
8,10,193,171,88.6,22,11.4,08010
8,11,121,98,80.99,23,19.01,08011
8,12,166,134,80.72,32,19.28,08012
8,13,125,106,84.8,19,15.2,08013
8,14,161,132,81.99,29,18.01,08014
8,15,139,109,78.42,30,21.58,08015
8,16,197,166,84.26,31,15.74,08016
8,17,140,113,80.71,27,19.29,08017
8,18,105,86,81.9,19,18.1,08018
8,19,213,174,81.69,39,18.31,08019
8,20,150,119,79.33,31,20.67,08020
8,21,139,111,79.86,28,20.14,08021
8,22,175,135,77.14,40,22.86,08022
8,23,168,137,81.55,31,18.45,08023
8,24,169,141,83.43,28,16.57,08024
8,25,153,117,76.47,36,23.53,08025
8,26,132,97,73.48,35,26.52,08026
8,27,198,163,82.32,35,17.68,08027
8,28,167,150,89.82,17,10.18,08028
8,29,158,125,79.11,33,20.89,08029
8,30,151,122,80.79,29,19.21,08030
8,31,176,141,80.11,35,19.89,08031
8,32,269,222,82.53,47,17.47,08032
8,33,173,140,80.92,33,19.08,08033
8,34,219,183,83.56,36,16.44,08034
8,35,199,166,83.42,33,16.58,08035
8,36,175,143,81.71,32,18.29,08036
8,37,158,123,77.85,35,22.15,08037
8,38,164,138,84.15,26,15.85,08038
8,39,166,133,80.12,33,19.88,08039
8,40,188,146,77.66,42,22.34,08040
8,41,153,130,84.97,23,15.03,08041
8,42,169,142,84.02,27,15.98,08042
8,43,162,129,79.63,33,20.37,08043
8,44,221,188,85.07,33,14.93,08044
8,45,177,148,83.62,29,16.38,08045
8,46,133,116,87.22,17,12.78,08046
8,47,154,134,87.01,20,12.99,08047
8,48,160,132,82.5,28,17.5,08048
8,49,170,143,84.12,27,15.88,08049
8,50,157,134,85.35,23,14.65,08050
8,51,155,130,83.87,25,16.13,08051
8,52,189,165,87.3,24,12.7,08052
8,53,174,139,79.89,35,20.11,08053
8,54,180,139,77.22,41,22.78,08054
8,55,185,147,79.46,38,20.54,08055
8,56,146,117,80.14,29,19.86,08056
8,57,190,150,78.95,40,21.05,08057
8,58,170,144,84.71,26,15.29,08058
8,59,153,129,84.31,24,15.69,08059
8,60,247,210,85.02,37,14.98,08060
8,61,152,122,80.26,30,19.74,08061
8,62,216,183,84.72,33,15.28,08062
8,63,196,152,77.55,44,22.45,08063
8,64,119,95,79.83,24,20.17,08064
8,65,183,147,80.33,36,19.67,08065
8,66,254,191,75.2,63,24.8,08066
9,1,172,135,78.49,37,21.51,09001
9,2,158,114,72.15,44,27.85,09002
9,3,111,75,67.57,36,32.43,09003
9,4,177,127,71.75,50,28.25,09004
9,5,140,117,83.57,23,16.43,09005
9,6,162,120,74.07,42,25.93,09006
9,7,144,101,70.14,43,29.86,09007
9,8,138,106,76.81,32,23.19,09008
9,9,185,144,77.84,41,22.16,09009
9,10,157,122,77.71,35,22.29,09010
9,11,103,65,63.11,38,36.89,09011
9,12,164,131,79.88,33,20.12,09012
9,13,219,183,83.56,36,16.44,09013
9,14,218,173,79.36,45,20.64,09014
9,15,69,46,66.67,23,33.33,09015
9,16,176,138,78.41,38,21.59,09016
9,17,159,124,77.99,35,22.01,09017
9,18,148,114,77.03,34,22.97,09018
9,19,173,131,75.72,42,24.28,09019
9,20,181,140,77.35,41,22.65,09020
